Global_PortID,Logical_PortID,Port_Name,Supported_Port_Profiles,Attached_CoreID,Attached_Core_PortID,Virtual_Device_ID,Port_Type,Scope,Parent_Port,Controlling_Port
1,1,eth1/2/1,22-23-24-25-38-39-45-47-50-61,,,,0,0,,1
2,2,eth1/2/2,47,,,,0,0,,1
3,3,eth1/2/3,47-61,,,,0,0,,1
4,4,eth1/2/4,47,,,,0,0,,1
5,5,eth1/2/5,22-23-24-25-38-45-47-61,,,,0,0,,1
6,6,eth1/2/6,47,,,,0,0,,5
7,7,eth1/2/7,47-61,,,,0,0,,5
8,8,eth1/2/8,47,,,,0,0,,5
9,9,eth1/1/1,22-23-24-25-38-39-45-50-61,,,,0,0,,9
10,10,eth1/1/2,47,,,,0,0,,9
11,11,eth1/1/3,47-61,,,,0,0,,9
12,12,eth1/1/4,47,,,,0,0,,9
13,13,eth1/1/5,22-23-24-25-38-45-61,,,,0,0,,9
14,14,eth1/1/6,47,,,,0,0,,13
15,15,eth1/1/7,47-61,,,,0,0,,13
16,16,eth1/1/8,47,,,,0,0,,13
17,17,eth1/3/1,22-23-24-25-38-39-45-47-50-61,,,,0,0,,17
18,18,eth1/3/2,47,,,,0,0,,17
19,19,eth1/3/3,47-61,,,,0,0,,17
20,20,eth1/3/4,47,,,,0,0,,17
21,21,eth1/3/5,22-23-24-25-38-45-47-61,,,,0,0,,17
22,22,eth1/3/6,47,,,,0,0,,21
23,23,eth1/3/7,47-61,,,,0,0,,21
24,24,eth1/3/8,47,,,,0,0,,21
25,25,eth1/4/1,22-23-24-25-38-39-45-47-50-61,,,,0,0,,25
26,26,eth1/4/2,47,,,,0,0,,25
27,27,eth1/4/3,47-61,,,,0,0,,25
28,28,eth1/4/4,47,,,,0,0,,25
29,29,eth1/4/5,22-23-24-25-38-45-47-61,,,,0,0,,25
30,30,eth1/4/6,47,,,,0,0,,29
31,31,eth1/4/7,47-61,,,,0,0,,29
32,32,eth1/4/8,47,,,,0,0,,29
34,34,eth1/6/1,22-23-24-25-38-39-45-47-50-61,,,,0,0,,34
35,35,eth1/6/2,47,,,,0,0,,34
36,36,eth1/6/3,47-61,,,,0,0,,34
37,37,eth1/6/4,47,,,,0,0,,34
38,38,eth1/6/5,22-23-24-25-38-45-47-61,,,,0,0,,34
39,39,eth1/6/6,47,,,,0,0,,38
40,40,eth1/6/7,47-61,,,,0,0,,38
41,41,eth1/6/8,47,,,,0,0,,38
42,42,eth1/5/1,22-23-24-25-38-39-45-47-50-61,,,,0,0,,42
43,43,eth1/5/2,47,,,,0,0,,42
44,44,eth1/5/3,47-61,,,,0,0,,42
45,45,eth1/5/4,47,,,,0,0,,42
46,46,eth1/5/5,22-23-24-25-38-45-47-61,,,,0,0,,42
47,47,eth1/5/6,47,,,,0,0,,46
48,48,eth1/5/7,47-61,,,,0,0,,46
49,49,eth1/5/8,47,,,,0,0,,46
51,51,eth1/7/1,22-23-24-25-38-39-45-47-50-61,,,,0,0,,51
52,52,eth1/7/2,47,,,,0,0,,51
53,53,eth1/7/3,47-61,,,,0,0,,51
54,54,eth1/7/4,47,,,,0,0,,51
55,55,eth1/7/5,22-23-24-25-38-45-47-61,,,,0,0,,51
56,56,eth1/7/6,47,,,,0,0,,55
57,57,eth1/7/7,47-61,,,,0,0,,55
58,58,eth1/7/8,47,,,,0,0,,55
59,59,eth1/8/1,22-23-24-25-38-39-45-47-50-61,,,,0,0,,59
60,60,eth1/8/2,47,,,,0,0,,59
61,61,eth1/8/3,47-61,,,,0,0,,59
62,62,eth1/8/4,47,,,,0,0,,59
63,63,eth1/8/5,22-23-24-25-38-45-47-61,,,,0,0,,59
64,64,eth1/8/6,47,,,,0,0,,63
65,65,eth1/8/7,47-61,,,,0,0,,63
66,66,eth1/8/8,47,,,,0,0,,63
68,68,eth1/10/1,22-23-24-25-38-39-45-47-50-61,,,,0,0,,68
69,69,eth1/10/2,47,,,,0,0,,68
70,70,eth1/10/3,47-61,,,,0,0,,68
71,71,eth1/10/4,47,,,,0,0,,68
72,72,eth1/10/5,22-23-24-25-38-45-47-61,,,,0,0,,68
73,73,eth1/10/6,47,,,,0,0,,72
74,74,eth1/10/7,47-61,,,,0,0,,72
75,75,eth1/10/8,47,,,,0,0,,72
76,76,eth1/9/1,22-23-24-25-38-39-45-47-50-61,,,,0,0,,76
77,77,eth1/9/2,47,,,,0,0,,76
78,78,eth1/9/3,47-61,,,,0,0,,76
79,79,eth1/9/4,47,,,,0,0,,76
80,80,eth1/9/5,22-23-24-25-38-45-47-61,,,,0,0,,76
81,81,eth1/9/6,47,,,,0,0,,80
82,82,eth1/9/7,47-61,,,,0,0,,80
83,83,eth1/9/8,47,,,,0,0,,80
85,85,eth1/11/1,22-23-24-25-38-39-45-47-50-61,,,,0,0,,85
86,86,eth1/11/2,47,,,,0,0,,85
87,87,eth1/11/3,47-61,,,,0,0,,85
88,88,eth1/11/4,47,,,,0,0,,85
89,89,eth1/11/5,22-23-24-25-38-45-47-61,,,,0,0,,85
90,90,eth1/11/6,47,,,,0,0,,89
