Global_PortID,Logical_PortID,Port_Name,Supported_Port_Profiles,Attached_CoreID,Attached_Core_PortID,Virtual_Device_ID,Port_Type,Scope
1,1,eth1/2/1,22-23-24-25-38-39-45-47-50,,,,0,0
2,2,eth1/2/3,47,,,,0,0
3,3,eth1/2/5,22-23-24-25-38-45-47,,,,0,0
4,4,eth1/2/7,47,,,,0,0
5,5,eth1/1/1,22-23-24-25-38-39-45-47-50,,,,0,0
6,6,eth1/1/3,47,,,,0,0
7,7,eth1/1/5,22-23-24-25-38-45-47,,,,0,0
8,8,eth1/1/7,47,,,,0,0
9,9,eth1/3/1,22-23-24-25-38-39-45-47-50,,,,0,0
10,10,eth1/3/3,47,,,,0,0
11,11,eth1/3/5,22-23-24-25-38-45-47,,,,0,0
12,12,eth1/3/7,47,,,,0,0
13,13,eth1/4/1,22-23-24-25-38-39-45-47-50,,,,0,0
14,14,eth1/4/3,47,,,,0,0
15,15,eth1/4/5,22-23-24-25-38-45-47,,,,0,0
16,16,eth1/4/7,47,,,,0,0
17,17,eth1/6/1,22-23-24-25-38-39-45-47-50,,,,0,0
18,18,eth1/6/3,47,,,,0,0
19,19,eth1/6/5,22-23-24-25-38-45-47,,,,0,0
20,20,eth1/6/7,47,,,,0,0
21,21,eth1/5/1,22-23-24-25-38-39-45-47-50,,,,0,0
22,22,eth1/5/3,47,,,,0,0
23,23,eth1/5/5,22-23-24-25-38-45-47,,,,0,0
24,24,eth1/5/7,47,,,,0,0
25,25,eth1/7/1,22-23-24-25-38-39-45-47-50,,,,0,0
26,26,eth1/7/3,47,,,,0,0
27,27,eth1/7/5,22-23-24-25-38-45-47,,,,0,0
28,28,eth1/7/7,47,,,,0,0
29,29,eth1/8/1,22-23-24-25-38-39-45-47-50,,,,0,0
30,30,eth1/8/3,47,,,,0,0
31,31,eth1/8/5,22-23-24-25-38-45-47,,,,0,0
32,32,eth1/8/7,47,,,,0,0
33,33,eth1/10/1,22-23-24-25-38-39-45-47-50,,,,0,0
34,34,eth1/10/3,47,,,,0,0
35,35,eth1/10/5,22-23-24-25-38-45-47,,,,0,0
36,36,eth1/10/7,47,,,,0,0
37,37,eth1/9/1,22-23-24-25-38-39-45-47-50,,,,0,0
38,38,eth1/9/3,47,,,,0,0
39,39,eth1/9/5,22-23-24-25-38-45-47,,,,0,0
40,40,eth1/9/7,47,,,,0,0
41,41,eth1/11/1,22-23-24-25-38-39-45-47-50,,,,0,0
42,42,eth1/11/3,47,,,,0,0
43,43,eth1/11/5,22-23-24-25-38-45-47,,,,0,0
44,44,eth1/11/7,47,,,,0,0
45,45,eth1/12/1,22-23-24-25-38-39-45-47-50,,,,0,0
46,46,eth1/12/3,47,,,,0,0
47,47,eth1/12/5,22-23-24-25-38-45-47,,,,0,0
48,48,eth1/12/7,47,,,,0,0
49,49,eth1/14/1,22-23-24-25-38-39-45-47-50,,,,0,0
50,50,eth1/14/3,47,,,,0,0
51,51,eth1/14/5,22-23-24-25-38-45-47,,,,0,0
52,52,eth1/14/7,47,,,,0,0
53,53,eth1/13/1,22-23-24-25-38-39-45-47-50,,,,0,0
54,54,eth1/13/3,47,,,,0,0
55,55,eth1/13/5,22-23-24-25-38-45-47,,,,0,0
56,56,eth1/13/7,47,,,,0,0
57,57,eth1/15/1,22-23-24-25-38-39-45-47-50,,,,0,0
58,58,eth1/15/3,47,,,,0,0
59,59,eth1/15/5,22-23-24-25-38-45-47,,,,0,0
60,60,eth1/15/7,47,,,,0,0
61,61,eth1/16/1,22-23-24-25-38-39-45-47-50,,,,0,0
62,62,eth1/16/3,47,,,,0,0
63,63,eth1/16/5,22-23-24-25-38-45-47,,,,0,0
64,64,eth1/16/7,47,,,,0,0
