A_SLOT_ID,A_CHIP_ID,A_CHIP_TYPE,A_CORE_ID,A_CORE_TYPE,A_CORE_LANE,A_PHYSICAL_TX_LANE,A_PHYSICAL_RX_LANE,A_TX_POLARITY_SWAP,A_RX_POLARITY_SWAP,Z_SLOT_ID,Z_CHIP_ID,Z_CHIP_TYPE,Z_CORE_ID,Z_CORE_TYPE,Z_CORE_LANE,Z_PHYSICAL_TX_LANE,Z_PHYSICAL_RX_LANE,Z_TX_POLARITY_SWAP,Z_RX_POLARITY_SWAP
1,1,NPU,0,CHENAB_NIF,0,0,0,Y,Y,1,1,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,0,CHENAB_NIF,1,1,1,Y,N,1,1,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,0,CHENAB_NIF,2,2,2,N,Y,1,1,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,0,CHENAB_NIF,3,3,3,N,Y,1,1,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,1,NPU,0,CHENAB_NIF,4,4,4,Y,Y,1,1,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,0,CHENAB_NIF,5,5,5,Y,Y,1,1,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,1,NPU,0,CHENAB_NIF,6,6,6,Y,Y,1,1,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,0,CHENAB_NIF,7,7,7,Y,N,1,1,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,1,NPU,0,CHENAB_NIF,8,8,8,Y,Y,1,2,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,0,CHENAB_NIF,9,9,9,Y,Y,1,2,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,0,CHENAB_NIF,10,10,10,Y,N,1,2,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,0,CHENAB_NIF,11,11,11,N,Y,1,2,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,1,NPU,0,CHENAB_NIF,12,12,12,Y,N,1,2,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,0,CHENAB_NIF,13,13,13,N,Y,1,2,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,1,NPU,0,CHENAB_NIF,14,14,14,N,N,1,2,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,0,CHENAB_NIF,15,15,15,N,N,1,2,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,1,NPU,0,CHENAB_NIF,16,16,16,N,N,1,3,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,0,CHENAB_NIF,17,17,17,Y,Y,1,3,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,0,CHENAB_NIF,18,18,18,N,N,1,3,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,0,CHENAB_NIF,19,19,19,N,N,1,3,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,1,NPU,0,CHENAB_NIF,20,20,20,Y,N,1,3,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,0,CHENAB_NIF,21,21,21,Y,N,1,3,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,1,NPU,0,CHENAB_NIF,22,22,22,N,N,1,3,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,0,CHENAB_NIF,23,23,23,N,Y,1,3,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,1,NPU,0,CHENAB_NIF,24,24,24,N,N,1,4,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,0,CHENAB_NIF,25,25,25,Y,Y,1,4,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,0,CHENAB_NIF,26,26,26,Y,N,1,4,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,0,CHENAB_NIF,27,27,27,N,Y,1,4,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,1,NPU,0,CHENAB_NIF,28,28,28,N,Y,1,4,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,0,CHENAB_NIF,29,29,29,N,N,1,4,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,1,NPU,0,CHENAB_NIF,30,30,30,N,N,1,4,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,0,CHENAB_NIF,31,31,31,N,Y,1,4,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,1,NPU,0,CHENAB_NIF,32,32,32,Y,N,1,5,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,0,CHENAB_NIF,33,33,33,Y,N,1,5,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,0,CHENAB_NIF,34,34,34,Y,Y,1,5,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,0,CHENAB_NIF,35,35,35,Y,Y,1,5,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,1,NPU,0,CHENAB_NIF,36,36,36,N,N,1,5,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,0,CHENAB_NIF,37,37,37,N,N,1,5,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,1,NPU,0,CHENAB_NIF,38,38,38,N,N,1,5,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,0,CHENAB_NIF,39,39,39,N,N,1,5,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,1,NPU,0,CHENAB_NIF,40,40,40,Y,N,1,6,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,0,CHENAB_NIF,41,41,41,Y,Y,1,6,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,0,CHENAB_NIF,42,42,42,N,Y,1,6,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,0,CHENAB_NIF,43,43,43,N,Y,1,6,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,1,NPU,0,CHENAB_NIF,44,44,44,Y,Y,1,6,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,0,CHENAB_NIF,45,45,45,N,N,1,6,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,1,NPU,0,CHENAB_NIF,46,46,46,N,N,1,6,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,0,CHENAB_NIF,47,47,47,N,Y,1,6,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,1,NPU,0,CHENAB_NIF,48,48,48,Y,N,1,7,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,0,CHENAB_NIF,49,49,49,N,N,1,7,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,0,CHENAB_NIF,50,50,50,N,Y,1,7,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,0,CHENAB_NIF,51,51,51,N,Y,1,7,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,1,NPU,0,CHENAB_NIF,52,52,52,N,N,1,7,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,0,CHENAB_NIF,53,53,53,N,N,1,7,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,1,NPU,0,CHENAB_NIF,54,54,54,Y,N,1,7,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,0,CHENAB_NIF,55,55,55,N,N,1,7,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,1,NPU,0,CHENAB_NIF,56,56,56,N,Y,1,8,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,0,CHENAB_NIF,57,57,57,N,Y,1,8,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,0,CHENAB_NIF,58,58,58,N,Y,1,8,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,0,CHENAB_NIF,59,59,59,N,Y,1,8,TRANSCEIVER,0,OSFP,3,3,3,N,N
