Global_PortID,Logical_PortID,Port_Name,Supported_Port_Profiles,Attached_CoreID,Attached_Core_PortID,Virtual_Device_ID,Port_Type,Scope,Parent_Port,Controlling_Port
266,266,eth1/1/1,23-25-38-39,,,,0,0,,266
267,267,eth1/1/5,23-25-38,,,,0,0,,266
264,264,eth1/2/1,23-25-38-39,,,,0,0,,264
265,265,eth1/2/5,23-25-38,,,,0,0,,264
277,277,eth1/3/1,19-21-22-24-32-38-39-43-45-50-54-55-56,,,,0,0,,277
278,278,eth1/3/2,43-56,,,,0,0,,277
279,279,eth1/3/3,19-21-43-54-55-56,,,,0,0,,277
280,280,eth1/3/4,43-56,,,,0,0,,277
281,281,eth1/3/5,19-21-22-24-32-38-43-45-54-55-56,,,,0,0,,277
282,282,eth1/3/6,43-56,,,,0,0,,277
283,283,eth1/3/7,19-21-43-54-55-56,,,,0,0,,277
284,284,eth1/3/8,43-56,,,,0,0,,277
268,268,eth1/4/1,19-21-22-24-32-38-39-43-45-50-54-55-56,,,,0,0,,268
269,269,eth1/4/2,43-56,,,,0,0,,268
270,270,eth1/4/3,19-21-43-54-55-56,,,,0,0,,268
271,271,eth1/4/4,43-56,,,,0,0,,268
272,272,eth1/4/5,19-21-22-24-32-38-43-45-54-55-56,,,,0,0,,268
273,273,eth1/4/6,43-56,,,,0,0,,268
275,275,eth1/4/7,19-21-43-54-55-56,,,,0,0,,268
276,276,eth1/4/8,43-56,,,,0,0,,268
288,288,eth1/5/1,23-25-38-39,,,,0,0,,288
289,289,eth1/5/5,23-25-38,,,,0,0,,288
286,286,eth1/6/1,23-25-38-39,,,,0,0,,286
287,287,eth1/6/5,23-25-38,,,,0,0,,286
299,299,eth1/7/1,19-21-22-24-32-38-39-43-45-50-54-55-56,,,,0,0,,299
300,300,eth1/7/2,43-56,,,,0,0,,299
301,301,eth1/7/3,19-21-43-54-55-56,,,,0,0,,299
302,302,eth1/7/4,43-56,,,,0,0,,299
303,303,eth1/7/5,19-21-22-24-32-38-43-45-54-55-56,,,,0,0,,299
304,304,eth1/7/6,43-56,,,,0,0,,299
305,305,eth1/7/7,19-21-43-54-55-56,,,,0,0,,299
306,306,eth1/7/8,43-56,,,,0,0,,299
290,290,eth1/8/1,19-21-22-24-32-38-39-43-45-50-54-55-56,,,,0,0,,290
291,291,eth1/8/2,43-56,,,,0,0,,290
292,292,eth1/8/3,19-21-43-54-55-56,,,,0,0,,290
293,293,eth1/8/4,43-56,,,,0,0,,290
294,294,eth1/8/5,19-21-22-24-32-38-43-45-54-55-56,,,,0,0,,290
295,295,eth1/8/6,43-56,,,,0,0,,290
297,297,eth1/8/7,19-21-43-54-55-56,,,,0,0,,290
298,298,eth1/8/8,43-56,,,,0,0,,290
310,310,eth1/9/1,23-25-38-39,,,,0,0,,310
311,311,eth1/9/5,23-25-38,,,,0,0,,310
308,308,eth1/10/1,23-25-38-39,,,,0,0,,308
309,309,eth1/10/5,23-25-38,,,,0,0,,308
321,321,eth1/11/1,19-21-22-24-32-38-39-43-45-50-54-55-56,,,,0,0,,321
322,322,eth1/11/2,43-56,,,,0,0,,321
323,323,eth1/11/3,19-21-43-54-55-56,,,,0,0,,321
324,324,eth1/11/4,43-56,,,,0,0,,321
