A_SLOT_ID,A_CHIP_ID,A_CHIP_TYPE,A_CORE_ID,A_CORE_TYPE,A_CORE_LANE,A_PHYSICAL_TX_LANE,A_PHYSICAL_RX_LANE,A_TX_POLARITY_SWAP,A_RX_POLARITY_SWAP,Z_SLOT_ID,Z_CHIP_ID,Z_CHIP_TYPE,Z_CORE_ID,Z_CORE_TYPE,Z_CORE_LANE,Z_PHYSICAL_TX_LANE,Z_PHYSICAL_RX_LANE,Z_TX_POLARITY_SWAP,Z_RX_POLARITY_SWAP
1,1,NPU,0,TH5_NIF,0,4,3,Y,Y,1,18,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,0,TH5_NIF,1,5,2,Y,Y,1,18,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,0,TH5_NIF,2,6,1,Y,N,1,18,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,0,TH5_NIF,3,7,0,Y,N,1,18,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,1,NPU,0,TH5_NIF,4,0,7,Y,Y,1,18,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,0,TH5_NIF,5,1,6,Y,Y,1,18,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,1,NPU,0,TH5_NIF,6,2,5,Y,N,1,18,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,0,TH5_NIF,7,3,4,Y,Y,1,18,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,1,NPU,1,TH5_NIF,0,4,3,N,N,1,17,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,1,TH5_NIF,1,5,2,N,Y,1,17,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,1,TH5_NIF,2,6,1,Y,N,1,17,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,1,TH5_NIF,3,7,0,Y,Y,1,17,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,1,NPU,1,TH5_NIF,4,0,7,N,N,1,17,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,1,TH5_NIF,5,1,6,N,Y,1,17,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,1,NPU,1,TH5_NIF,6,2,5,Y,N,1,17,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,1,TH5_NIF,7,3,4,Y,Y,1,17,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,1,NPU,2,TH5_NIF,0,3,5,Y,N,1,20,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,2,TH5_NIF,1,2,4,N,Y,1,20,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,2,TH5_NIF,2,1,7,Y,Y,1,20,TRANSCEIVER,0,OSFP,2,2,2,N,N
