Global_PortID,Logical_PortID,Port_Name,Supported_Port_Profiles,Attached_CoreID,Attached_Core_PortID,Virtual_Device_ID,Port_Type,Scope
2554,506,fab1/1/1,36-37-42,,,3,1,0
262,262,fab1/1/2,36-37-42,,,1,1,0
2296,248,fab1/1/3,36-37-42,,,2,1,0
4,4,fab1/1/4,36-37-42,,,0,1,0
2558,510,fab1/1/5,36-37-42,,,3,1,0
258,258,fab1/1/6,36-37-42,,,1,1,0
2300,252,fab1/1/7,36-37-42,,,2,1,0
0,0,fab1/1/8,36-37-42,,,0,1,0
2546,498,fab1/2/1,36-37-42,,,3,1,0
270,270,fab1/2/2,36-37-42,,,1,1,0
2288,240,fab1/2/3,36-37-42,,,2,1,0
12,12,fab1/2/4,36-37-42,,,0,1,0
2550,502,fab1/2/5,36-37-42,,,3,1,0
266,266,fab1/2/6,36-37-42,,,1,1,0
2292,244,fab1/2/7,36-37-42,,,2,1,0
8,8,fab1/2/8,36-37-42,,,0,1,0
2555,507,fab1/3/1,36-37-42,,,3,1,0
263,263,fab1/3/2,36-37-42,,,1,1,0
2297,249,fab1/3/3,36-37-42,,,2,1,0
5,5,fab1/3/4,36-37-42,,,0,1,0
2559,511,fab1/3/5,36-37-42,,,3,1,0
259,259,fab1/3/6,36-37-42,,,1,1,0
2301,253,fab1/3/7,36-37-42,,,2,1,0
1,1,fab1/3/8,36-37-42,,,0,1,0
2547,499,fab1/4/1,36-37-42,,,3,1,0
271,271,fab1/4/2,36-37-42,,,1,1,0
2289,241,fab1/4/3,36-37-42,,,2,1,0
13,13,fab1/4/4,36-37-42,,,0,1,0
2551,503,fab1/4/5,36-37-42,,,3,1,0
267,267,fab1/4/6,36-37-42,,,1,1,0
2293,245,fab1/4/7,36-37-42,,,2,1,0
9,9,fab1/4/8,36-37-42,,,0,1,0
2302,254,fab1/5/1,36-37-42,,,2,1,0
2,2,fab1/5/2,36-37-42,,,0,1,0
2556,508,fab1/5/3,36-37-42,,,3,1,0
256,256,fab1/5/4,36-37-42,,,1,1,0
2298,250,fab1/5/5,36-37-42,,,2,1,0
6,6,fab1/5/6,36-37-42,,,0,1,0
2552,504,fab1/5/7,36-37-42,,,3,1,0
260,260,fab1/5/8,36-37-42,,,1,1,0
2294,246,fab1/6/1,36-37-42,,,2,1,0
10,10,fab1/6/2,36-37-42,,,0,1,0
2548,500,fab1/6/3,36-37-42,,,3,1,0
264,264,fab1/6/4,36-37-42,,,1,1,0
2290,242,fab1/6/5,36-37-42,,,2,1,0
14,14,fab1/6/6,36-37-42,,,0,1,0
2544,496,fab1/6/7,36-37-42,,,3,1,0
268,268,fab1/6/8,36-37-42,,,1,1,0
2303,255,fab1/7/1,36-37-42,,,2,1,0
3,3,fab1/7/2,36-37-42,,,0,1,0
2557,509,fab1/7/3,36-37-42,,,3,1,0
257,257,fab1/7/4,36-37-42,,,1,1,0
2299,251,fab1/7/5,36-37-42,,,2,1,0
7,7,fab1/7/6,36-37-42,,,0,1,0
2553,505,fab1/7/7,36-37-42,,,3,1,0
261,261,fab1/7/8,36-37-42,,,1,1,0
2295,247,fab1/8/1,36-37-42,,,2,1,0
