A_SLOT_ID,A_CHIP_ID,A_CHIP_TYPE,A_CORE_ID,A_CORE_TYPE,A_CORE_LANE,A_PHYSICAL_TX_LANE,A_PHYSICAL_RX_LANE,A_TX_POLARITY_SWAP,A_RX_POLARITY_SWAP,Z_SLOT_ID,Z_CHIP_ID,Z_CHIP_TYPE,Z_CORE_ID,Z_CORE_TYPE,Z_CORE_LANE,Z_PHYSICAL_TX_LANE,Z_PHYSICAL_RX_LANE,Z_TX_POLARITY_SWAP,Z_RX_POLARITY_SWAP
1,2,NPU,63,R3_FE,2,498,498,N,N,1,1,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,32,R3_FE,6,11,10,Y,N,1,1,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,2,NPU,31,R3_FE,0,496,496,Y,N,1,1,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,0,R3_FE,4,9,8,N,N,1,1,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,2,NPU,63,R3_FE,6,510,510,Y,Y,1,1,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,32,R3_FE,2,7,6,N,Y,1,1,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,2,NPU,31,R3_FE,4,508,508,Y,Y,1,1,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,0,R3_FE,0,5,4,N,Y,1,1,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,2,NPU,62,R3_FE,2,483,482,Y,N,1,2,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,33,R3_FE,6,26,26,N,N,1,2,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,2,NPU,30,R3_FE,0,481,480,N,N,1,2,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,1,R3_FE,4,24,24,Y,N,1,2,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,2,NPU,62,R3_FE,6,495,494,N,Y,1,2,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,33,R3_FE,2,22,22,Y,Y,1,2,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,2,NPU,30,R3_FE,4,493,492,N,N,1,2,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,1,R3_FE,0,20,20,Y,N,1,2,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,2,NPU,63,R3_FE,3,499,499,Y,Y,1,3,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,32,R3_FE,7,10,11,N,Y,1,3,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,2,NPU,31,R3_FE,1,497,497,N,Y,1,3,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,0,R3_FE,5,8,9,Y,Y,1,3,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,2,NPU,63,R3_FE,7,511,511,N,Y,1,3,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,32,R3_FE,3,6,7,Y,Y,1,3,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,2,NPU,31,R3_FE,5,509,509,N,N,1,3,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,0,R3_FE,1,4,5,Y,N,1,3,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,2,NPU,62,R3_FE,3,482,483,N,Y,1,4,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,33,R3_FE,7,27,27,Y,Y,1,4,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,2,NPU,30,R3_FE,1,480,481,Y,Y,1,4,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,1,R3_FE,5,25,25,N,Y,1,4,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,2,NPU,62,R3_FE,7,494,495,Y,Y,1,4,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,33,R3_FE,3,23,23,N,Y,1,4,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,2,NPU,30,R3_FE,5,492,493,Y,N,1,4,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,1,R3_FE,1,21,21,N,N,1,4,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,2,NPU,31,R3_FE,6,506,506,Y,Y,1,5,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,0,R3_FE,2,3,2,N,Y,1,5,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,2,NPU,63,R3_FE,4,504,504,Y,N,1,5,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,32,R3_FE,0,1,0,N,N,1,5,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,2,NPU,31,R3_FE,2,502,502,N,N,1,5,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,0,R3_FE,6,15,14,Y,N,1,5,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,2,NPU,63,R3_FE,0,500,500,Y,N,1,5,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,32,R3_FE,4,13,12,N,N,1,5,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,2,NPU,30,R3_FE,6,491,490,N,Y,1,6,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,1,R3_FE,2,18,18,Y,Y,1,6,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,2,NPU,62,R3_FE,4,489,488,N,N,1,6,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,33,R3_FE,0,16,16,Y,N,1,6,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,2,NPU,30,R3_FE,2,487,486,Y,N,1,6,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,1,R3_FE,6,30,30,N,N,1,6,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,2,NPU,62,R3_FE,0,485,484,N,N,1,6,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,33,R3_FE,4,28,28,Y,N,1,6,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,2,NPU,31,R3_FE,7,507,507,N,Y,1,7,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,0,R3_FE,3,2,3,Y,Y,1,7,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,2,NPU,63,R3_FE,5,505,505,N,N,1,7,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,32,R3_FE,1,0,1,Y,N,1,7,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,2,NPU,31,R3_FE,3,503,503,Y,Y,1,7,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,0,R3_FE,7,14,15,N,Y,1,7,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,2,NPU,63,R3_FE,1,501,501,N,Y,1,7,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,32,R3_FE,5,12,13,Y,Y,1,7,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,2,NPU,30,R3_FE,7,490,491,Y,Y,1,8,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,1,R3_FE,3,19,19,N,Y,1,8,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,2,NPU,62,R3_FE,5,488,489,Y,N,1,8,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,33,R3_FE,1,17,17,N,N,1,8,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,2,NPU,30,R3_FE,3,486,487,N,Y,1,8,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,1,R3_FE,7,31,31,Y,Y,1,8,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,2,NPU,62,R3_FE,1,484,485,Y,Y,1,8,TRANSCEIVER,0,OSFP,6,6,6,N,N
