A_SLOT_ID,A_CHIP_ID,A_CHIP_TYPE,A_CORE_ID,A_CORE_TYPE,A_CORE_LANE,A_PHYSICAL_TX_LANE,A_PHYSICAL_RX_LANE,A_TX_POLARITY_SWAP,A_RX_POLARITY_SWAP,Z_SLOT_ID,Z_CHIP_ID,Z_CHIP_TYPE,Z_CORE_ID,Z_CORE_TYPE,Z_CORE_LANE,Z_PHYSICAL_TX_LANE,Z_PHYSICAL_RX_LANE,Z_TX_POLARITY_SWAP,Z_RX_POLARITY_SWAP
1,1,NPU,441,J3_RCY,0,,,,,,,,,,,,,,
1,1,NPU,442,J3_RCY,0,,,,,,,,,,,,,,
1,1,NPU,443,J3_RCY,0,,,,,,,,,,,,,,
1,1,NPU,444,J3_RCY,0,,,,,,,,,,,,,,
1,1,NPU,445,J3_RCY,0,,,,,,,,,,,,,,
1,1,NPU,447,J3_RCY,0,,,,,,,,,,,,,,
1,1,NPU,501,J3_EVT,0,,,,,,,,,,,,,,
1,1,NPU,506,J3_EVT,0,,,,,,,,,,,,,,
1,1,NPU,0,J3_NIF,0,7,4,Y,Y,1,19,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,0,J3_NIF,1,1,1,Y,N,1,19,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,0,J3_NIF,2,2,5,Y,Y,1,19,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,0,J3_NIF,3,3,3,Y,Y,1,19,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,1,NPU,0,J3_NIF,4,4,0,N,Y,1,19,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,0,J3_NIF,5,0,2,N,Y,1,19,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,1,NPU,0,J3_NIF,6,6,6,Y,N,1,19,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,0,J3_NIF,7,5,7,N,Y,1,19,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,1,NPU,1,J3_NIF,0,8,12,Y,Y,1,16,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,1,J3_NIF,1,10,15,Y,Y,1,16,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,1,J3_NIF,2,15,9,Y,Y,1,16,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,1,J3_NIF,3,12,10,Y,Y,1,16,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,1,NPU,1,J3_NIF,4,13,11,Y,N,1,16,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,1,J3_NIF,5,14,8,N,N,1,16,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,1,NPU,1,J3_NIF,6,11,13,N,N,1,16,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,1,J3_NIF,7,9,14,Y,N,1,16,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,1,NPU,2,J3_NIF,0,23,17,Y,Y,1,18,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,2,J3_NIF,1,20,18,N,Y,1,18,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,2,J3_NIF,2,21,19,Y,Y,1,18,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,2,J3_NIF,3,22,23,Y,Y,1,18,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,1,NPU,2,J3_NIF,4,19,21,N,Y,1,18,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,2,J3_NIF,5,17,22,N,N,1,18,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,1,NPU,2,J3_NIF,6,16,20,Y,N,1,18,TRANSCEIVER,0,OSFP,6,6,6,N,N
