A_SLOT_ID,A_CHIP_ID,A_CHIP_TYPE,A_CORE_ID,A_CORE_TYPE,A_CORE_LANE,A_PHYSICAL_TX_LANE,A_PHYSICAL_RX_LANE,A_TX_POLARITY_SWAP,A_RX_POLARITY_SWAP,Z_SLOT_ID,Z_CHIP_ID,Z_CHIP_TYPE,Z_CORE_ID,Z_CORE_TYPE,Z_CORE_LANE,Z_PHYSICAL_TX_LANE,Z_PHYSICAL_RX_LANE,Z_TX_POLARITY_SWAP,Z_RX_POLARITY_SWAP
1,1,NPU,0,TH5_NIF,0,4,2,Y,N,1,1,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,0,0,0,N,N
1,1,NPU,0,TH5_NIF,1,5,3,Y,N,1,1,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,1,1,1,N,N
1,1,NPU,0,TH5_NIF,2,6,0,Y,Y,1,1,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,2,2,2,N,N
1,1,NPU,0,TH5_NIF,3,7,1,Y,Y,1,1,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,3,3,3,N,N
1,1,NPU,0,TH5_NIF,4,0,6,Y,N,1,1,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,4,4,4,N,N
1,1,NPU,0,TH5_NIF,5,1,7,Y,N,1,1,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,5,5,5,N,N
1,1,NPU,0,TH5_NIF,6,2,4,Y,N,1,1,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,6,6,6,N,N
1,1,NPU,0,TH5_NIF,7,3,5,Y,Y,1,1,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,7,7,7,N,N
1,1,NPU,1,TH5_NIF,0,4,2,N,Y,1,1,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,8,8,8,N,N
1,1,NPU,1,TH5_NIF,1,5,3,N,N,1,1,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,9,9,9,N,N
1,1,NPU,1,TH5_NIF,2,6,0,Y,Y,1,1,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,10,10,10,N,N
1,1,NPU,1,TH5_NIF,3,7,1,Y,N,1,1,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,11,11,11,N,N
1,1,NPU,1,TH5_NIF,4,0,6,N,Y,1,1,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,12,12,12,N,N
1,1,NPU,1,TH5_NIF,5,1,7,N,N,1,1,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,13,13,13,N,N
1,1,NPU,1,TH5_NIF,6,2,4,Y,Y,1,1,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,14,14,14,N,N
1,1,NPU,1,TH5_NIF,7,3,5,Y,N,1,1,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,15,15,15,N,N
1,1,NPU,2,TH5_NIF,0,2,5,N,Y,1,1,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,16,16,16,N,N
1,1,NPU,2,TH5_NIF,1,3,4,N,Y,1,1,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,17,17,17,N,N
1,1,NPU,2,TH5_NIF,2,0,7,N,N,1,1,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,18,18,18,N,N
1,1,NPU,2,TH5_NIF,3,1,6,N,N,1,1,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,19,19,19,N,N
1,1,NPU,2,TH5_NIF,4,6,1,N,Y,1,1,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,20,20,20,N,N
1,1,NPU,2,TH5_NIF,5,7,0,N,Y,1,1,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,21,21,21,N,N
1,1,NPU,2,TH5_NIF,6,4,3,N,N,1,1,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,22,22,22,N,N
1,1,NPU,2,TH5_NIF,7,5,2,N,N,1,1,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,23,23,23,N,N
1,1,NPU,3,TH5_NIF,0,2,4,N,N,1,1,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,24,24,24,N,N
1,1,NPU,3,TH5_NIF,1,3,3,N,Y,1,1,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,25,25,25,N,N
1,1,NPU,3,TH5_NIF,2,0,6,Y,N,1,1,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,26,26,26,N,N
1,1,NPU,3,TH5_NIF,3,1,1,Y,Y,1,1,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,27,27,27,N,N
1,1,NPU,3,TH5_NIF,4,6,0,N,N,1,1,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,28,28,28,N,N
1,1,NPU,3,TH5_NIF,5,7,7,N,Y,1,1,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,29,29,29,N,N
1,1,NPU,3,TH5_NIF,6,4,2,Y,N,1,1,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,30,30,30,N,N
1,1,NPU,3,TH5_NIF,7,5,5,Y,Y,1,1,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,31,31,31,N,N
1,1,NPU,4,TH5_NIF,0,7,2,Y,Y,1,2,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,0,0,0,N,N
1,1,NPU,4,TH5_NIF,1,5,1,N,Y,1,2,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,1,1,1,N,N
1,1,NPU,4,TH5_NIF,2,3,6,N,Y,1,2,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,2,2,2,N,N
1,1,NPU,4,TH5_NIF,3,0,5,Y,N,1,2,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,3,3,3,N,N
1,1,NPU,4,TH5_NIF,4,4,0,Y,Y,1,2,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,4,4,4,N,N
1,1,NPU,4,TH5_NIF,5,6,3,N,Y,1,2,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,5,5,5,N,N
1,1,NPU,4,TH5_NIF,6,1,4,Y,Y,1,2,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,6,6,6,N,N
1,1,NPU,4,TH5_NIF,7,2,7,N,Y,1,2,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,7,7,7,N,N
1,1,NPU,5,TH5_NIF,0,5,7,Y,N,1,2,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,8,8,8,N,N
1,1,NPU,5,TH5_NIF,1,6,4,N,N,1,2,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,9,9,9,N,N
1,1,NPU,5,TH5_NIF,2,1,1,N,N,1,2,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,10,10,10,N,N
1,1,NPU,5,TH5_NIF,3,2,2,Y,Y,1,2,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,11,11,11,N,N
1,1,NPU,5,TH5_NIF,4,4,6,N,N,1,2,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,12,12,12,N,N
1,1,NPU,5,TH5_NIF,5,7,5,Y,N,1,2,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,13,13,13,N,N
1,1,NPU,5,TH5_NIF,6,0,3,N,Y,1,2,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,14,14,14,N,N
1,1,NPU,5,TH5_NIF,7,3,0,N,N,1,2,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,15,15,15,N,N
1,1,NPU,6,TH5_NIF,0,0,2,N,Y,1,2,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,16,16,16,N,N
1,1,NPU,6,TH5_NIF,1,3,0,N,Y,1,2,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,17,17,17,N,N
1,1,NPU,6,TH5_NIF,2,4,3,Y,Y,1,2,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,18,18,18,N,N
1,1,NPU,6,TH5_NIF,3,2,7,Y,Y,1,2,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,19,19,19,N,N
