TcvrId,TcvrLaneIdList,PimId,AccessControllerId,AccessControlType,ResetPath,ResetMask,ResetHoldHi,PresentPath,PresentMask,PresentHoldHi,IoControllerId,IoControlType,IoPath,LedId,LedBluePath,LedYellowPath
1,1 2 3 4 5 6 7 8,1,1,CPLD,/run/devmap/xcvrs/xcvr_ctrl_1/xcvr1_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_1/xcvr1_present,1,0,1,I2C,/run/devmap/xcvrs/xcvr_io_1,1,/sys/class/leds/port1_led1:green:status,/sys/class/leds/port1_led1:yellow:status
2,1 2 3 4 5 6 7 8,1,2,CPLD,/run/devmap/xcvrs/xcvr_ctrl_2/xcvr2_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_2/xcvr2_present,1,0,2,I2C,/run/devmap/xcvrs/xcvr_io_2,2,/sys/class/leds/port2_led1:green:status,/sys/class/leds/port2_led1:yellow:status
3,1 2 3 4 5 6 7 8,1,3,CPLD,/run/devmap/xcvrs/xcvr_ctrl_3/xcvr3_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_3/xcvr3_present,1,0,3,I2C,/run/devmap/xcvrs/xcvr_io_3,3,/sys/class/leds/port3_led1:green:status,/sys/class/leds/port3_led1:yellow:status
4,1 2 3 4 5 6 7 8,1,4,CPLD,/run/devmap/xcvrs/xcvr_ctrl_4/xcvr4_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_4/xcvr4_present,1,0,4,I2C,/run/devmap/xcvrs/xcvr_io_4,4,/sys/class/leds/port4_led1:green:status,/sys/class/leds/port4_led1:yellow:status
5,1 2 3 4 5 6 7 8,1,5,CPLD,/run/devmap/xcvrs/xcvr_ctrl_5/xcvr5_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_5/xcvr5_present,1,0,5,I2C,/run/devmap/xcvrs/xcvr_io_5,5,/sys/class/leds/port5_led1:green:status,/sys/class/leds/port5_led1:yellow:status
6,1 2 3 4 5 6 7 8,1,6,CPLD,/run/devmap/xcvrs/xcvr_ctrl_6/xcvr6_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_6/xcvr6_present,1,0,6,I2C,/run/devmap/xcvrs/xcvr_io_6,6,/sys/class/leds/port6_led1:green:status,/sys/class/leds/port6_led1:yellow:status
7,1 2 3 4 5 6 7 8,1,7,CPLD,/run/devmap/xcvrs/xcvr_ctrl_7/xcvr7_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_7/xcvr7_present,1,0,7,I2C,/run/devmap/xcvrs/xcvr_io_7,7,/sys/class/leds/port7_led1:green:status,/sys/class/leds/port7_led1:yellow:status
8,1 2 3 4 5 6 7 8,1,8,CPLD,/run/devmap/xcvrs/xcvr_ctrl_8/xcvr8_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_8/xcvr8_present,1,0,8,I2C,/run/devmap/xcvrs/xcvr_io_8,8,/sys/class/leds/port8_led1:green:status,/sys/class/leds/port8_led1:yellow:status
9,1 2 3 4 5 6 7 8,1,9,CPLD,/run/devmap/xcvrs/xcvr_ctrl_9/xcvr9_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_9/xcvr9_present,1,0,9,I2C,/run/devmap/xcvrs/xcvr_io_9,9,/sys/class/leds/port9_led1:green:status,/sys/class/leds/port9_led1:yellow:status
10,1 2 3 4 5 6 7 8,1,10,CPLD,/run/devmap/xcvrs/xcvr_ctrl_10/xcvr10_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_10/xcvr10_present,1,0,10,I2C,/run/devmap/xcvrs/xcvr_io_10,10,/sys/class/leds/port10_led1:green:status,/sys/class/leds/port10_led1:yellow:status
