PhyId,PhyCoreId,PimId,PhyResetPath,IoControlType,IoControllerId,IoControllerResetPath,IoPath,PhyAddr
0,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_1/reset_rtm_0,MDIO,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_1/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_1,0
1,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_2/reset_rtm_0,MDIO,2,/run/devmap/mdio-busses/mdio_bus_ctrl_l_2/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_2,0
2,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_3/reset_rtm_0,MDIO,3,/run/devmap/mdio-busses/mdio_bus_ctrl_l_3/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_3,0
3,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_4/reset_rtm_0,MDIO,4,/run/devmap/mdio-busses/mdio_bus_ctrl_l_4/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_4,0
4,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_5/reset_rtm_0,MDIO,5,/run/devmap/mdio-busses/mdio_bus_ctrl_l_5/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_5,0
5,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_6/reset_rtm_0,MDIO,6,/run/devmap/mdio-busses/mdio_bus_ctrl_l_6/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_6,0
6,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_7/reset_rtm_0,MDIO,7,/run/devmap/mdio-busses/mdio_bus_ctrl_l_7/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_7,0
7,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_8/reset_rtm_0,MDIO,8,/run/devmap/mdio-busses/mdio_bus_ctrl_l_8/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_8,0
8,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_9/reset_rtm_0,MDIO,9,/run/devmap/mdio-busses/mdio_bus_ctrl_l_9/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_9,0
9,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_10/reset_rtm_0,MDIO,10,/run/devmap/mdio-busses/mdio_bus_ctrl_l_10/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_10,0
10,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_11/reset_rtm_0,MDIO,11,/run/devmap/mdio-busses/mdio_bus_ctrl_l_11/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_11,0
11,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_12/reset_rtm_0,MDIO,12,/run/devmap/mdio-busses/mdio_bus_ctrl_l_12/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_12,0
12,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_13/reset_rtm_0,MDIO,13,/run/devmap/mdio-busses/mdio_bus_ctrl_l_13/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_13,0
13,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_14/reset_rtm_0,MDIO,14,/run/devmap/mdio-busses/mdio_bus_ctrl_l_14/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_14,0
14,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_15/reset_rtm_0,MDIO,15,/run/devmap/mdio-busses/mdio_bus_ctrl_l_15/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_15,0
15,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_16/reset_rtm_0,MDIO,16,/run/devmap/mdio-busses/mdio_bus_ctrl_l_16/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_16,0
16,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_1/reset_rtm_0,MDIO,17,/run/devmap/mdio-busses/mdio_bus_ctrl_r_1/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_1,0
17,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_2/reset_rtm_0,MDIO,18,/run/devmap/mdio-busses/mdio_bus_ctrl_r_2/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_2,0
18,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_3/reset_rtm_0,MDIO,19,/run/devmap/mdio-busses/mdio_bus_ctrl_r_3/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_3,0
19,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_4/reset_rtm_0,MDIO,20,/run/devmap/mdio-busses/mdio_bus_ctrl_r_4/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_4,0
20,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_5/reset_rtm_0,MDIO,21,/run/devmap/mdio-busses/mdio_bus_ctrl_r_5/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_5,0
