PhyId,PhyCoreId,PimId,PhyResetPath,IoControlType,IoControllerId,IoControllerResetPath,IoPath,PhyAddr
0,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_1/reset_rtm_0,MDIO,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_1/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_1,0
1,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_1/reset_rtm_0,MDIO,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_1/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_1,2
2,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_1/reset_rtm_0,MDIO,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_1/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_1,4
3,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_1/reset_rtm_0,MDIO,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_1/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_1,8
4,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_2/reset_rtm_0,MDIO,2,/run/devmap/mdio-busses/mdio_bus_ctrl_r_2/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_2,8
5,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_2/reset_rtm_0,MDIO,2,/run/devmap/mdio-busses/mdio_bus_ctrl_r_2/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_2,4
6,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_2/reset_rtm_0,MDIO,2,/run/devmap/mdio-busses/mdio_bus_ctrl_r_2/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_2,2
7,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_2/reset_rtm_0,MDIO,2,/run/devmap/mdio-busses/mdio_bus_ctrl_r_2/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_2,0
8,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_3/reset_rtm_0,MDIO,3,/run/devmap/mdio-busses/mdio_bus_ctrl_r_3/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_3,0
9,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_3/reset_rtm_0,MDIO,3,/run/devmap/mdio-busses/mdio_bus_ctrl_r_3/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_3,2
10,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_3/reset_rtm_0,MDIO,3,/run/devmap/mdio-busses/mdio_bus_ctrl_r_3/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_3,4
11,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_3/reset_rtm_0,MDIO,3,/run/devmap/mdio-busses/mdio_bus_ctrl_r_3/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_3,8
12,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_4/reset_rtm_0,MDIO,4,/run/devmap/mdio-busses/mdio_bus_ctrl_r_4/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_4,8
13,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_4/reset_rtm_0,MDIO,4,/run/devmap/mdio-busses/mdio_bus_ctrl_r_4/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_4,4
14,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_4/reset_rtm_0,MDIO,4,/run/devmap/mdio-busses/mdio_bus_ctrl_r_4/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_4,2
15,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_4/reset_rtm_0,MDIO,4,/run/devmap/mdio-busses/mdio_bus_ctrl_r_4/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_4,0
16,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_5/reset_rtm_0,MDIO,5,/run/devmap/mdio-busses/mdio_bus_ctrl_r_5/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_5,0
17,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_5/reset_rtm_0,MDIO,5,/run/devmap/mdio-busses/mdio_bus_ctrl_r_5/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_5,2
18,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_5/reset_rtm_0,MDIO,5,/run/devmap/mdio-busses/mdio_bus_ctrl_r_5/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_5,4
19,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_5/reset_rtm_0,MDIO,5,/run/devmap/mdio-busses/mdio_bus_ctrl_r_5/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_5,8
20,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_6/reset_rtm_0,MDIO,6,/run/devmap/mdio-busses/mdio_bus_ctrl_r_6/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_6,8
21,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_6/reset_rtm_0,MDIO,6,/run/devmap/mdio-busses/mdio_bus_ctrl_r_6/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_6,4
22,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_6/reset_rtm_0,MDIO,6,/run/devmap/mdio-busses/mdio_bus_ctrl_r_6/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_6,2
23,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_6/reset_rtm_0,MDIO,6,/run/devmap/mdio-busses/mdio_bus_ctrl_r_6/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_6,0
24,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_7/reset_rtm_0,MDIO,7,/run/devmap/mdio-busses/mdio_bus_ctrl_r_7/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_7,0
25,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_7/reset_rtm_0,MDIO,7,/run/devmap/mdio-busses/mdio_bus_ctrl_r_7/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_7,2
26,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_7/reset_rtm_0,MDIO,7,/run/devmap/mdio-busses/mdio_bus_ctrl_r_7/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_7,4
27,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_7/reset_rtm_0,MDIO,7,/run/devmap/mdio-busses/mdio_bus_ctrl_r_7/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_7,8
