TcvrId,TcvrLaneIdList,PimId,AccessControllerId,AccessControlType,ResetPath,ResetMask,ResetHoldHi,PresentPath,PresentMask,PresentHoldHi,IoControllerId,IoControlType,IoPath,LedId,LedBluePath,LedYellowPath
1,1 2 3 4 5 6 7 8,1,1,CPLD,/run/devmap/xcvrs/xcvr_ctrl_1/xcvr_reset_1,1,0,/run/devmap/xcvrs/xcvr_ctrl_1/xcvr_present_1,1,0,1,I2C,/run/devmap/xcvrs/xcvr_io_1,1,/sys/class/leds/port97_led1:blue:status,/sys/class/leds/port97_led2:amber:status
2,1 2 3 4 5 6 7 8,1,2,CPLD,/run/devmap/xcvrs/xcvr_ctrl_2/xcvr_reset_2,1,0,/run/devmap/xcvrs/xcvr_ctrl_2/xcvr_present_2,1,0,2,I2C,/run/devmap/xcvrs/xcvr_io_2,2,/sys/class/leds/port98_led1:blue:status,/sys/class/leds/port98_led2:amber:status
3,1 2 3 4 5 6 7 8,1,3,CPLD,/run/devmap/xcvrs/xcvr_ctrl_33/xcvr_reset_33,1,0,/run/devmap/xcvrs/xcvr_ctrl_33/xcvr_present_33,1,0,3,I2C,/run/devmap/xcvrs/xcvr_io_3,3,/sys/class/leds/port1_led1:blue:status,/sys/class/leds/port1_led2:amber:status
4,1 2 3 4 5 6 7 8,1,4,CPLD,/run/devmap/xcvrs/xcvr_ctrl_34/xcvr_reset_34,1,0,/run/devmap/xcvrs/xcvr_ctrl_34/xcvr_present_34,1,0,4,I2C,/run/devmap/xcvrs/xcvr_io_4,4,/sys/class/leds/port2_led1:blue:status,/sys/class/leds/port2_led2:amber:status
5,1 2 3 4 5 6 7 8,1,5,CPLD,/run/devmap/xcvrs/xcvr_ctrl_35/xcvr_reset_35,1,0,/run/devmap/xcvrs/xcvr_ctrl_35/xcvr_present_35,1,0,5,I2C,/run/devmap/xcvrs/xcvr_io_5,5,/sys/class/leds/port33_led1:blue:status,/sys/class/leds/port33_led2:amber:status
6,1 2 3 4 5 6 7 8,1,6,CPLD,/run/devmap/xcvrs/xcvr_ctrl_36/xcvr_reset_36,1,0,/run/devmap/xcvrs/xcvr_ctrl_36/xcvr_present_36,1,0,6,I2C,/run/devmap/xcvrs/xcvr_io_6,6,/sys/class/leds/port34_led1:blue:status,/sys/class/leds/port34_led2:amber:status
7,1 2 3 4 5 6 7 8,1,7,CPLD,/run/devmap/xcvrs/xcvr_ctrl_97/xcvr_reset_97,1,0,/run/devmap/xcvrs/xcvr_ctrl_97/xcvr_present_97,1,0,7,I2C,/run/devmap/xcvrs/xcvr_io_7,7,/sys/class/leds/port65_led1:blue:status,/sys/class/leds/port65_led2:amber:status
8,1 2 3 4 5 6 7 8,1,8,CPLD,/run/devmap/xcvrs/xcvr_ctrl_98/xcvr_reset_98,1,0,/run/devmap/xcvrs/xcvr_ctrl_98/xcvr_present_98,1,0,8,I2C,/run/devmap/xcvrs/xcvr_io_8,8,/sys/class/leds/port66_led1:blue:status,/sys/class/leds/port66_led2:amber:status
9,1 2 3 4 5 6 7 8,1,9,CPLD,/run/devmap/xcvrs/xcvr_ctrl_3/xcvr_reset_3,1,0,/run/devmap/xcvrs/xcvr_ctrl_3/xcvr_present_3,1,0,9,I2C,/run/devmap/xcvrs/xcvr_io_9,9,/sys/class/leds/port99_led1:blue:status,/sys/class/leds/port99_led2:amber:status
10,1 2 3 4 5 6 7 8,1,10,CPLD,/run/devmap/xcvrs/xcvr_ctrl_4/xcvr_reset_4,1,0,/run/devmap/xcvrs/xcvr_ctrl_4/xcvr_present_4,1,0,10,I2C,/run/devmap/xcvrs/xcvr_io_10,10,/sys/class/leds/port100_led1:blue:status,/sys/class/leds/port100_led2:amber:status
