TcvrId,TcvrLaneIdList,PimId,AccessControllerId,AccessControlType,ResetPath,ResetMask,ResetHoldHi,PresentPath,PresentMask,PresentHoldHi,IoControllerId,IoControlType,IoPath,LedId,LedBluePath,LedYellowPath
1,,1,accessController-1,CPLD,/sys/bus/i2c/devices/1-0031/cpld_qsfpdd_reset_0,1,0,/sys/bus/i2c/devices/1-0031/cpld_qsfpdd_intr_present_0,1,0,ioController-1,I2C,/dev/i2c-73,,,,
2,,1,accessController-2,CPLD,/sys/bus/i2c/devices/1-0031/cpld_qsfpdd_reset_0,2,0,/sys/bus/i2c/devices/1-0031/cpld_qsfpdd_intr_present_0,2,0,ioController-2,I2C,/dev/i2c-74,,,,
3,,1,accessController-3,CPLD,/sys/bus/i2c/devices/1-0031/cpld_qsfpdd_reset_0,4,0,/sys/bus/i2c/devices/1-0031/cpld_qsfpdd_intr_present_0,4,0,ioController-3,I2C,/dev/i2c-75,,,,
4,,1,accessController-4,CPLD,/sys/bus/i2c/devices/1-0031/cpld_qsfpdd_reset_0,8,0,/sys/bus/i2c/devices/1-0031/cpld_qsfpdd_intr_present_0,8,0,ioController-4,I2C,/dev/i2c-76,,,,
5,,1,accessController-5,CPLD,/sys/bus/i2c/devices/1-0031/cpld_qsfpdd_reset_0,16,0,/sys/bus/i2c/devices/1-0031/cpld_qsfpdd_intr_present_0,16,0,ioController-5,I2C,/dev/i2c-77,,,,
6,,1,accessController-6,CPLD,/sys/bus/i2c/devices/1-0031/cpld_qsfpdd_reset_0,32,0,/sys/bus/i2c/devices/1-0031/cpld_qsfpdd_intr_present_0,32,0,ioController-6,I2C,/dev/i2c-78,,,,
7,,1,accessController-7,CPLD,/sys/bus/i2c/devices/1-0031/cpld_qsfpdd_reset_0,64,0,/sys/bus/i2c/devices/1-0031/cpld_qsfpdd_intr_present_0,64,0,ioController-7,I2C,/dev/i2c-79,,,,
8,,1,accessController-8,CPLD,/sys/bus/i2c/devices/1-0031/cpld_qsfpdd_reset_0,128,0,/sys/bus/i2c/devices/1-0031/cpld_qsfpdd_intr_present_0,128,0,ioController-8,I2C,/dev/i2c-80,,,,
9,,1,accessController-9,CPLD,/sys/bus/i2c/devices/1-0031/cpld_qsfpdd_reset_1,1,0,/sys/bus/i2c/devices/1-0031/cpld_qsfpdd_intr_present_1,1,0,ioController-9,I2C,/dev/i2c-81,,,,
10,,1,accessController-10,CPLD,/sys/bus/i2c/devices/1-0031/cpld_qsfpdd_reset_1,2,0,/sys/bus/i2c/devices/1-0031/cpld_qsfpdd_intr_present_1,2,0,ioController-10,I2C,/dev/i2c-82,,,,
11,,1,accessController-11,CPLD,/sys/bus/i2c/devices/1-0031/cpld_qsfpdd_reset_1,4,0,/sys/bus/i2c/devices/1-0031/cpld_qsfpdd_intr_present_1,4,0,ioController-11,I2C,/dev/i2c-83,,,,
12,,1,accessController-12,CPLD,/sys/bus/i2c/devices/1-0031/cpld_qsfpdd_reset_1,8,0,/sys/bus/i2c/devices/1-0031/cpld_qsfpdd_intr_present_1,8,0,ioController-12,I2C,/dev/i2c-84,,,,
13,,1,accessController-13,CPLD,/sys/bus/i2c/devices/1-0031/cpld_qsfpdd_reset_1,16,0,/sys/bus/i2c/devices/1-0031/cpld_qsfpdd_intr_present_1,16,0,ioController-13,I2C,/dev/i2c-85,,,,
14,,1,accessController-14,CPLD,/sys/bus/i2c/devices/1-0031/cpld_qsfpdd_reset_1,32,0,/sys/bus/i2c/devices/1-0031/cpld_qsfpdd_intr_present_1,32,0,ioController-14,I2C,/dev/i2c-86,,,,
15,,1,accessController-15,CPLD,/sys/bus/i2c/devices/1-0031/cpld_qsfpdd_reset_1,64,0,/sys/bus/i2c/devices/1-0031/cpld_qsfpdd_intr_present_1,64,0,ioController-15,I2C,/dev/i2c-87,,,,
16,,1,accessController-16,CPLD,/sys/bus/i2c/devices/1-0031/cpld_qsfpdd_reset_1,128,0,/sys/bus/i2c/devices/1-0031/cpld_qsfpdd_intr_present_1,128,0,ioController-16,I2C,/dev/i2c-88,,,,
17,,1,accessController-17,CPLD,/sys/bus/i2c/devices/1-0031/cpld_qsfpdd_reset_2,1,0,/sys/bus/i2c/devices/1-0031/cpld_qsfpdd_intr_present_2,1,0,ioController-17,I2C,/dev/i2c-89,,,,
