TcvrId,TcvrLaneIdList,PimId,AccessControllerId,AccessControlType,ResetPath,ResetMask,ResetHoldHi,PresentPath,PresentMask,PresentHoldHi,IoControllerId,IoControlType,IoPath,LedId,LedBluePath,LedYellowPath
1,1 2 3 4,1,1,CPLD,/run/devmap/xcvrs/xcvr_ctrl_1/xcvr1_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_1/xcvr1_present,1,0,1,I2C,/run/devmap/xcvrs/xcvr_io_1,1,/sys/class/leds/port1_led1:blue:status,/sys/class/leds/port1_led1:yellow:status
1,5 6 7 8,1,1,CPLD,/run/devmap/xcvrs/xcvr_ctrl_1/xcvr1_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_1/xcvr1_present,1,0,1,I2C,/run/devmap/xcvrs/xcvr_io_1,2,/sys/class/leds/port1_led2:blue:status,/sys/class/leds/port1_led2:yellow:status
2,1 2 3 4,1,2,CPLD,/run/devmap/xcvrs/xcvr_ctrl_2/xcvr2_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_2/xcvr2_present,1,0,2,I2C,/run/devmap/xcvrs/xcvr_io_2,3,/sys/class/leds/port2_led1:blue:status,/sys/class/leds/port2_led1:yellow:status
2,5 6 7 8,1,2,CPLD,/run/devmap/xcvrs/xcvr_ctrl_2/xcvr2_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_2/xcvr2_present,1,0,2,I2C,/run/devmap/xcvrs/xcvr_io_2,4,/sys/class/leds/port2_led2:blue:status,/sys/class/leds/port2_led2:yellow:status
3,1 2 3 4,1,3,CPLD,/run/devmap/xcvrs/xcvr_ctrl_3/xcvr3_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_3/xcvr3_present,1,0,3,I2C,/run/devmap/xcvrs/xcvr_io_3,5,/sys/class/leds/port3_led1:blue:status,/sys/class/leds/port3_led1:yellow:status
3,5 6 7 8,1,3,CPLD,/run/devmap/xcvrs/xcvr_ctrl_3/xcvr3_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_3/xcvr3_present,1,0,3,I2C,/run/devmap/xcvrs/xcvr_io_3,6,/sys/class/leds/port3_led2:blue:status,/sys/class/leds/port3_led2:yellow:status
4,1 2 3 4,1,4,CPLD,/run/devmap/xcvrs/xcvr_ctrl_4/xcvr4_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_4/xcvr4_present,1,0,4,I2C,/run/devmap/xcvrs/xcvr_io_4,7,/sys/class/leds/port4_led1:blue:status,/sys/class/leds/port4_led1:yellow:status
4,5 6 7 8,1,4,CPLD,/run/devmap/xcvrs/xcvr_ctrl_4/xcvr4_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_4/xcvr4_present,1,0,4,I2C,/run/devmap/xcvrs/xcvr_io_4,8,/sys/class/leds/port4_led2:blue:status,/sys/class/leds/port4_led2:yellow:status
5,1 2 3 4,1,5,CPLD,/run/devmap/xcvrs/xcvr_ctrl_5/xcvr5_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_5/xcvr5_present,1,0,5,I2C,/run/devmap/xcvrs/xcvr_io_5,9,/sys/class/leds/port5_led1:blue:status,/sys/class/leds/port5_led1:yellow:status
5,5 6 7 8,1,5,CPLD,/run/devmap/xcvrs/xcvr_ctrl_5/xcvr5_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_5/xcvr5_present,1,0,5,I2C,/run/devmap/xcvrs/xcvr_io_5,10,/sys/class/leds/port5_led2:blue:status,/sys/class/leds/port5_led2:yellow:status
6,1 2 3 4,1,6,CPLD,/run/devmap/xcvrs/xcvr_ctrl_6/xcvr6_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_6/xcvr6_present,1,0,6,I2C,/run/devmap/xcvrs/xcvr_io_6,11,/sys/class/leds/port6_led1:blue:status,/sys/class/leds/port6_led1:yellow:status
6,5 6 7 8,1,6,CPLD,/run/devmap/xcvrs/xcvr_ctrl_6/xcvr6_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_6/xcvr6_present,1,0,6,I2C,/run/devmap/xcvrs/xcvr_io_6,12,/sys/class/leds/port6_led2:blue:status,/sys/class/leds/port6_led2:yellow:status
7,1 2 3 4,1,7,CPLD,/run/devmap/xcvrs/xcvr_ctrl_7/xcvr7_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_7/xcvr7_present,1,0,7,I2C,/run/devmap/xcvrs/xcvr_io_7,13,/sys/class/leds/port7_led1:blue:status,/sys/class/leds/port7_led1:yellow:status
7,5 6 7 8,1,7,CPLD,/run/devmap/xcvrs/xcvr_ctrl_7/xcvr7_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_7/xcvr7_present,1,0,7,I2C,/run/devmap/xcvrs/xcvr_io_7,14,/sys/class/leds/port7_led2:blue:status,/sys/class/leds/port7_led2:yellow:status
8,1 2 3 4,1,8,CPLD,/run/devmap/xcvrs/xcvr_ctrl_8/xcvr8_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_8/xcvr8_present,1,0,8,I2C,/run/devmap/xcvrs/xcvr_io_8,15,/sys/class/leds/port8_led1:blue:status,/sys/class/leds/port8_led1:yellow:status
8,5 6 7 8,1,8,CPLD,/run/devmap/xcvrs/xcvr_ctrl_8/xcvr8_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_8/xcvr8_present,1,0,8,I2C,/run/devmap/xcvrs/xcvr_io_8,16,/sys/class/leds/port8_led2:blue:status,/sys/class/leds/port8_led2:yellow:status
9,1 2 3 4,1,9,CPLD,/run/devmap/xcvrs/xcvr_ctrl_9/xcvr9_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_9/xcvr9_present,1,0,9,I2C,/run/devmap/xcvrs/xcvr_io_9,17,/sys/class/leds/port9_led1:blue:status,/sys/class/leds/port9_led1:yellow:status
9,5 6 7 8,1,9,CPLD,/run/devmap/xcvrs/xcvr_ctrl_9/xcvr9_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_9/xcvr9_present,1,0,9,I2C,/run/devmap/xcvrs/xcvr_io_9,18,/sys/class/leds/port9_led2:blue:status,/sys/class/leds/port9_led2:yellow:status
10,1 2 3 4,1,10,CPLD,/run/devmap/xcvrs/xcvr_ctrl_10/xcvr10_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_10/xcvr10_present,1,0,10,I2C,/run/devmap/xcvrs/xcvr_io_10,19,/sys/class/leds/port10_led1:blue:status,/sys/class/leds/port10_led1:yellow:status
10,5 6 7 8,1,10,CPLD,/run/devmap/xcvrs/xcvr_ctrl_10/xcvr10_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_10/xcvr10_present,1,0,10,I2C,/run/devmap/xcvrs/xcvr_io_10,20,/sys/class/leds/port10_led2:blue:status,/sys/class/leds/port10_led2:yellow:status
11,1 2 3 4,1,11,CPLD,/run/devmap/xcvrs/xcvr_ctrl_11/xcvr11_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_11/xcvr11_present,1,0,11,I2C,/run/devmap/xcvrs/xcvr_io_11,21,/sys/class/leds/port11_led1:blue:status,/sys/class/leds/port11_led1:yellow:status
11,5 6 7 8,1,11,CPLD,/run/devmap/xcvrs/xcvr_ctrl_11/xcvr11_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_11/xcvr11_present,1,0,11,I2C,/run/devmap/xcvrs/xcvr_io_11,22,/sys/class/leds/port11_led2:blue:status,/sys/class/leds/port11_led2:yellow:status
12,1 2 3 4,1,12,CPLD,/run/devmap/xcvrs/xcvr_ctrl_12/xcvr12_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_12/xcvr12_present,1,0,12,I2C,/run/devmap/xcvrs/xcvr_io_12,23,/sys/class/leds/port12_led1:blue:status,/sys/class/leds/port12_led1:yellow:status
12,5 6 7 8,1,12,CPLD,/run/devmap/xcvrs/xcvr_ctrl_12/xcvr12_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_12/xcvr12_present,1,0,12,I2C,/run/devmap/xcvrs/xcvr_io_12,24,/sys/class/leds/port12_led2:blue:status,/sys/class/leds/port12_led2:yellow:status
13,1 2 3 4,1,13,CPLD,/run/devmap/xcvrs/xcvr_ctrl_13/xcvr13_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_13/xcvr13_present,1,0,13,I2C,/run/devmap/xcvrs/xcvr_io_13,25,/sys/class/leds/port13_led1:blue:status,/sys/class/leds/port13_led1:yellow:status
13,5 6 7 8,1,13,CPLD,/run/devmap/xcvrs/xcvr_ctrl_13/xcvr13_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_13/xcvr13_present,1,0,13,I2C,/run/devmap/xcvrs/xcvr_io_13,26,/sys/class/leds/port13_led2:blue:status,/sys/class/leds/port13_led2:yellow:status
14,1 2 3 4,1,14,CPLD,/run/devmap/xcvrs/xcvr_ctrl_14/xcvr14_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_14/xcvr14_present,1,0,14,I2C,/run/devmap/xcvrs/xcvr_io_14,27,/sys/class/leds/port14_led1:blue:status,/sys/class/leds/port14_led1:yellow:status
14,5 6 7 8,1,14,CPLD,/run/devmap/xcvrs/xcvr_ctrl_14/xcvr14_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_14/xcvr14_present,1,0,14,I2C,/run/devmap/xcvrs/xcvr_io_14,28,/sys/class/leds/port14_led2:blue:status,/sys/class/leds/port14_led2:yellow:status
15,1 2 3 4,1,15,CPLD,/run/devmap/xcvrs/xcvr_ctrl_15/xcvr15_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_15/xcvr15_present,1,0,15,I2C,/run/devmap/xcvrs/xcvr_io_15,29,/sys/class/leds/port15_led1:blue:status,/sys/class/leds/port15_led1:yellow:status
15,5 6 7 8,1,15,CPLD,/run/devmap/xcvrs/xcvr_ctrl_15/xcvr15_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_15/xcvr15_present,1,0,15,I2C,/run/devmap/xcvrs/xcvr_io_15,30,/sys/class/leds/port15_led2:blue:status,/sys/class/leds/port15_led2:yellow:status
16,1 2 3 4,1,16,CPLD,/run/devmap/xcvrs/xcvr_ctrl_16/xcvr16_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_16/xcvr16_present,1,0,16,I2C,/run/devmap/xcvrs/xcvr_io_16,31,/sys/class/leds/port16_led1:blue:status,/sys/class/leds/port16_led1:yellow:status
16,5 6 7 8,1,16,CPLD,/run/devmap/xcvrs/xcvr_ctrl_16/xcvr16_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_16/xcvr16_present,1,0,16,I2C,/run/devmap/xcvrs/xcvr_io_16,32,/sys/class/leds/port16_led2:blue:status,/sys/class/leds/port16_led2:yellow:status
17,1 2 3 4,1,17,CPLD,/run/devmap/xcvrs/xcvr_ctrl_17/xcvr17_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_17/xcvr17_present,1,0,17,I2C,/run/devmap/xcvrs/xcvr_io_17,33,/sys/class/leds/port17_led1:blue:status,/sys/class/leds/port17_led1:yellow:status
17,5 6 7 8,1,17,CPLD,/run/devmap/xcvrs/xcvr_ctrl_17/xcvr17_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_17/xcvr17_present,1,0,17,I2C,/run/devmap/xcvrs/xcvr_io_17,34,/sys/class/leds/port17_led2:blue:status,/sys/class/leds/port17_led2:yellow:status
18,1 2 3 4,1,18,CPLD,/run/devmap/xcvrs/xcvr_ctrl_18/xcvr18_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_18/xcvr18_present,1,0,18,I2C,/run/devmap/xcvrs/xcvr_io_18,35,/sys/class/leds/port18_led1:blue:status,/sys/class/leds/port18_led1:yellow:status
