Global_PortID,Logical_PortID,Port_Name,Supported_Port_Profiles,Attached_CoreID,Attached_Core_PortID,Virtual_Device_ID,Port_Type,Scope
17,17,rcy1/1/529,49,0,3,0,3,0
18,18,rcy1/1/530,49,0,4,0,3,0
19,19,rcy1/1/531,49,1,2,0,3,0
20,20,rcy1/1/532,49,1,3,0,3,0
21,21,rcy1/1/533,49,2,2,0,3,0
22,22,rcy1/1/534,49,2,3,0,3,0
23,23,rcy1/1/535,49,3,2,0,3,0
24,24,rcy1/1/536,49,3,3,0,3,0
25,25,rcy1/1/537,49,4,2,0,3,0
26,26,rcy1/1/538,49,4,3,0,3,0
27,27,rcy1/1/539,49,5,2,0,3,0
28,28,rcy1/1/540,49,5,3,0,3,0
29,29,rcy1/1/541,49,6,2,0,3,0
30,30,rcy1/1/542,49,6,3,0,3,0
31,31,rcy1/1/543,49,7,2,0,3,0
32,32,rcy1/1/544,49,7,3,0,3,0
33,33,evt1/1/1033,49,0,5,0,5,0
34,34,evt1/1/1034,49,4,4,0,5,0
179,179,eth1/1/1,50-39,2,4,0,0,0
187,187,eth1/2/1,50-39,2,5,0,0,0
195,195,eth1/3/1,50-39,2,6,0,0,0
203,203,eth1/4/1,50-39,2,7,0,0,0
163,163,eth1/5/1,50-39,2,8,0,0,0
211,211,eth1/6/1,50-39,2,9,0,0,0
219,219,eth1/7/1,50-39,2,10,0,0,0
171,171,eth1/8/1,50-39,2,11,0,0,0
251,251,eth1/9/1,50-39,3,4,0,0,0
259,259,eth1/10/1,50-39,3,5,0,0,0
283,283,eth1/11/1,50-39,3,6,0,0,0
267,267,eth1/12/1,50-39,3,7,0,0,0
275,275,eth1/13/1,50-39,3,8,0,0,0
227,227,eth1/14/1,50-39,3,9,0,0,0
243,243,eth1/15/1,50-39,3,10,0,0,0
235,235,eth1/16/1,50-39,3,11,0,0,0
307,307,eth1/17/1,50-39,4,5,0,0,0
299,299,eth1/18/1,50-39,4,6,0,0,0
339,339,eth1/19/1,50-39,4,7,0,0,0
291,291,eth1/20/1,50-39,4,8,0,0,0
347,347,eth1/21/1,50-39,4,9,0,0,0
331,331,eth1/22/1,50-39,4,10,0,0,0
315,315,eth1/23/1,50-39,4,11,0,0,0
323,323,eth1/24/1,50-39,4,12,0,0,0
411,411,eth1/25/1,50-39,5,4,0,0,0
363,363,eth1/26/1,50-39,5,5,0,0,0
355,355,eth1/27/1,50-39,5,6,0,0,0
403,403,eth1/28/1,50-39,5,7,0,0,0
387,387,eth1/29/1,50-39,5,8,0,0,0
379,379,eth1/30/1,50-39,5,9,0,0,0
371,371,eth1/31/1,50-39,5,10,0,0,0
395,395,eth1/32/1,50-39,5,11,0,0,0
443,443,eth1/33/1,50-39,6,4,0,0,0
451,451,eth1/34/1,50-39,6,5,0,0,0
459,459,eth1/35/1,50-39,6,6,0,0,0
435,435,eth1/36/1,50-39,6,7,0,0,0
427,427,eth1/37/1,50-39,6,8,0,0,0
475,475,eth1/38/1,50-39,6,9,0,0,0
467,467,eth1/39/1,50-39,6,10,0,0,0
419,419,eth1/40/1,50-39,6,11,0,0,0
523,523,eth1/41/1,50-39,7,4,0,0,0
539,539,eth1/42/1,50-39,7,5,0,0,0
515,515,eth1/43/1,50-39,7,6,0,0,0
507,507,eth1/44/1,50-39,7,7,0,0,0
491,491,eth1/45/1,50-39,7,8,0,0,0
499,499,eth1/46/1,50-39,7,9,0,0,0
483,483,eth1/47/1,50-39,7,10,0,0,0
531,531,eth1/48/1,50-39,7,11,0,0,0
35,35,eth1/49/1,50-39,0,6,0,0,0
83,83,eth1/50/1,50-39,0,7,0,0,0
43,43,eth1/51/1,50-39,0,8,0,0,0
51,51,eth1/52/1,50-39,0,9,0,0,0
67,67,eth1/53/1,50-39,0,10,0,0,0
59,59,eth1/54/1,50-39,0,11,0,0,0
75,75,eth1/55/1,50-39,0,12,0,0,0
91,91,eth1/56/1,50-39,0,13,0,0,0
147,147,eth1/57/1,50-39,1,4,0,0,0
99,99,eth1/58/1,50-39,1,5,0,0,0
107,107,eth1/59/1,50-39,1,6,0,0,0
155,155,eth1/60/1,50-39,1,7,0,0,0
123,123,eth1/61/1,50-39,1,8,0,0,0
115,115,eth1/62/1,50-39,1,9,0,0,0
139,139,eth1/63/1,50-39,1,10,0,0,0
131,131,eth1/64/1,50-39,1,11,0,0,0
