TCVR_CHIP_ID,TCVR_CORE_ID,TCVR_LANE,OE_CHIP_ID,OE_CORE_ID,OE_LANE,LASER_SOURCE_CHIP_ID,LASER_SOURCE_CORE_ID,LASER_SOURCE_LANE
1,0,0,1,0,0,1,0,0
1,0,1,1,0,1,1,0,1
1,0,2,1,0,2,1,0,2
1,0,3,1,0,3,1,0,3
1,0,4,1,0,4,1,0,4
1,0,5,1,0,5,1,0,5
1,0,6,1,0,6,1,0,6
1,0,7,1,0,7,1,0,7
1,0,8,1,0,8,1,0,8
1,0,9,1,0,9,1,0,9
1,0,10,1,0,10,1,0,10
1,0,11,1,0,11,1,0,11
1,0,12,1,0,12,1,0,12
1,0,13,1,0,13,1,0,13
1,0,14,1,0,14,1,0,14
1,0,15,1,0,15,1,0,15
1,0,16,1,0,16,1,0,16
1,0,17,1,0,17,1,0,17
1,0,18,1,0,18,1,0,18
1,0,19,1,0,19,1,0,19
1,0,20,1,0,20,1,0,20
1,0,21,1,0,21,1,0,21
1,0,22,1,0,22,1,0,22
1,0,23,1,0,23,1,0,23
1,0,24,1,0,24,1,0,24
1,0,25,1,0,25,1,0,25
1,0,26,1,0,26,1,0,26
1,0,27,1,0,27,1,0,27
1,0,28,1,0,28,1,0,28
1,0,29,1,0,29,1,0,29
1,0,30,1,0,30,1,0,30
1,0,31,1,0,31,1,0,31
2,0,0,2,0,0,2,0,0
2,0,1,2,0,1,2,0,1
2,0,2,2,0,2,2,0,2
2,0,3,2,0,3,2,0,3
2,0,4,2,0,4,2,0,4
2,0,5,2,0,5,2,0,5
2,0,6,2,0,6,2,0,6
2,0,7,2,0,7,2,0,7
2,0,8,2,0,8,2,0,8
2,0,9,2,0,9,2,0,9
2,0,10,2,0,10,2,0,10
2,0,11,2,0,11,2,0,11
2,0,12,2,0,12,2,0,12
2,0,13,2,0,13,2,0,13
2,0,14,2,0,14,2,0,14
2,0,15,2,0,15,2,0,15
2,0,16,2,0,16,2,0,16
2,0,17,2,0,17,2,0,17
2,0,18,2,0,18,2,0,18
2,0,19,2,0,19,2,0,19
2,0,20,2,0,20,2,0,20
2,0,21,2,0,21,2,0,21
2,0,22,2,0,22,2,0,22
2,0,23,2,0,23,2,0,23
2,0,24,2,0,24,2,0,24
2,0,25,2,0,25,2,0,25
2,0,26,2,0,26,2,0,26
2,0,27,2,0,27,2,0,27
2,0,28,2,0,28,2,0,28
2,0,29,2,0,29,2,0,29
2,0,30,2,0,30,2,0,30
2,0,31,2,0,31,2,0,31
