Global_PortID,Logical_PortID,Port_Name,Supported_Port_Profiles,Attached_CoreID,Attached_Core_PortID,Virtual_Device_ID,Port_Type,Scope,Parent_Port,Controlling_Port
1,1,eth1/1/1,22-23-24-25-38-39-45-47-50-61,,,,0,0,,1
2,2,eth1/1/2,47,,,,0,0,,1
3,3,eth1/1/3,47-61,,,,0,0,,1
4,4,eth1/1/4,47,,,,0,0,,1
5,5,eth1/1/5,22-23-24-25-38-45-47-61,,,,0,0,,1
6,6,eth1/1/6,47,,,,0,0,,5
7,7,eth1/1/7,47-61,,,,0,0,,5
8,8,eth1/1/8,47,,,,0,0,,5
9,9,eth1/2/1,22-23-24-25-38-39-45-47-50-61,,,,0,0,,9
10,10,eth1/2/2,47,,,,0,0,,9
11,11,eth1/2/3,47-61,,,,0,0,,9
12,12,eth1/2/4,47,,,,0,0,,9
13,13,eth1/2/5,22-23-24-25-38-45-47-61,,,,0,0,,9
14,14,eth1/2/6,47,,,,0,0,,13
15,15,eth1/2/7,47-61,,,,0,0,,13
16,16,eth1/2/8,47,,,,0,0,,13
17,17,eth1/3/1,22-23-24-25-38-39-45-47-50-61,,,,0,0,,17
18,18,eth1/3/2,47,,,,0,0,,17
19,19,eth1/3/3,47-61,,,,0,0,,17
20,20,eth1/3/4,47,,,,0,0,,17
21,21,eth1/3/5,22-23-24-25-38-45-47-61,,,,0,0,,17
22,22,eth1/3/6,47,,,,0,0,,21
23,23,eth1/3/7,47-61,,,,0,0,,21
24,24,eth1/3/8,47,,,,0,0,,21
25,25,eth1/4/1,22-23-24-25-38-39-45-47-50-61,,,,0,0,,25
26,26,eth1/4/2,47,,,,0,0,,25
27,27,eth1/4/3,47-61,,,,0,0,,25
28,28,eth1/4/4,47,,,,0,0,,25
29,29,eth1/4/5,22-23-24-25-38-45-47-61,,,,0,0,,25
30,30,eth1/4/6,47,,,,0,0,,29
31,31,eth1/4/7,47-61,,,,0,0,,29
32,32,eth1/4/8,47,,,,0,0,,29
33,33,eth1/5/1,22-23-24-25-38-39-45-47-50-61,,,,0,0,,33
34,34,eth1/5/2,47,,,,0,0,,33
35,35,eth1/5/3,47-61,,,,0,0,,33
36,36,eth1/5/4,47,,,,0,0,,33
37,37,eth1/5/5,22-23-24-25-38-45-47-61,,,,0,0,,33
38,38,eth1/5/6,47,,,,0,0,,37
39,39,eth1/5/7,47-61,,,,0,0,,37
40,40,eth1/5/8,47,,,,0,0,,37
41,41,eth1/6/1,22-23-24-25-38-39-45-47-50-61,,,,0,0,,41
42,42,eth1/6/2,47,,,,0,0,,41
43,43,eth1/6/3,47-61,,,,0,0,,41
44,44,eth1/6/4,47,,,,0,0,,41
45,45,eth1/6/5,22-23-24-25-38-45-47-61,,,,0,0,,41
46,46,eth1/6/6,47,,,,0,0,,45
47,47,eth1/6/7,47-61,,,,0,0,,45
48,48,eth1/6/8,47,,,,0,0,,45
49,49,eth1/7/1,22-23-24-25-38-39-45-47-50-61,,,,0,0,,49
50,50,eth1/7/2,47,,,,0,0,,49
51,51,eth1/7/3,47-61,,,,0,0,,49
52,52,eth1/7/4,47,,,,0,0,,49
53,53,eth1/7/5,22-23-24-25-38-45-47-61,,,,0,0,,49
54,54,eth1/7/6,47,,,,0,0,,53
55,55,eth1/7/7,47-61,,,,0,0,,53
56,56,eth1/7/8,47,,,,0,0,,53
57,57,eth1/8/1,22-23-24-25-38-39-45-47-50-61,,,,0,0,,57
58,58,eth1/8/2,47,,,,0,0,,57
59,59,eth1/8/3,47-61,,,,0,0,,57
60,60,eth1/8/4,47,,,,0,0,,57
61,61,eth1/8/5,22-23-24-25-38-45-47-61,,,,0,0,,57
62,62,eth1/8/6,47,,,,0,0,,61
63,63,eth1/8/7,47-61,,,,0,0,,61
64,64,eth1/8/8,47,,,,0,0,,61
65,65,eth1/65/1,11-22-23,,,,4,0,,65
