A_SLOT_ID,A_CHIP_ID,A_CHIP_TYPE,A_CORE_ID,A_CORE_TYPE,A_CORE_LANE,A_PHYSICAL_TX_LANE,A_PHYSICAL_RX_LANE,A_TX_POLARITY_SWAP,A_RX_POLARITY_SWAP,Z_SLOT_ID,Z_CHIP_ID,Z_CHIP_TYPE,Z_CORE_ID,Z_CORE_TYPE,Z_CORE_LANE,Z_PHYSICAL_TX_LANE,Z_PHYSICAL_RX_LANE,Z_TX_POLARITY_SWAP,Z_RX_POLARITY_SWAP
1,1,NPU,0,TH5_NIF,0,4,2,Y,N,1,1,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,0,0,0,N,N
1,1,NPU,0,TH5_NIF,1,5,3,Y,N,1,1,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,1,1,1,N,N
1,1,NPU,0,TH5_NIF,2,6,0,Y,Y,1,1,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,2,2,2,N,N
1,1,NPU,0,TH5_NIF,3,7,1,Y,Y,1,1,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,3,3,3,N,N
1,1,NPU,0,TH5_NIF,4,0,6,Y,N,1,1,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,4,4,4,N,N
1,1,NPU,0,TH5_NIF,5,1,7,Y,N,1,1,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,5,5,5,N,N
1,1,NPU,0,TH5_NIF,6,2,4,Y,N,1,1,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,6,6,6,N,N
1,1,NPU,0,TH5_NIF,7,3,5,Y,Y,1,1,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,7,7,7,N,N
1,1,NPU,1,TH5_NIF,0,4,2,N,Y,1,1,TRANSCEIVER,1,BANKED_CMIS_INTEGRATED,0,0,0,N,N
1,1,NPU,1,TH5_NIF,1,5,3,N,N,1,1,TRANSCEIVER,1,BANKED_CMIS_INTEGRATED,1,1,1,N,N
1,1,NPU,1,TH5_NIF,2,6,0,Y,Y,1,1,TRANSCEIVER,1,BANKED_CMIS_INTEGRATED,2,2,2,N,N
1,1,NPU,1,TH5_NIF,3,7,1,Y,N,1,1,TRANSCEIVER,1,BANKED_CMIS_INTEGRATED,3,3,3,N,N
1,1,NPU,1,TH5_NIF,4,0,6,N,Y,1,1,TRANSCEIVER,1,BANKED_CMIS_INTEGRATED,4,4,4,N,N
1,1,NPU,1,TH5_NIF,5,1,7,N,N,1,1,TRANSCEIVER,1,BANKED_CMIS_INTEGRATED,5,5,5,N,N
1,1,NPU,1,TH5_NIF,6,2,4,Y,Y,1,1,TRANSCEIVER,1,BANKED_CMIS_INTEGRATED,6,6,6,N,N
1,1,NPU,1,TH5_NIF,7,3,5,Y,N,1,1,TRANSCEIVER,1,BANKED_CMIS_INTEGRATED,7,7,7,N,N
1,1,NPU,2,TH5_NIF,0,2,5,N,Y,1,1,TRANSCEIVER,2,BANKED_CMIS_INTEGRATED,0,0,0,N,N
1,1,NPU,2,TH5_NIF,1,3,4,N,Y,1,1,TRANSCEIVER,2,BANKED_CMIS_INTEGRATED,1,1,1,N,N
1,1,NPU,2,TH5_NIF,2,0,7,N,N,1,1,TRANSCEIVER,2,BANKED_CMIS_INTEGRATED,2,2,2,N,N
1,1,NPU,2,TH5_NIF,3,1,6,N,N,1,1,TRANSCEIVER,2,BANKED_CMIS_INTEGRATED,3,3,3,N,N
1,1,NPU,2,TH5_NIF,4,6,1,N,Y,1,1,TRANSCEIVER,2,BANKED_CMIS_INTEGRATED,4,4,4,N,N
1,1,NPU,2,TH5_NIF,5,7,0,N,Y,1,1,TRANSCEIVER,2,BANKED_CMIS_INTEGRATED,5,5,5,N,N
1,1,NPU,2,TH5_NIF,6,4,3,N,N,1,1,TRANSCEIVER,2,BANKED_CMIS_INTEGRATED,6,6,6,N,N
1,1,NPU,2,TH5_NIF,7,5,2,N,N,1,1,TRANSCEIVER,2,BANKED_CMIS_INTEGRATED,7,7,7,N,N
1,1,NPU,3,TH5_NIF,0,2,4,N,N,1,1,TRANSCEIVER,3,BANKED_CMIS_INTEGRATED,0,0,0,N,N
1,1,NPU,3,TH5_NIF,1,3,3,N,Y,1,1,TRANSCEIVER,3,BANKED_CMIS_INTEGRATED,1,1,1,N,N
1,1,NPU,3,TH5_NIF,2,0,6,Y,N,1,1,TRANSCEIVER,3,BANKED_CMIS_INTEGRATED,2,2,2,N,N
1,1,NPU,3,TH5_NIF,3,1,1,Y,Y,1,1,TRANSCEIVER,3,BANKED_CMIS_INTEGRATED,3,3,3,N,N
1,1,NPU,3,TH5_NIF,4,6,0,N,N,1,1,TRANSCEIVER,3,BANKED_CMIS_INTEGRATED,4,4,4,N,N
1,1,NPU,3,TH5_NIF,5,7,7,N,Y,1,1,TRANSCEIVER,3,BANKED_CMIS_INTEGRATED,5,5,5,N,N
1,1,NPU,3,TH5_NIF,6,4,2,Y,N,1,1,TRANSCEIVER,3,BANKED_CMIS_INTEGRATED,6,6,6,N,N
1,1,NPU,3,TH5_NIF,7,5,5,Y,Y,1,1,TRANSCEIVER,3,BANKED_CMIS_INTEGRATED,7,7,7,N,N
1,1,NPU,4,TH5_NIF,0,7,2,Y,Y,1,2,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,0,0,0,N,N
1,1,NPU,4,TH5_NIF,1,5,1,N,Y,1,2,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,1,1,1,N,N
1,1,NPU,4,TH5_NIF,2,3,6,N,Y,1,2,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,2,2,2,N,N
1,1,NPU,4,TH5_NIF,3,0,5,Y,N,1,2,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,3,3,3,N,N
1,1,NPU,4,TH5_NIF,4,4,0,Y,Y,1,2,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,4,4,4,N,N
1,1,NPU,4,TH5_NIF,5,6,3,N,Y,1,2,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,5,5,5,N,N
1,1,NPU,4,TH5_NIF,6,1,4,Y,Y,1,2,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,6,6,6,N,N
1,1,NPU,4,TH5_NIF,7,2,7,N,Y,1,2,TRANSCEIVER,0,BANKED_CMIS_INTEGRATED,7,7,7,N,N
1,1,NPU,5,TH5_NIF,0,5,7,Y,N,1,2,TRANSCEIVER,1,BANKED_CMIS_INTEGRATED,0,0,0,N,N
1,1,NPU,5,TH5_NIF,1,6,4,N,N,1,2,TRANSCEIVER,1,BANKED_CMIS_INTEGRATED,1,1,1,N,N
1,1,NPU,5,TH5_NIF,2,1,1,N,N,1,2,TRANSCEIVER,1,BANKED_CMIS_INTEGRATED,2,2,2,N,N
1,1,NPU,5,TH5_NIF,3,2,2,Y,Y,1,2,TRANSCEIVER,1,BANKED_CMIS_INTEGRATED,3,3,3,N,N
1,1,NPU,5,TH5_NIF,4,4,6,N,N,1,2,TRANSCEIVER,1,BANKED_CMIS_INTEGRATED,4,4,4,N,N
1,1,NPU,5,TH5_NIF,5,7,5,Y,N,1,2,TRANSCEIVER,1,BANKED_CMIS_INTEGRATED,5,5,5,N,N
1,1,NPU,5,TH5_NIF,6,0,3,N,Y,1,2,TRANSCEIVER,1,BANKED_CMIS_INTEGRATED,6,6,6,N,N
1,1,NPU,5,TH5_NIF,7,3,0,N,N,1,2,TRANSCEIVER,1,BANKED_CMIS_INTEGRATED,7,7,7,N,N
1,1,NPU,6,TH5_NIF,0,0,2,N,Y,1,2,TRANSCEIVER,2,BANKED_CMIS_INTEGRATED,0,0,0,N,N
1,1,NPU,6,TH5_NIF,1,3,0,N,Y,1,2,TRANSCEIVER,2,BANKED_CMIS_INTEGRATED,1,1,1,N,N
1,1,NPU,6,TH5_NIF,2,4,3,Y,Y,1,2,TRANSCEIVER,2,BANKED_CMIS_INTEGRATED,2,2,2,N,N
1,1,NPU,6,TH5_NIF,3,2,7,Y,Y,1,2,TRANSCEIVER,2,BANKED_CMIS_INTEGRATED,3,3,3,N,N
