A_SLOT_ID,A_CHIP_ID,A_CHIP_TYPE,A_CORE_ID,A_CORE_TYPE,A_CORE_LANE,A_PHYSICAL_TX_LANE,A_PHYSICAL_RX_LANE,A_TX_POLARITY_SWAP,A_RX_POLARITY_SWAP,Z_SLOT_ID,Z_CHIP_ID,Z_CHIP_TYPE,Z_CORE_ID,Z_CORE_TYPE,Z_CORE_LANE,Z_PHYSICAL_TX_LANE,Z_PHYSICAL_RX_LANE,Z_TX_POLARITY_SWAP,Z_RX_POLARITY_SWAP
1,1,NPU,0,TH5_NIF,0,4,2,N,N,1,2,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,0,TH5_NIF,1,5,3,Y,Y,1,2,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,0,TH5_NIF,2,6,0,N,Y,1,2,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,0,TH5_NIF,3,7,1,Y,N,1,2,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,1,NPU,0,TH5_NIF,4,0,6,N,N,1,2,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,0,TH5_NIF,5,1,7,Y,Y,1,2,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,1,NPU,0,TH5_NIF,6,2,4,N,N,1,2,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,0,TH5_NIF,7,3,5,Y,N,1,2,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,1,NPU,1,TH5_NIF,0,10,12,N,Y,1,3,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,1,TH5_NIF,1,11,13,Y,N,1,3,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,1,TH5_NIF,2,8,14,Y,Y,1,3,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,1,TH5_NIF,3,9,15,N,N,1,3,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,1,NPU,1,TH5_NIF,4,14,8,N,Y,1,3,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,1,TH5_NIF,5,15,9,Y,N,1,3,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,1,NPU,1,TH5_NIF,6,12,10,Y,Y,1,3,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,1,TH5_NIF,7,13,11,N,N,1,3,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,1,NPU,2,TH5_NIF,0,20,18,N,N,1,1,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,2,TH5_NIF,1,21,19,Y,Y,1,1,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,2,TH5_NIF,2,22,16,N,Y,1,1,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,2,TH5_NIF,3,23,17,Y,N,1,1,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,1,NPU,2,TH5_NIF,4,16,22,N,N,1,1,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,2,TH5_NIF,5,17,23,Y,Y,1,1,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,1,NPU,2,TH5_NIF,6,18,20,N,Y,1,1,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,2,TH5_NIF,7,19,21,Y,N,1,1,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,1,NPU,3,TH5_NIF,0,26,28,N,Y,1,4,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,3,TH5_NIF,1,27,29,Y,N,1,4,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,3,TH5_NIF,2,24,30,Y,Y,1,4,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,3,TH5_NIF,3,25,31,N,N,1,4,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,1,NPU,3,TH5_NIF,4,30,24,N,Y,1,4,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,3,TH5_NIF,5,31,25,Y,N,1,4,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,1,NPU,3,TH5_NIF,6,28,26,Y,Y,1,4,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,3,TH5_NIF,7,29,27,N,N,1,4,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,1,NPU,4,TH5_NIF,0,35,37,Y,Y,1,7,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,4,TH5_NIF,1,34,36,N,Y,1,7,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,4,TH5_NIF,2,33,39,Y,Y,1,7,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,4,TH5_NIF,3,32,38,N,N,1,7,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,1,NPU,4,TH5_NIF,4,39,33,Y,Y,1,7,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,4,TH5_NIF,5,38,32,Y,N,1,7,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,1,NPU,4,TH5_NIF,6,36,35,N,N,1,7,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,4,TH5_NIF,7,37,34,N,Y,1,7,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,1,NPU,5,TH5_NIF,0,44,44,N,N,1,6,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,5,TH5_NIF,1,47,45,Y,N,1,6,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,5,TH5_NIF,2,46,46,Y,Y,1,6,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,5,TH5_NIF,3,45,47,N,Y,1,6,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,1,NPU,5,TH5_NIF,4,40,42,Y,N,1,6,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,5,TH5_NIF,5,43,40,Y,Y,1,6,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,1,NPU,5,TH5_NIF,6,41,43,N,Y,1,6,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,5,TH5_NIF,7,42,41,Y,N,1,6,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,1,NPU,6,TH5_NIF,0,49,51,Y,N,1,8,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,6,TH5_NIF,1,50,49,N,Y,1,8,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,6,TH5_NIF,2,48,50,Y,Y,1,8,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,6,TH5_NIF,3,51,48,N,N,1,8,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,1,NPU,6,TH5_NIF,4,54,54,N,N,1,8,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,6,TH5_NIF,5,53,55,Y,N,1,8,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,1,NPU,6,TH5_NIF,6,52,52,Y,Y,1,8,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,6,TH5_NIF,7,55,53,N,Y,1,8,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,1,NPU,7,TH5_NIF,0,60,60,N,N,1,5,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,7,TH5_NIF,1,63,61,Y,N,1,5,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,7,TH5_NIF,2,62,62,Y,Y,1,5,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,7,TH5_NIF,3,61,63,N,Y,1,5,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,1,NPU,7,TH5_NIF,4,56,58,N,N,1,5,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,7,TH5_NIF,5,59,56,Y,Y,1,5,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,1,NPU,7,TH5_NIF,6,57,59,N,Y,1,5,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,7,TH5_NIF,7,58,57,Y,N,1,5,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,1,NPU,8,TH5_NIF,0,65,67,Y,N,1,11,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,8,TH5_NIF,1,66,65,N,Y,1,11,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,8,TH5_NIF,2,64,66,Y,Y,1,11,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,8,TH5_NIF,3,67,64,N,N,1,11,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,1,NPU,8,TH5_NIF,4,70,70,N,N,1,11,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,8,TH5_NIF,5,69,71,Y,N,1,11,TRANSCEIVER,0,OSFP,5,5,5,N,N
