Global_PortID,Logical_PortID,Port_Name,Supported_Port_Profiles,Attached_CoreID,Attached_Core_PortID,Virtual_Device_ID,Port_Type,Scope
273,273,eth1/1/1,23-38-39-45-47-49-50-51-52-53,,,,0,0
274,274,eth1/1/2,47-49-53,,,,0,0
275,275,eth1/1/3,47-49-51-53,,,,0,0
276,276,eth1/1/4,47-49-53,,,,0,0
277,277,eth1/1/5,23-38-45-47-49-51-52-53,,,,0,0
278,278,eth1/1/6,47-49-53,,,,0,0
279,279,eth1/1/7,47-49-51-53,,,,0,0
280,280,eth1/1/8,47-49-53,,,,0,0
281,281,eth1/2/1,23-38-39-45-47-49-50-51-52-53,,,,0,0
282,282,eth1/2/2,47-49-53,,,,0,0
283,283,eth1/2/3,47-49-51-53,,,,0,0
284,284,eth1/2/4,47-49-53,,,,0,0
285,285,eth1/2/5,23-38-45-47-49-51-52-53,,,,0,0
286,286,eth1/2/6,47-49-53,,,,0,0
287,287,eth1/2/7,47-49-51-53,,,,0,0
288,288,eth1/2/8,47-49-53,,,,0,0
257,257,eth1/3/1,23-38-39-45-47-49-50-51-52-53,,,,0,0
258,258,eth1/3/2,47-49-53,,,,0,0
259,259,eth1/3/3,47-49-51-53,,,,0,0
260,260,eth1/3/4,47-49-53,,,,0,0
261,261,eth1/3/5,23-38-45-47-49-51-52-53,,,,0,0
262,262,eth1/3/6,47-49-53,,,,0,0
263,263,eth1/3/7,47-49-51-53,,,,0,0
264,264,eth1/3/8,47-49-53,,,,0,0
265,265,eth1/4/1,23-38-39-45-47-49-50-51-52-53,,,,0,0
266,266,eth1/4/2,47-49-53,,,,0,0
267,267,eth1/4/3,47-49-51-53,,,,0,0
268,268,eth1/4/4,47-49-53,,,,0,0
269,269,eth1/4/5,23-38-45-47-49-51-52-53,,,,0,0
270,270,eth1/4/6,47-49-53,,,,0,0
271,271,eth1/4/7,47-49-51-53,,,,0,0
272,272,eth1/4/8,47-49-53,,,,0,0
297,297,eth1/5/1,23-38-39-45-47-49-50-51-52-53,,,,0,0
298,298,eth1/5/2,47-49-53,,,,0,0
299,299,eth1/5/3,47-49-51-53,,,,0,0
300,300,eth1/5/4,47-49-53,,,,0,0
301,301,eth1/5/5,23-38-45-47-49-51-52-53,,,,0,0
302,302,eth1/5/6,47-49-53,,,,0,0
303,303,eth1/5/7,47-49-51-53,,,,0,0
304,304,eth1/5/8,47-49-53,,,,0,0
289,289,eth1/6/1,23-38-39-45-47-49-50-51-52-53,,,,0,0
290,290,eth1/6/2,47-49-53,,,,0,0
291,291,eth1/6/3,47-49-51-53,,,,0,0
292,292,eth1/6/4,47-49-53,,,,0,0
293,293,eth1/6/5,23-38-45-47-49-51-52-53,,,,0,0
294,294,eth1/6/6,47-49-53,,,,0,0
295,295,eth1/6/7,47-49-51-53,,,,0,0
296,296,eth1/6/8,47-49-53,,,,0,0
313,313,eth1/7/1,23-38-39-45-47-49-50-51-52-53,,,,0,0
314,314,eth1/7/2,47-49-53,,,,0,0
315,315,eth1/7/3,47-49-51-53,,,,0,0
316,316,eth1/7/4,47-49-53,,,,0,0
317,317,eth1/7/5,23-38-45-47-49-51-52-53,,,,0,0
318,318,eth1/7/6,47-49-53,,,,0,0
319,319,eth1/7/7,47-49-51-53,,,,0,0
320,320,eth1/7/8,47-49-53,,,,0,0
305,305,eth1/8/1,23-38-39-45-47-49-50-51-52-53,,,,0,0
306,306,eth1/8/2,47-49-53,,,,0,0
307,307,eth1/8/3,47-49-51-53,,,,0,0
308,308,eth1/8/4,47-49-53,,,,0,0
309,309,eth1/8/5,23-38-45-47-49-51-52-53,,,,0,0
310,310,eth1/8/6,47-49-53,,,,0,0
311,311,eth1/8/7,47-49-51-53,,,,0,0
312,312,eth1/8/8,47-49-53,,,,0,0
337,337,eth1/9/1,23-38-39-45-47-49-50-51-52-53,,,,0,0
338,338,eth1/9/2,47-49-53,,,,0,0
339,339,eth1/9/3,47-49-51-53,,,,0,0
340,340,eth1/9/4,47-49-53,,,,0,0
341,341,eth1/9/5,23-38-45-47-49-51-52-53,,,,0,0
342,342,eth1/9/6,47-49-53,,,,0,0
343,343,eth1/9/7,47-49-51-53,,,,0,0
344,344,eth1/9/8,47-49-53,,,,0,0
345,345,eth1/10/1,23-38-39-45-47-49-50-51-52-53,,,,0,0
346,346,eth1/10/2,47-49-53,,,,0,0
347,347,eth1/10/3,47-49-51-53,,,,0,0
348,348,eth1/10/4,47-49-53,,,,0,0
349,349,eth1/10/5,23-38-45-47-49-51-52-53,,,,0,0
350,350,eth1/10/6,47-49-53,,,,0,0
351,351,eth1/10/7,47-49-51-53,,,,0,0
352,352,eth1/10/8,47-49-53,,,,0,0
321,321,eth1/11/1,23-38-39-45-47-49-50-51-52-53,,,,0,0
322,322,eth1/11/2,47-49-53,,,,0,0
323,323,eth1/11/3,47-49-51-53,,,,0,0
324,324,eth1/11/4,47-49-53,,,,0,0
325,325,eth1/11/5,23-38-45-47-49-51-52-53,,,,0,0
326,326,eth1/11/6,47-49-53,,,,0,0
327,327,eth1/11/7,47-49-51-53,,,,0,0
328,328,eth1/11/8,47-49-53,,,,0,0
329,329,eth1/12/1,23-38-39-45-47-49-50-51-52-53,,,,0,0
330,330,eth1/12/2,47-49-53,,,,0,0
331,331,eth1/12/3,47-49-51-53,,,,0,0
332,332,eth1/12/4,47-49-53,,,,0,0
333,333,eth1/12/5,23-38-45-47-49-51-52-53,,,,0,0
334,334,eth1/12/6,47-49-53,,,,0,0
335,335,eth1/12/7,47-49-51-53,,,,0,0
