A_SLOT_ID,A_CHIP_ID,A_CHIP_TYPE,A_CORE_ID,A_CORE_TYPE,A_CORE_LANE,A_PHYSICAL_TX_LANE,A_PHYSICAL_RX_LANE,A_TX_POLARITY_SWAP,A_RX_POLARITY_SWAP,Z_SLOT_ID,Z_CHIP_ID,Z_CHIP_TYEP,Z_CORE_ID,Z_CORE_TYPE,Z_CORE_LANE,Z_PHYSICAL_TX_LANE,Z_PHYSICAL_RX_LANE,Z_TX_POLARITY_SWAP,Z_RX_POLARITY_SWAP
1,1,NPU,0,TH6_NIF,0,3,6,NO,NO,1,1,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,0,TH6_NIF,1,0,4,NO,YES,1,1,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,0,TH6_NIF,2,2,7,YES,NO,1,1,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,0,TH6_NIF,3,1,5,YES,YES,1,1,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,1,NPU,0,TH6_NIF,4,6,1,YES,NO,1,1,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,0,TH6_NIF,5,4,0,NO,NO,1,1,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,1,NPU,0,TH6_NIF,6,7,2,YES,NO,1,1,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,0,TH6_NIF,7,5,3,NO,YES,1,1,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,1,NPU,1,TH6_NIF,0,2,6,NO,NO,1,5,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,1,TH6_NIF,1,0,4,NO,YES,1,5,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,1,TH6_NIF,2,3,7,YES,NO,1,5,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,1,TH6_NIF,3,1,5,YES,YES,1,5,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,1,NPU,1,TH6_NIF,4,7,0,YES,NO,1,5,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,1,TH6_NIF,5,5,1,NO,NO,1,5,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,1,NPU,1,TH6_NIF,6,6,2,YES,NO,1,5,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,1,TH6_NIF,7,4,3,NO,YES,1,5,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,1,NPU,2,TH6_NIF,0,5,1,NO,NO,1,13,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,2,TH6_NIF,1,7,3,NO,YES,1,13,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,2,TH6_NIF,2,4,0,YES,NO,1,13,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,2,TH6_NIF,3,6,2,YES,YES,1,13,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,1,NPU,2,TH6_NIF,4,0,7,YES,NO,1,13,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,2,TH6_NIF,5,2,6,NO,NO,1,13,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,1,NPU,2,TH6_NIF,6,1,5,YES,NO,1,13,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,2,TH6_NIF,7,3,4,NO,YES,1,13,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,1,NPU,3,TH6_NIF,0,4,1,NO,NO,1,9,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,3,TH6_NIF,1,7,3,YES,YES,1,9,TRANSCEIVER,0,OSFP,1,1,1,N,N
