Global_PortID,Logical_PortID,Port_Name,Supported_Port_Profiles,Attached_CoreID,Attached_Core_PortID,Virtual_Device_ID,Port_Type,Scope
1,1,rcy1/1/529,49,0,3,0,3,1
33,33,evt1/1/1033,49,0,5,0,5,0
65,65,eth1/1/1,52-57,0,7,0,0,1
66,66,eth1/1/5,52-57,0,8,0,0,1
67,67,eth1/2/1,52-57,0,9,0,0,1
68,68,eth1/2/5,52-57,0,10,0,0,1
69,69,eth1/3/1,52-57,0,11,0,0,1
70,70,eth1/3/5,52-57,0,12,0,0,1
71,71,eth1/4/1,52-57,0,13,0,0,1
72,72,eth1/4/5,52-57,0,14,0,0,1
73,73,eth1/5/1,52-57,1,4,0,0,1
74,74,eth1/5/5,52-57,1,5,0,0,1
75,75,eth1/6/1,52-57,1,6,0,0,1
76,76,eth1/6/5,52-57,1,7,0,0,1
77,77,eth1/7/1,52-57,1,8,0,0,1
78,78,eth1/7/5,52-57,1,9,0,0,1
79,79,eth1/8/1,52-57,1,10,0,0,1
80,80,eth1/8/5,52-57,1,11,0,0,1
81,81,eth1/9/1,52-57,2,4,0,0,1
82,82,eth1/9/5,52-57,2,5,0,0,1
83,83,eth1/10/1,52-57,2,6,0,0,1
84,84,eth1/10/5,52-57,2,7,0,0,1
85,85,eth1/11/1,52-57,2,8,0,0,1
86,86,eth1/11/5,52-57,2,9,0,0,1
87,87,eth1/12/1,52-57,2,10,0,0,1
88,88,eth1/12/5,52-57,2,11,0,0,1
89,89,eth1/13/1,52-57,3,4,0,0,1
90,90,eth1/13/5,52-57,3,5,0,0,1
91,91,eth1/14/1,52-57,3,6,0,0,1
92,92,eth1/14/5,52-57,3,7,0,0,1
93,93,eth1/15/1,52-57,3,8,0,0,1
94,94,eth1/15/5,52-57,3,9,0,0,1
95,95,eth1/16/1,52-57,3,10,0,0,1
96,96,eth1/16/5,52-57,3,11,0,0,1
