A_SLOT_ID,A_CHIP_ID,A_CHIP_TYPE,A_CORE_ID,A_CORE_TYPE,A_CORE_LANE,A_PHYSICAL_TX_LANE,A_PHYSICAL_RX_LANE,A_TX_POLARITY_SWAP,A_RX_POLARITY_SWAP,Z_SLOT_ID,Z_CHIP_ID,Z_CHIP_TYPE,Z_CORE_ID,Z_CORE_TYPE,Z_CORE_LANE,Z_PHYSICAL_TX_LANE,Z_PHYSICAL_RX_LANE,Z_TX_POLARITY_SWAP,Z_RX_POLARITY_SWAP
1,1,NPU,0,TH6_NIF,0,1,4,Y,Y,1,1,XPHY,0,AGERA3_SYSTEM,9,1,1,N,Y
1,1,NPU,0,TH6_NIF,1,3,5,N,Y,1,1,XPHY,0,AGERA3_SYSTEM,11,3,3,N,Y
1,1,NPU,0,TH6_NIF,2,0,6,Y,Y,1,1,XPHY,0,AGERA3_SYSTEM,13,5,5,N,Y
1,1,NPU,0,TH6_NIF,3,2,7,N,N,1,1,XPHY,0,AGERA3_SYSTEM,15,7,7,N,Y
1,1,NPU,0,TH6_NIF,4,7,1,Y,N,1,1,XPHY,0,AGERA3_SYSTEM,8,0,0,N,N
1,1,NPU,0,TH6_NIF,5,5,3,Y,N,1,1,XPHY,0,AGERA3_SYSTEM,10,2,2,N,N
1,1,NPU,0,TH6_NIF,6,6,0,N,Y,1,1,XPHY,0,AGERA3_SYSTEM,12,4,4,N,N
1,1,NPU,0,TH6_NIF,7,4,2,N,Y,1,1,XPHY,0,AGERA3_SYSTEM,14,6,6,N,N
1,1,NPU,1,TH6_NIF,0,1,4,Y,Y,1,2,XPHY,0,AGERA3_SYSTEM,25,1,1,N,Y
1,1,NPU,1,TH6_NIF,1,3,5,N,Y,1,2,XPHY,0,AGERA3_SYSTEM,27,3,3,N,Y
1,1,NPU,1,TH6_NIF,2,0,6,Y,Y,1,2,XPHY,0,AGERA3_SYSTEM,29,5,5,N,Y
1,1,NPU,1,TH6_NIF,3,2,7,N,N,1,2,XPHY,0,AGERA3_SYSTEM,31,7,7,N,Y
1,1,NPU,1,TH6_NIF,4,7,1,Y,N,1,2,XPHY,0,AGERA3_SYSTEM,24,0,0,N,N
1,1,NPU,1,TH6_NIF,5,5,3,Y,N,1,2,XPHY,0,AGERA3_SYSTEM,26,2,2,N,N
1,1,NPU,1,TH6_NIF,6,6,0,N,Y,1,2,XPHY,0,AGERA3_SYSTEM,28,4,4,N,N
1,1,NPU,1,TH6_NIF,7,4,2,N,Y,1,2,XPHY,0,AGERA3_SYSTEM,30,6,6,N,N
1,1,NPU,2,TH6_NIF,0,1,4,Y,Y,1,3,XPHY,0,AGERA3_SYSTEM,41,1,1,N,Y
1,1,NPU,2,TH6_NIF,1,3,5,N,Y,1,3,XPHY,0,AGERA3_SYSTEM,43,3,3,N,Y
1,1,NPU,2,TH6_NIF,2,0,6,Y,Y,1,3,XPHY,0,AGERA3_SYSTEM,45,5,5,N,Y
1,1,NPU,2,TH6_NIF,3,2,7,N,N,1,3,XPHY,0,AGERA3_SYSTEM,47,7,7,N,Y
