Global_PortID,Logical_PortID,Port_Name,Supported_Port_Profiles,Attached_CoreID,Attached_Core_PortID,Virtual_Device_ID,Port_Type,Scope,Parent_Port,Controlling_Port
39,39,eth1/1/1,23-25-38-39-45-47-50-61,,,,0,0,,
1026,1026,eth1/1/3,47-61,,,,0,0,,
1028,1028,eth1/1/5,23-25-38-45-47-61,,,,0,0,,
1030,1030,eth1/1/7,47-61,,,,0,0,,
57,57,eth1/2/1,23-25-38-39-45-47-50-61,,,,0,0,,
1034,1034,eth1/2/3,47-61,,,,0,0,,
1036,1036,eth1/2/5,23-25-38-45-47-61,,,,0,0,,
1038,1038,eth1/2/7,47-61,,,,0,0,,
111,111,eth1/3/1,23-25-38-39-45-47-50-61,,,,0,0,,
1042,1042,eth1/3/3,47-61,,,,0,0,,
1044,1044,eth1/3/5,23-25-38-45-47-61,,,,0,0,,
1046,1046,eth1/3/7,47-61,,,,0,0,,
129,129,eth1/4/1,23-25-38-39-45-47-50-61,,,,0,0,,
1050,1050,eth1/4/3,47-61,,,,0,0,,
1052,1052,eth1/4/5,23-25-38-45-47-61,,,,0,0,,
1054,1054,eth1/4/7,47-61,,,,0,0,,
109,109,eth1/5/1,23-25-38-39-45-47-50-61,,,,0,0,,
1058,1058,eth1/5/3,47-61,,,,0,0,,
1060,1060,eth1/5/5,23-25-38-45-47-61,,,,0,0,,
1062,1062,eth1/5/7,47-61,,,,0,0,,
127,127,eth1/6/1,23-25-38-39-45-47-50-61,,,,0,0,,
1066,1066,eth1/6/3,47-61,,,,0,0,,
1068,1068,eth1/6/5,23-25-38-45-47-61,,,,0,0,,
1070,1070,eth1/6/7,47-61,,,,0,0,,
3,3,eth1/7/1,23-25-38-39-45-47-50-61,,,,0,0,,
1074,1074,eth1/7/3,47-61,,,,0,0,,
1076,1076,eth1/7/5,23-25-38-45-47-61,,,,0,0,,
1078,1078,eth1/7/7,47-61,,,,0,0,,
4,4,eth1/8/1,23-25-38-39-45-47-50-61,,,,0,0,,
1082,1082,eth1/8/3,47-61,,,,0,0,,
1084,1084,eth1/8/5,23-25-38-45-47-61,,,,0,0,,
1086,1086,eth1/8/7,47-61,,,,0,0,,
38,38,eth1/9/1,23-25-38-39-45-47-50-61,,,,0,0,,
1090,1090,eth1/9/3,47-61,,,,0,0,,
1092,1092,eth1/9/5,23-25-38-45-47-61,,,,0,0,,
1094,1094,eth1/9/7,47-61,,,,0,0,,
55,55,eth1/10/1,23-25-38-39-45-47-50-61,,,,0,0,,
1098,1098,eth1/10/3,47-61,,,,0,0,,
1100,1100,eth1/10/5,23-25-38-45-47-61,,,,0,0,,
1102,1102,eth1/10/7,47-61,,,,0,0,,
110,110,eth1/11/1,23-25-38-39-45-47-50-61,,,,0,0,,
1106,1106,eth1/11/3,47-61,,,,0,0,,
1108,1108,eth1/11/5,23-25-38-45-47-61,,,,0,0,,
1110,1110,eth1/11/7,47-61,,,,0,0,,
108,108,eth1/12/1,23-25-38-39-45-47-50-61,,,,0,0,,
1114,1114,eth1/12/3,47-61,,,,0,0,,
1116,1116,eth1/12/5,23-25-38-45-47-61,,,,0,0,,
1118,1118,eth1/12/7,47-61,,,,0,0,,
128,128,eth1/13/1,23-25-38-39-45-47-50-61,,,,0,0,,
1122,1122,eth1/13/3,47-61,,,,0,0,,
1124,1124,eth1/13/5,23-25-38-45-47-61,,,,0,0,,
1126,1126,eth1/13/7,47-61,,,,0,0,,
126,126,eth1/14/1,23-25-38-39-45-47-50-61,,,,0,0,,
1130,1130,eth1/14/3,47-61,,,,0,0,,
1132,1132,eth1/14/5,23-25-38-45-47-61,,,,0,0,,
1134,1134,eth1/14/7,47-61,,,,0,0,,
2,2,eth1/15/1,23-25-38-39-45-47-50-61,,,,0,0,,
1138,1138,eth1/15/3,47-61,,,,0,0,,
1140,1140,eth1/15/5,23-25-38-45-47-61,,,,0,0,,
1142,1142,eth1/15/7,47-61,,,,0,0,,
1,1,eth1/16/1,23-25-38-39-45-47-50-61,,,,0,0,,
1146,1146,eth1/16/3,47-61,,,,0,0,,
1148,1148,eth1/16/5,23-25-38-45-47-61,,,,0,0,,
1150,1150,eth1/16/7,47-61,,,,0,0,,
54,54,eth1/17/1,23-25-38-39-45-47-50-61,,,,0,0,,
1154,1154,eth1/17/3,47-61,,,,0,0,,
1156,1156,eth1/17/5,23-25-38-45-47-61,,,,0,0,,
1158,1158,eth1/17/7,47-61,,,,0,0,,
56,56,eth1/18/1,23-25-38-39-45-47-50-61,,,,0,0,,
1162,1162,eth1/18/3,47-61,,,,0,0,,
1164,1164,eth1/18/5,23-25-38-45-47-61,,,,0,0,,
1166,1166,eth1/18/7,47-61,,,,0,0,,
144,144,eth1/19/1,23-25-38-39-45-47-50-61,,,,0,0,,
1170,1170,eth1/19/3,47-61,,,,0,0,,
1172,1172,eth1/19/5,23-25-38-45-47-61,,,,0,0,,
1174,1174,eth1/19/7,47-61,,,,0,0,,
146,146,eth1/20/1,23-25-38-39-45-47-50-61,,,,0,0,,
1178,1178,eth1/20/3,47-61,,,,0,0,,
1180,1180,eth1/20/5,23-25-38-45-47-61,,,,0,0,,
1182,1182,eth1/20/7,47-61,,,,0,0,,
145,145,eth1/21/1,23-25-38-39-45-47-50-61,,,,0,0,,
1186,1186,eth1/21/3,47-61,,,,0,0,,
1188,1188,eth1/21/5,23-25-38-45-47-61,,,,0,0,,
1190,1190,eth1/21/7,47-61,,,,0,0,,
147,147,eth1/22/1,23-25-38-39-45-47-50-61,,,,0,0,,
1194,1194,eth1/22/3,47-61,,,,0,0,,
1196,1196,eth1/22/5,23-25-38-45-47-61,,,,0,0,,
1198,1198,eth1/22/7,47-61,,,,0,0,,
18,18,eth1/23/1,23-25-38-39-45-47-50-61,,,,0,0,,
1202,1202,eth1/23/3,47-61,,,,0,0,,
1204,1204,eth1/23/5,23-25-38-45-47-61,,,,0,0,,
1206,1206,eth1/23/7,47-61,,,,0,0,,
19,19,eth1/24/1,23-25-38-39-45-47-50-61,,,,0,0,,
1210,1210,eth1/24/3,47-61,,,,0,0,,
1212,1212,eth1/24/5,23-25-38-45-47-61,,,,0,0,,
1214,1214,eth1/24/7,47-61,,,,0,0,,
37,37,eth1/25/1,23-25-38-39-45-47-50-61,,,,0,0,,
1218,1218,eth1/25/3,47-61,,,,0,0,,
1220,1220,eth1/25/5,23-25-38-45-47-61,,,,0,0,,
1222,1222,eth1/25/7,47-61,,,,0,0,,
36,36,eth1/26/1,23-25-38-39-45-47-50-61,,,,0,0,,
1226,1226,eth1/26/3,47-61,,,,0,0,,
1228,1228,eth1/26/5,23-25-38-45-47-61,,,,0,0,,
1230,1230,eth1/26/7,47-61,,,,0,0,,
162,162,eth1/27/1,23-25-38-39-45-47-50-61,,,,0,0,,
1234,1234,eth1/27/3,47-61,,,,0,0,,
1236,1236,eth1/27/5,23-25-38-45-47-61,,,,0,0,,
1238,1238,eth1/27/7,47-61,,,,0,0,,
163,163,eth1/28/1,23-25-38-39-45-47-50-61,,,,0,0,,
1242,1242,eth1/28/3,47-61,,,,0,0,,
1244,1244,eth1/28/5,23-25-38-45-47-61,,,,0,0,,
1246,1246,eth1/28/7,47-61,,,,0,0,,
164,164,eth1/29/1,23-25-38-39-45-47-50-61,,,,0,0,,
1250,1250,eth1/29/3,47-61,,,,0,0,,
1252,1252,eth1/29/5,23-25-38-45-47-61,,,,0,0,,
1254,1254,eth1/29/7,47-61,,,,0,0,,
165,165,eth1/30/1,23-25-38-39-45-47-50-61,,,,0,0,,
1258,1258,eth1/30/3,47-61,,,,0,0,,
1260,1260,eth1/30/5,23-25-38-45-47-61,,,,0,0,,
1262,1262,eth1/30/7,47-61,,,,0,0,,
20,20,eth1/31/1,23-25-38-39-45-47-50-61,,,,0,0,,
1266,1266,eth1/31/3,47-61,,,,0,0,,
1268,1268,eth1/31/5,23-25-38-45-47-61,,,,0,0,,
1270,1270,eth1/31/7,47-61,,,,0,0,,
21,21,eth1/32/1,23-25-38-39-45-47-50-61,,,,0,0,,
1274,1274,eth1/32/3,47-61,,,,0,0,,
1276,1276,eth1/32/5,23-25-38-45-47-61,,,,0,0,,
1278,1278,eth1/32/7,47-61,,,,0,0,,
255,255,eth1/33/1,23-25-38-39-45-47-50-61,,,,0,0,,
1282,1282,eth1/33/3,47-61,,,,0,0,,
1284,1284,eth1/33/5,23-25-38-45-47-61,,,,0,0,,
1286,1286,eth1/33/7,47-61,,,,0,0,,
273,273,eth1/34/1,23-25-38-39-45-47-50-61,,,,0,0,,
1290,1290,eth1/34/3,47-61,,,,0,0,,
1292,1292,eth1/34/5,23-25-38-45-47-61,,,,0,0,,
1294,1294,eth1/34/7,47-61,,,,0,0,,
183,183,eth1/35/1,23-25-38-39-45-47-50-61,,,,0,0,,
1298,1298,eth1/35/3,47-61,,,,0,0,,
1300,1300,eth1/35/5,23-25-38-45-47-61,,,,0,0,,
1302,1302,eth1/35/7,47-61,,,,0,0,,
201,201,eth1/36/1,23-25-38-39-45-47-50-61,,,,0,0,,
1306,1306,eth1/36/3,47-61,,,,0,0,,
1308,1308,eth1/36/5,23-25-38-45-47-61,,,,0,0,,
1310,1310,eth1/36/7,47-61,,,,0,0,,
181,181,eth1/37/1,23-25-38-39-45-47-50-61,,,,0,0,,
1314,1314,eth1/37/3,47-61,,,,0,0,,
1316,1316,eth1/37/5,23-25-38-45-47-61,,,,0,0,,
1318,1318,eth1/37/7,47-61,,,,0,0,,
199,199,eth1/38/1,23-25-38-39-45-47-50-61,,,,0,0,,
1322,1322,eth1/38/3,47-61,,,,0,0,,
1324,1324,eth1/38/5,23-25-38-45-47-61,,,,0,0,,
1326,1326,eth1/38/7,47-61,,,,0,0,,
74,74,eth1/39/1,23-25-38-39-45-47-50-61,,,,0,0,,
1330,1330,eth1/39/3,47-61,,,,0,0,,
1332,1332,eth1/39/5,23-25-38-45-47-61,,,,0,0,,
1334,1334,eth1/39/7,47-61,,,,0,0,,
75,75,eth1/40/1,23-25-38-39-45-47-50-61,,,,0,0,,
1338,1338,eth1/40/3,47-61,,,,0,0,,
1340,1340,eth1/40/5,23-25-38-45-47-61,,,,0,0,,
1342,1342,eth1/40/7,47-61,,,,0,0,,
254,254,eth1/41/1,23-25-38-39-45-47-50-61,,,,0,0,,
1346,1346,eth1/41/3,47-61,,,,0,0,,
1348,1348,eth1/41/5,23-25-38-45-47-61,,,,0,0,,
1350,1350,eth1/41/7,47-61,,,,0,0,,
271,271,eth1/42/1,23-25-38-39-45-47-50-61,,,,0,0,,
1354,1354,eth1/42/3,47-61,,,,0,0,,
1356,1356,eth1/42/5,23-25-38-45-47-61,,,,0,0,,
1358,1358,eth1/42/7,47-61,,,,0,0,,
182,182,eth1/43/1,23-25-38-39-45-47-50-61,,,,0,0,,
1362,1362,eth1/43/3,47-61,,,,0,0,,
1364,1364,eth1/43/5,23-25-38-45-47-61,,,,0,0,,
1366,1366,eth1/43/7,47-61,,,,0,0,,
180,180,eth1/44/1,23-25-38-39-45-47-50-61,,,,0,0,,
1370,1370,eth1/44/3,47-61,,,,0,0,,
1372,1372,eth1/44/5,23-25-38-45-47-61,,,,0,0,,
1374,1374,eth1/44/7,47-61,,,,0,0,,
