A_SLOT_ID,A_CHIP_ID,A_CHIP_TYPE,A_CORE_ID,A_CORE_TYPE,A_CORE_LANE,A_PHYSICAL_TX_LANE,A_PHYSICAL_RX_LANE,A_TX_POLARITY_SWAP,A_RX_POLARITY_SWAP,Z_SLOT_ID,Z_CHIP_ID,Z_CHIP_TYPE,Z_CORE_ID,Z_CORE_TYPE,Z_CORE_LANE,Z_PHYSICAL_TX_LANE,Z_PHYSICAL_RX_LANE,Z_TX_POLARITY_SWAP,Z_RX_POLARITY_SWAP
1,1,NPU,0,P200,0,0,0,Y,Y,1,31,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,0,P200,1,1,1,N,N,1,31,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,0,P200,2,2,2,Y,Y,1,31,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,0,P200,3,3,3,Y,N,1,31,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,1,NPU,0,P200,4,4,4,N,Y,1,31,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,0,P200,5,5,5,N,N,1,31,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,1,NPU,0,P200,6,6,6,Y,Y,1,31,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,0,P200,7,7,7,N,N,1,31,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,1,NPU,0,P200,8,0,0,Y,Y,1,32,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,0,P200,9,1,1,Y,N,1,32,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,0,P200,10,2,2,Y,Y,1,32,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,0,P200,11,3,3,N,N,1,32,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,1,NPU,0,P200,12,4,4,N,Y,1,32,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,0,P200,13,5,5,Y,N,1,32,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,1,NPU,0,P200,14,6,6,N,Y,1,32,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,0,P200,15,7,7,N,N,1,32,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,1,NPU,0,P200,16,0,0,N,N,1,29,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,0,P200,17,1,1,N,Y,1,29,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,0,P200,18,2,2,N,N,1,29,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,0,P200,19,3,3,N,Y,1,29,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,1,NPU,0,P200,20,4,4,Y,N,1,29,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,0,P200,21,5,5,Y,Y,1,29,TRANSCEIVER,0,OSFP,5,5,5,N,N
