Global_PortID,Logical_PortID,Port_Name,Supported_Port_Profiles,Attached_CoreID,Attached_Core_PortID,Virtual_Device_ID,Port_Type,Scope
72,72,fab1/1/1,36-37,,,0,1,0
73,73,fab1/1/2,36-37,,,0,1,0
74,74,fab1/1/3,36-37,,,0,1,0
75,75,fab1/1/4,36-37,,,0,1,0
2120,72,fab1/1/5,36-37,,,1,1,0
2121,73,fab1/1/6,36-37,,,1,1,0
2122,74,fab1/1/7,36-37,,,1,1,0
2123,75,fab1/1/8,36-37,,,1,1,0
12,12,fab1/10/1,36-37,,,0,1,0
13,13,fab1/10/2,36-37,,,0,1,0
14,14,fab1/10/3,36-37,,,0,1,0
15,15,fab1/10/4,36-37,,,0,1,0
2060,12,fab1/10/5,36-37,,,1,1,0
2061,13,fab1/10/6,36-37,,,1,1,0
2062,14,fab1/10/7,36-37,,,1,1,0
2063,15,fab1/10/8,36-37,,,1,1,0
4,4,fab1/11/1,36-37,,,0,1,0
5,5,fab1/11/2,36-37,,,0,1,0
6,6,fab1/11/3,36-37,,,0,1,0
7,7,fab1/11/4,36-37,,,0,1,0
2052,4,fab1/11/5,36-37,,,1,1,0
2053,5,fab1/11/6,36-37,,,1,1,0
2054,6,fab1/11/7,36-37,,,1,1,0
2055,7,fab1/11/8,36-37,,,1,1,0
0,0,fab1/12/1,36-37,,,0,1,0
1,1,fab1/12/2,36-37,,,0,1,0
2,2,fab1/12/3,36-37,,,0,1,0
3,3,fab1/12/4,36-37,,,0,1,0
2048,0,fab1/12/5,36-37,,,1,1,0
2049,1,fab1/12/6,36-37,,,1,1,0
2050,2,fab1/12/7,36-37,,,1,1,0
2051,3,fab1/12/8,36-37,,,1,1,0
148,148,fab1/13/1,36-37,,,0,1,0
149,149,fab1/13/2,36-37,,,0,1,0
150,150,fab1/13/3,36-37,,,0,1,0
151,151,fab1/13/4,36-37,,,0,1,0
2196,148,fab1/13/5,36-37,,,1,1,0
2197,149,fab1/13/6,36-37,,,1,1,0
2198,150,fab1/13/7,36-37,,,1,1,0
2199,151,fab1/13/8,36-37,,,1,1,0
144,144,fab1/14/1,36-37,,,0,1,0
145,145,fab1/14/2,36-37,,,0,1,0
146,146,fab1/14/3,36-37,,,0,1,0
147,147,fab1/14/4,36-37,,,0,1,0
2192,144,fab1/14/5,36-37,,,1,1,0
2193,145,fab1/14/6,36-37,,,1,1,0
2194,146,fab1/14/7,36-37,,,1,1,0
2195,147,fab1/14/8,36-37,,,1,1,0
152,152,fab1/15/1,36-37,,,0,1,0
153,153,fab1/15/2,36-37,,,0,1,0
154,154,fab1/15/3,36-37,,,0,1,0
155,155,fab1/15/4,36-37,,,0,1,0
2200,152,fab1/15/5,36-37,,,1,1,0
2201,153,fab1/15/6,36-37,,,1,1,0
2202,154,fab1/15/7,36-37,,,1,1,0
2203,155,fab1/15/8,36-37,,,1,1,0
156,156,fab1/16/1,36-37,,,0,1,0
157,157,fab1/16/2,36-37,,,0,1,0
158,158,fab1/16/3,36-37,,,0,1,0
159,159,fab1/16/4,36-37,,,0,1,0
2204,156,fab1/16/5,36-37,,,1,1,0
2205,157,fab1/16/6,36-37,,,1,1,0
2206,158,fab1/16/7,36-37,,,1,1,0
2207,159,fab1/16/8,36-37,,,1,1,0
160,160,fab1/17/1,36-37,,,0,1,0
161,161,fab1/17/2,36-37,,,0,1,0
162,162,fab1/17/3,36-37,,,0,1,0
163,163,fab1/17/4,36-37,,,0,1,0
2208,160,fab1/17/5,36-37,,,1,1,0
2209,161,fab1/17/6,36-37,,,1,1,0
2210,162,fab1/17/7,36-37,,,1,1,0
2211,163,fab1/17/8,36-37,,,1,1,0
164,164,fab1/18/1,36-37,,,0,1,0
165,165,fab1/18/2,36-37,,,0,1,0
166,166,fab1/18/3,36-37,,,0,1,0
167,167,fab1/18/4,36-37,,,0,1,0
2212,164,fab1/18/5,36-37,,,1,1,0
2213,165,fab1/18/6,36-37,,,1,1,0
2214,166,fab1/18/7,36-37,,,1,1,0
2215,167,fab1/18/8,36-37,,,1,1,0
172,172,fab1/19/1,36-37,,,0,1,0
173,173,fab1/19/2,36-37,,,0,1,0
174,174,fab1/19/3,36-37,,,0,1,0
175,175,fab1/19/4,36-37,,,0,1,0
2220,172,fab1/19/5,36-37,,,1,1,0
2221,173,fab1/19/6,36-37,,,1,1,0
2222,174,fab1/19/7,36-37,,,1,1,0
2223,175,fab1/19/8,36-37,,,1,1,0
76,76,fab1/2/1,36-37,,,0,1,0
77,77,fab1/2/2,36-37,,,0,1,0
78,78,fab1/2/3,36-37,,,0,1,0
79,79,fab1/2/4,36-37,,,0,1,0
2124,76,fab1/2/5,36-37,,,1,1,0
2125,77,fab1/2/6,36-37,,,1,1,0
2126,78,fab1/2/7,36-37,,,1,1,0
2127,79,fab1/2/8,36-37,,,1,1,0
168,168,fab1/20/1,36-37,,,0,1,0
169,169,fab1/20/2,36-37,,,0,1,0
170,170,fab1/20/3,36-37,,,0,1,0
171,171,fab1/20/4,36-37,,,0,1,0
2216,168,fab1/20/5,36-37,,,1,1,0
