A_SLOT_ID,A_CHIP_ID,A_CHIP_TYPE,A_CORE_ID,A_CORE_TYPE,A_CORE_LANE,A_PHYSICAL_TX_LANE,A_PHYSICAL_RX_LANE,A_TX_POLARITY_SWAP,A_RX_POLARITY_SWAP,Z_SLOT_ID,Z_CHIP_ID,Z_CHIP_TYPE,Z_CORE_ID,Z_CORE_TYPE,Z_CORE_LANE,Z_PHYSICAL_TX_LANE,Z_PHYSICAL_RX_LANE,Z_TX_POLARITY_SWAP,Z_RX_POLARITY_SWAP
1,1,NPU,18,R_FE,0,75,72,Y,N,1,1,TRANSCEIVER,0,QSFPDD,0,0,0,N,N
1,1,NPU,18,R_FE,1,73,73,N,Y,1,1,TRANSCEIVER,0,QSFPDD,1,1,1,N,N
1,1,NPU,18,R_FE,2,74,74,Y,N,1,1,TRANSCEIVER,0,QSFPDD,2,2,2,N,N
1,1,NPU,18,R_FE,3,72,75,N,Y,1,1,TRANSCEIVER,0,QSFPDD,3,3,3,N,N
1,2,NPU,12,R_FE,0,48,48,N,N,1,1,TRANSCEIVER,0,QSFPDD,4,4,4,N,N
1,2,NPU,12,R_FE,1,49,49,N,N,1,1,TRANSCEIVER,0,QSFPDD,5,5,5,N,N
1,2,NPU,12,R_FE,2,50,50,N,N,1,1,TRANSCEIVER,0,QSFPDD,6,6,6,N,N
1,2,NPU,12,R_FE,3,51,51,N,N,1,1,TRANSCEIVER,0,QSFPDD,7,7,7,N,N
1,1,NPU,19,R_FE,0,78,76,Y,Y,1,2,TRANSCEIVER,0,QSFPDD,0,0,0,N,N
1,1,NPU,19,R_FE,1,79,77,N,N,1,2,TRANSCEIVER,0,QSFPDD,1,1,1,N,N
1,1,NPU,19,R_FE,2,76,78,Y,Y,1,2,TRANSCEIVER,0,QSFPDD,2,2,2,N,N
1,1,NPU,19,R_FE,3,77,79,N,N,1,2,TRANSCEIVER,0,QSFPDD,3,3,3,N,N
1,2,NPU,13,R_FE,0,52,52,N,N,1,2,TRANSCEIVER,0,QSFPDD,4,4,0,N,N
1,2,NPU,13,R_FE,1,53,53,N,N,1,2,TRANSCEIVER,0,QSFPDD,5,5,1,N,N
1,2,NPU,13,R_FE,2,54,54,N,N,1,2,TRANSCEIVER,0,QSFPDD,6,6,2,N,N
1,2,NPU,13,R_FE,3,55,55,N,N,1,2,TRANSCEIVER,0,QSFPDD,7,7,3,N,N
1,1,NPU,21,R_FE,0,85,84,N,N,1,3,TRANSCEIVER,0,QSFPDD,0,0,0,N,N
1,1,NPU,21,R_FE,1,84,85,N,N,1,3,TRANSCEIVER,0,QSFPDD,1,1,1,N,N
1,1,NPU,21,R_FE,2,86,86,Y,N,1,3,TRANSCEIVER,0,QSFPDD,2,2,2,N,N
1,1,NPU,21,R_FE,3,87,87,N,N,1,3,TRANSCEIVER,0,QSFPDD,3,3,3,N,N
1,2,NPU,15,R_FE,0,60,60,N,N,1,3,TRANSCEIVER,0,QSFPDD,4,4,4,N,N
1,2,NPU,15,R_FE,1,61,61,N,N,1,3,TRANSCEIVER,0,QSFPDD,5,5,5,N,N
1,2,NPU,15,R_FE,2,62,62,N,N,1,3,TRANSCEIVER,0,QSFPDD,6,6,6,N,N
1,2,NPU,15,R_FE,3,63,63,N,N,1,3,TRANSCEIVER,0,QSFPDD,7,7,7,N,N
1,1,NPU,9,R_FE,0,38,36,N,N,1,4,TRANSCEIVER,0,QSFPDD,0,0,0,N,N
1,1,NPU,9,R_FE,1,37,37,N,N,1,4,TRANSCEIVER,0,QSFPDD,1,1,1,N,N
1,1,NPU,9,R_FE,2,36,38,Y,N,1,4,TRANSCEIVER,0,QSFPDD,2,2,2,N,N
1,1,NPU,9,R_FE,3,39,39,Y,N,1,4,TRANSCEIVER,0,QSFPDD,3,3,3,N,N
1,2,NPU,14,R_FE,0,56,56,N,N,1,4,TRANSCEIVER,0,QSFPDD,4,4,4,N,N
1,2,NPU,14,R_FE,1,57,57,N,N,1,4,TRANSCEIVER,0,QSFPDD,5,5,5,N,N
1,2,NPU,14,R_FE,2,58,58,N,N,1,4,TRANSCEIVER,0,QSFPDD,6,6,6,N,N
1,2,NPU,14,R_FE,3,59,59,N,N,1,4,TRANSCEIVER,0,QSFPDD,7,7,7,N,N
1,1,NPU,7,R_FE,0,29,28,N,N,1,5,TRANSCEIVER,0,QSFPDD,0,0,0,N,N
1,1,NPU,7,R_FE,1,28,29,N,Y,1,5,TRANSCEIVER,0,QSFPDD,1,1,1,N,N
1,1,NPU,7,R_FE,2,30,30,Y,N,1,5,TRANSCEIVER,0,QSFPDD,2,2,2,N,N
1,1,NPU,7,R_FE,3,31,31,N,Y,1,5,TRANSCEIVER,0,QSFPDD,3,3,3,N,N
1,2,NPU,17,R_FE,0,68,68,N,N,1,5,TRANSCEIVER,0,QSFPDD,4,4,4,N,N
1,2,NPU,17,R_FE,1,69,69,N,N,1,5,TRANSCEIVER,0,QSFPDD,5,5,5,N,N
1,2,NPU,17,R_FE,2,70,70,N,N,1,5,TRANSCEIVER,0,QSFPDD,6,6,6,N,N
1,2,NPU,17,R_FE,3,71,71,N,N,1,5,TRANSCEIVER,0,QSFPDD,7,7,7,N,N
1,1,NPU,6,R_FE,0,24,24,Y,Y,1,6,TRANSCEIVER,0,QSFPDD,0,0,0,N,N
1,1,NPU,6,R_FE,1,25,25,N,N,1,6,TRANSCEIVER,0,QSFPDD,1,1,1,N,N
1,1,NPU,6,R_FE,2,26,26,Y,Y,1,6,TRANSCEIVER,0,QSFPDD,2,2,2,N,N
1,1,NPU,6,R_FE,3,27,27,N,N,1,6,TRANSCEIVER,0,QSFPDD,3,3,3,N,N
1,2,NPU,16,R_FE,0,64,64,N,N,1,6,TRANSCEIVER,0,QSFPDD,4,4,4,N,N
1,2,NPU,16,R_FE,1,65,65,N,N,1,6,TRANSCEIVER,0,QSFPDD,5,5,5,N,N
1,2,NPU,16,R_FE,2,66,66,N,N,1,6,TRANSCEIVER,0,QSFPDD,6,6,6,N,N
1,2,NPU,16,R_FE,3,67,67,N,N,1,6,TRANSCEIVER,0,QSFPDD,7,7,7,N,N
1,1,NPU,4,R_FE,0,19,16,N,N,1,7,TRANSCEIVER,0,QSFPDD,0,0,0,N,N
1,1,NPU,4,R_FE,1,17,17,N,N,1,7,TRANSCEIVER,0,QSFPDD,1,1,1,N,N
1,1,NPU,4,R_FE,2,18,18,Y,N,1,7,TRANSCEIVER,0,QSFPDD,2,2,2,N,N
1,1,NPU,4,R_FE,3,16,19,N,N,1,7,TRANSCEIVER,0,QSFPDD,3,3,3,N,N
1,2,NPU,20,R_FE,0,80,80,N,N,1,7,TRANSCEIVER,0,QSFPDD,4,4,4,N,N
1,2,NPU,20,R_FE,1,81,81,N,Y,1,7,TRANSCEIVER,0,QSFPDD,5,5,5,N,N
1,2,NPU,20,R_FE,2,82,82,N,N,1,7,TRANSCEIVER,0,QSFPDD,6,6,6,N,N
1,2,NPU,20,R_FE,3,83,83,Y,Y,1,7,TRANSCEIVER,0,QSFPDD,7,7,7,N,N
1,1,NPU,5,R_FE,0,22,20,N,N,1,8,TRANSCEIVER,0,QSFPDD,0,0,0,N,N
1,1,NPU,5,R_FE,1,23,21,Y,N,1,8,TRANSCEIVER,0,QSFPDD,1,1,1,N,N
1,1,NPU,5,R_FE,2,20,22,Y,N,1,8,TRANSCEIVER,0,QSFPDD,2,2,2,N,N
1,1,NPU,5,R_FE,3,21,23,Y,N,1,8,TRANSCEIVER,0,QSFPDD,3,3,3,N,N
1,2,NPU,22,R_FE,0,88,88,Y,Y,1,8,TRANSCEIVER,0,QSFPDD,4,4,4,N,N
1,2,NPU,22,R_FE,1,89,89,N,N,1,8,TRANSCEIVER,0,QSFPDD,5,5,5,N,N
1,2,NPU,22,R_FE,2,90,90,Y,Y,1,8,TRANSCEIVER,0,QSFPDD,6,6,6,N,N
1,2,NPU,22,R_FE,3,91,91,N,N,1,8,TRANSCEIVER,0,QSFPDD,7,7,7,N,N
1,1,NPU,2,R_FE,0,8,8,Y,N,1,9,TRANSCEIVER,0,QSFPDD,0,0,0,N,N
1,1,NPU,2,R_FE,1,9,9,Y,Y,1,9,TRANSCEIVER,0,QSFPDD,1,1,1,N,N
1,1,NPU,2,R_FE,2,10,10,Y,N,1,9,TRANSCEIVER,0,QSFPDD,2,2,2,N,N
1,1,NPU,2,R_FE,3,11,11,Y,Y,1,9,TRANSCEIVER,0,QSFPDD,3,3,3,N,N
1,2,NPU,23,R_FE,0,92,92,N,N,1,9,TRANSCEIVER,0,QSFPDD,4,4,4,N,N
1,2,NPU,23,R_FE,1,93,93,Y,Y,1,9,TRANSCEIVER,0,QSFPDD,5,5,5,N,N
1,2,NPU,23,R_FE,2,94,94,Y,N,1,9,TRANSCEIVER,0,QSFPDD,6,6,6,N,N
1,2,NPU,23,R_FE,3,95,95,Y,Y,1,9,TRANSCEIVER,0,QSFPDD,7,7,7,N,N
1,1,NPU,3,R_FE,0,14,12,N,Y,1,10,TRANSCEIVER,0,QSFPDD,0,0,0,N,N
1,1,NPU,3,R_FE,1,15,13,Y,N,1,10,TRANSCEIVER,0,QSFPDD,1,1,1,N,N
1,1,NPU,3,R_FE,2,12,14,Y,Y,1,10,TRANSCEIVER,0,QSFPDD,2,2,2,N,N
1,1,NPU,3,R_FE,3,13,15,N,N,1,10,TRANSCEIVER,0,QSFPDD,3,3,3,N,N
1,2,NPU,11,R_FE,0,44,44,Y,Y,1,10,TRANSCEIVER,0,QSFPDD,4,4,4,N,N
1,2,NPU,11,R_FE,1,45,45,N,N,1,10,TRANSCEIVER,0,QSFPDD,5,5,5,N,N
1,2,NPU,11,R_FE,2,46,46,Y,Y,1,10,TRANSCEIVER,0,QSFPDD,6,6,6,N,N
1,2,NPU,11,R_FE,3,47,47,Y,N,1,10,TRANSCEIVER,0,QSFPDD,7,7,7,N,N
1,1,NPU,1,R_FE,0,5,4,N,N,1,11,TRANSCEIVER,0,QSFPDD,0,0,0,N,N
1,1,NPU,1,R_FE,1,4,5,N,N,1,11,TRANSCEIVER,0,QSFPDD,1,1,1,N,N
1,1,NPU,1,R_FE,2,6,6,Y,N,1,11,TRANSCEIVER,0,QSFPDD,2,2,2,N,N
1,1,NPU,1,R_FE,3,7,7,N,N,1,11,TRANSCEIVER,0,QSFPDD,3,3,3,N,N
1,2,NPU,10,R_FE,0,40,40,N,N,1,11,TRANSCEIVER,0,QSFPDD,4,4,4,N,N
1,2,NPU,10,R_FE,1,41,41,Y,Y,1,11,TRANSCEIVER,0,QSFPDD,5,5,5,N,N
1,2,NPU,10,R_FE,2,42,42,N,N,1,11,TRANSCEIVER,0,QSFPDD,6,6,6,N,N
1,2,NPU,10,R_FE,3,43,43,Y,Y,1,11,TRANSCEIVER,0,QSFPDD,7,7,7,N,N
1,1,NPU,0,R_FE,0,0,0,N,N,1,12,TRANSCEIVER,0,QSFPDD,0,0,0,N,N
1,1,NPU,0,R_FE,1,1,1,Y,N,1,12,TRANSCEIVER,0,QSFPDD,1,1,1,N,N
1,1,NPU,0,R_FE,2,2,2,Y,N,1,12,TRANSCEIVER,0,QSFPDD,2,2,2,N,N
1,1,NPU,0,R_FE,3,3,3,N,N,1,12,TRANSCEIVER,0,QSFPDD,3,3,3,N,N
1,2,NPU,8,R_FE,0,32,32,Y,Y,1,12,TRANSCEIVER,0,QSFPDD,4,4,4,N,N
1,2,NPU,8,R_FE,1,33,33,N,N,1,12,TRANSCEIVER,0,QSFPDD,5,5,5,N,N
1,2,NPU,8,R_FE,2,34,34,Y,Y,1,12,TRANSCEIVER,0,QSFPDD,6,6,6,N,N
1,2,NPU,8,R_FE,3,35,35,N,N,1,12,TRANSCEIVER,0,QSFPDD,7,7,7,N,N
1,1,NPU,37,R_FE,0,148,148,N,Y,1,13,TRANSCEIVER,0,QSFPDD,0,0,0,N,N
1,1,NPU,37,R_FE,1,149,149,N,Y,1,13,TRANSCEIVER,0,QSFPDD,1,1,1,N,N
1,1,NPU,37,R_FE,2,150,150,N,Y,1,13,TRANSCEIVER,0,QSFPDD,2,2,2,N,N
1,1,NPU,37,R_FE,3,151,151,N,Y,1,13,TRANSCEIVER,0,QSFPDD,3,3,3,N,N
1,2,NPU,44,R_FE,0,176,176,Y,Y,1,13,TRANSCEIVER,0,QSFPDD,4,4,4,N,N
1,2,NPU,44,R_FE,1,177,177,N,N,1,13,TRANSCEIVER,0,QSFPDD,5,5,5,N,N
1,2,NPU,44,R_FE,2,178,178,Y,Y,1,13,TRANSCEIVER,0,QSFPDD,6,6,6,N,N
1,2,NPU,44,R_FE,3,179,179,N,N,1,13,TRANSCEIVER,0,QSFPDD,7,7,7,N,N
1,1,NPU,36,R_FE,0,144,144,N,N,1,14,TRANSCEIVER,0,QSFPDD,0,0,0,N,N
1,1,NPU,36,R_FE,1,145,145,N,Y,1,14,TRANSCEIVER,0,QSFPDD,1,1,1,N,N
1,1,NPU,36,R_FE,2,146,146,N,N,1,14,TRANSCEIVER,0,QSFPDD,2,2,2,N,N
1,1,NPU,36,R_FE,3,147,147,N,Y,1,14,TRANSCEIVER,0,QSFPDD,3,3,3,N,N
1,2,NPU,46,R_FE,0,184,184,Y,N,1,14,TRANSCEIVER,0,QSFPDD,4,4,4,N,N
1,2,NPU,46,R_FE,1,185,185,N,Y,1,14,TRANSCEIVER,0,QSFPDD,5,5,5,N,N
1,2,NPU,46,R_FE,2,186,186,N,N,1,14,TRANSCEIVER,0,QSFPDD,6,6,6,N,N
1,2,NPU,46,R_FE,3,187,187,Y,Y,1,14,TRANSCEIVER,0,QSFPDD,7,7,7,N,N
1,1,NPU,38,R_FE,0,152,152,Y,Y,1,15,TRANSCEIVER,0,QSFPDD,0,0,0,N,N
1,1,NPU,38,R_FE,1,153,153,N,Y,1,15,TRANSCEIVER,0,QSFPDD,1,1,1,N,N
1,1,NPU,38,R_FE,2,154,154,Y,Y,1,15,TRANSCEIVER,0,QSFPDD,2,2,2,N,N
1,1,NPU,38,R_FE,3,155,155,N,Y,1,15,TRANSCEIVER,0,QSFPDD,3,3,3,N,N
1,2,NPU,47,R_FE,0,188,188,Y,Y,1,15,TRANSCEIVER,0,QSFPDD,4,4,4,N,N
1,2,NPU,47,R_FE,1,189,189,N,N,1,15,TRANSCEIVER,0,QSFPDD,5,5,5,N,N
1,2,NPU,47,R_FE,2,190,190,Y,Y,1,15,TRANSCEIVER,0,QSFPDD,6,6,6,N,N
1,2,NPU,47,R_FE,3,191,191,Y,N,1,15,TRANSCEIVER,0,QSFPDD,7,7,7,N,N
1,1,NPU,39,R_FE,0,156,156,N,N,1,16,TRANSCEIVER,0,QSFPDD,0,0,0,N,N
1,1,NPU,39,R_FE,1,157,157,Y,Y,1,16,TRANSCEIVER,0,QSFPDD,1,1,1,N,N
1,1,NPU,39,R_FE,2,158,158,Y,N,1,16,TRANSCEIVER,0,QSFPDD,2,2,2,N,N
1,1,NPU,39,R_FE,3,159,159,N,Y,1,16,TRANSCEIVER,0,QSFPDD,3,3,3,N,N
1,2,NPU,35,R_FE,0,140,140,N,N,1,16,TRANSCEIVER,0,QSFPDD,4,4,4,N,N
1,2,NPU,35,R_FE,1,141,141,Y,Y,1,16,TRANSCEIVER,0,QSFPDD,5,5,5,N,N
1,2,NPU,35,R_FE,2,142,142,Y,N,1,16,TRANSCEIVER,0,QSFPDD,6,6,6,N,N
1,2,NPU,35,R_FE,3,143,143,Y,Y,1,16,TRANSCEIVER,0,QSFPDD,7,7,7,N,N
1,1,NPU,40,R_FE,0,160,160,N,Y,1,17,TRANSCEIVER,0,QSFPDD,0,0,0,N,N
1,1,NPU,40,R_FE,1,161,161,Y,Y,1,17,TRANSCEIVER,0,QSFPDD,1,1,1,N,N
