Global_PortID,Logical_PortID,Port_Name,Supported_Port_Profiles,Attached_CoreID,Attached_Core_PortID,Virtual_Device_ID,Port_Type,Scope
1,1,rcy1/1/441,49,2,2,0,3,1
32772,32772,rcy1/1/442,49,0,1,0,3,0
32773,32773,rcy1/1/443,49,1,1,0,3,0
32774,32774,rcy1/1/444,49,2,1,0,3,0
32775,32775,rcy1/1/445,49,3,1,0,3,0
32776,32776,evt1/1/506,49,0,12,0,5,0
7,7,eth1/39/1,22-23,2,11,0,4,1
32846,32846,fab1/1/1,36-37-41-42,,,0,1,0
32842,32842,fab1/1/2,36-37-41-42,,,0,1,0
32841,32841,fab1/1/3,36-37-41-42,,,0,1,0
32844,32844,fab1/1/4,36-37-41-42,,,0,1,0
32845,32845,fab1/1/5,36-37-41-42,,,0,1,0
32843,32843,fab1/1/6,36-37-41-42,,,0,1,0
32847,32847,fab1/1/7,36-37-41-42,,,0,1,0
32848,32848,fab1/1/8,36-37-41-42,,,0,1,0
32849,32849,fab1/2/1,36-37-41-42,,,0,1,0
32856,32856,fab1/2/2,36-37-41-42,,,0,1,0
32851,32851,fab1/2/3,36-37-41-42,,,0,1,0
32850,32850,fab1/2/4,36-37-41-42,,,0,1,0
32853,32853,fab1/2/5,36-37-41-42,,,0,1,0
32854,32854,fab1/2/6,36-37-41-42,,,0,1,0
32855,32855,fab1/2/7,36-37-41-42,,,0,1,0
32852,32852,fab1/2/8,36-37-41-42,,,0,1,0
32833,32833,fab1/3/1,36-37-41-42,,,0,1,0
32834,32834,fab1/3/2,36-37-41-42,,,0,1,0
32835,32835,fab1/3/3,36-37-41-42,,,0,1,0
32836,32836,fab1/3/4,36-37-41-42,,,0,1,0
32837,32837,fab1/3/5,36-37-41-42,,,0,1,0
32838,32838,fab1/3/6,36-37-41-42,,,0,1,0
32839,32839,fab1/3/7,36-37-41-42,,,0,1,0
32840,32840,fab1/3/8,36-37-41-42,,,0,1,0
32827,32827,fab1/4/1,36-37-41-42,,,0,1,0
32828,32828,fab1/4/2,36-37-41-42,,,0,1,0
32825,32825,fab1/4/3,36-37-41-42,,,0,1,0
32826,32826,fab1/4/4,36-37-41-42,,,0,1,0
