Global_PortID,Logical_PortID,Port_Name,Supported_Port_Profiles,Attached_CoreID,Attached_Core_PortID,Virtual_Device_ID,Port_Type,Scope
1,1,rcy1/1/441,49,2,2,0,3,1
32772,32772,rcy1/1/442,49,0,1,0,3,0
32773,32773,rcy1/1/443,49,1,1,0,3,0
32774,32774,rcy1/1/444,49,2,1,0,3,0
32775,32775,rcy1/1/445,49,3,1,0,3,0
32776,32776,evt1/1/506,49,0,12,0,5,0
7,7,eth1/39/1,22-23,2,11,0,4,1
1093,1093,fab1/1/1,36-37-41-42,,,0,1,0
1089,1089,fab1/1/2,36-37-41-42,,,0,1,0
1088,1088,fab1/1/3,36-37-41-42,,,0,1,0
1091,1091,fab1/1/4,36-37-41-42,,,0,1,0
1092,1092,fab1/1/5,36-37-41-42,,,0,1,0
1090,1090,fab1/1/6,36-37-41-42,,,0,1,0
1094,1094,fab1/1/7,36-37-41-42,,,0,1,0
1095,1095,fab1/1/8,36-37-41-42,,,0,1,0
1096,1096,fab1/2/1,36-37-41-42,,,0,1,0
1103,1103,fab1/2/2,36-37-41-42,,,0,1,0
1098,1098,fab1/2/3,36-37-41-42,,,0,1,0
1097,1097,fab1/2/4,36-37-41-42,,,0,1,0
1100,1100,fab1/2/5,36-37-41-42,,,0,1,0
1101,1101,fab1/2/6,36-37-41-42,,,0,1,0
1102,1102,fab1/2/7,36-37-41-42,,,0,1,0
1099,1099,fab1/2/8,36-37-41-42,,,0,1,0
1080,1080,fab1/3/1,36-37-41-42,,,0,1,0
1081,1081,fab1/3/2,36-37-41-42,,,0,1,0
1082,1082,fab1/3/3,36-37-41-42,,,0,1,0
1083,1083,fab1/3/4,36-37-41-42,,,0,1,0
1084,1084,fab1/3/5,36-37-41-42,,,0,1,0
1085,1085,fab1/3/6,36-37-41-42,,,0,1,0
1086,1086,fab1/3/7,36-37-41-42,,,0,1,0
1087,1087,fab1/3/8,36-37-41-42,,,0,1,0
1074,1074,fab1/4/1,36-37-41-42,,,0,1,0
1075,1075,fab1/4/2,36-37-41-42,,,0,1,0
1072,1072,fab1/4/3,36-37-41-42,,,0,1,0
1073,1073,fab1/4/4,36-37-41-42,,,0,1,0
