Global_PortID,Logical_PortID,Port_Name,Supported_Port_Profiles,Attached_CoreID,Attached_Core_PortID,Virtual_Device_ID,Port_Type,Scope
1,1,eth1/35/1,23-38-39-45-47-50,,,,0,0
3,3,eth1/35/5,23-38-45,,,,0,0
5,5,eth1/36/1,23-38-39-45-47-50,,,,0,0
7,7,eth1/36/5,23-38-45,,,,0,0
9,9,eth1/34/1,23-38-39-45-47-50,,,,0,0
11,11,eth1/34/5,23-38-45,,,,0,0
13,13,eth1/33/1,23-38-39-45-47-50,,,,0,0
15,15,eth1/33/5,23-38-45,,,,0,0
17,17,eth1/39/1,23-38-39-45-47-50,,,,0,0
19,19,eth1/39/5,23-38-45,,,,0,0
21,21,eth1/40/1,23-38-39-45-47-50,,,,0,0
23,23,eth1/40/5,23-38-45,,,,0,0
25,25,eth1/38/1,23-38-39-45-47-50,,,,0,0
27,27,eth1/38/5,23-38-45,,,,0,0
29,29,eth1/37/1,23-38-39-45-47-50,,,,0,0
31,31,eth1/37/5,23-38-45,,,,0,0
33,33,eth1/43/1,23-38-39-45-47-50,,,,0,0
35,35,eth1/43/5,23-38-45,,,,0,0
37,37,eth1/44/1,23-38-39-45-47-50,,,,0,0
39,39,eth1/44/5,23-38-45,,,,0,0
41,41,eth1/42/1,23-38-39-45-47-50,,,,0,0
43,43,eth1/42/5,23-38-45,,,,0,0
45,45,eth1/41/1,23-38-39-45-47-50,,,,0,0
47,47,eth1/41/5,23-38-45,,,,0,0
49,49,eth1/47/1,23-38-39-45-47-50,,,,0,0
51,51,eth1/47/5,23-38-45,,,,0,0
53,53,eth1/48/1,23-38-39-45-47-50,,,,0,0
55,55,eth1/48/5,23-38-45,,,,0,0
57,57,eth1/46/1,23-38-39-45-47-50,,,,0,0
59,59,eth1/46/5,23-38-45,,,,0,0
61,61,eth1/45/1,23-38-39-45-47-50,,,,0,0
63,63,eth1/45/5,23-38-45,,,,0,0
65,65,eth1/52/1,23-38-39-45-47-50,,,,0,0
67,67,eth1/52/5,23-38-45,,,,0,0
69,69,eth1/51/1,23-38-39-45-47-50,,,,0,0
71,71,eth1/51/5,23-38-45,,,,0,0
73,73,eth1/49/1,23-38-39-45-47-50,,,,0,0
75,75,eth1/49/5,23-38-45,,,,0,0
77,77,eth1/50/1,23-38-39-45-47-50,,,,0,0
79,79,eth1/50/5,23-38-45,,,,0,0
81,81,eth1/56/1,23-38-39-45-47-50,,,,0,0
83,83,eth1/56/5,23-38-45,,,,0,0
85,85,eth1/55/1,23-38-39-45-47-50,,,,0,0
87,87,eth1/55/5,23-38-45,,,,0,0
89,89,eth1/53/1,23-38-39-45-47-50,,,,0,0
91,91,eth1/53/5,23-38-45,,,,0,0
93,93,eth1/54/1,23-38-39-45-47-50,,,,0,0
95,95,eth1/54/5,23-38-45,,,,0,0
97,97,eth1/60/1,23-38-39-45-47-50,,,,0,0
99,99,eth1/60/5,23-38-45,,,,0,0
101,101,eth1/59/1,23-38-39-45-47-50,,,,0,0
103,103,eth1/59/5,23-38-45,,,,0,0
105,105,eth1/57/1,23-38-39-45-47-50,,,,0,0
107,107,eth1/57/5,23-38-45,,,,0,0
109,109,eth1/58/1,23-38-39-45-47-50,,,,0,0
111,111,eth1/58/5,23-38-45,,,,0,0
113,113,eth1/64/1,23-38-39-45-47-50,,,,0,0
115,115,eth1/64/5,23-38-45,,,,0,0
117,117,eth1/63/1,23-38-39-45-47-50,,,,0,0
119,119,eth1/63/5,23-38-45,,,,0,0
121,121,eth1/61/1,23-38-39-45-47-50,,,,0,0
123,123,eth1/61/5,23-38-45,,,,0,0
125,125,eth1/62/1,23-38-39-45-47-50,,,,0,0
127,127,eth1/62/5,23-38-45,,,,0,0
129,129,eth1/30/1,23-38-39-45-47-50,,,,0,0
131,131,eth1/30/5,23-38-45,,,,0,0
133,133,eth1/29/1,23-38-39-45-47-50,,,,0,0
135,135,eth1/29/5,23-38-45,,,,0,0
137,137,eth1/31/1,23-38-39-45-47-50,,,,0,0
139,139,eth1/31/5,23-38-45,,,,0,0
141,141,eth1/32/1,23-38-39-45-47-50,,,,0,0
143,143,eth1/32/5,23-38-45,,,,0,0
145,145,eth1/26/1,23-38-39-45-47-50,,,,0,0
147,147,eth1/26/5,23-38-45,,,,0,0
149,149,eth1/25/1,23-38-39-45-47-50,,,,0,0
151,151,eth1/25/5,23-38-45,,,,0,0
153,153,eth1/27/1,23-38-39-45-47-50,,,,0,0
155,155,eth1/27/5,23-38-45,,,,0,0
157,157,eth1/28/1,23-38-39-45-47-50,,,,0,0
159,159,eth1/28/5,23-38-45,,,,0,0
161,161,eth1/22/1,23-38-39-45-47-50,,,,0,0
163,163,eth1/22/5,23-38-45,,,,0,0
165,165,eth1/21/1,23-38-39-45-47-50,,,,0,0
167,167,eth1/21/5,23-38-45,,,,0,0
169,169,eth1/23/1,23-38-39-45-47-50,,,,0,0
171,171,eth1/23/5,23-38-45,,,,0,0
173,173,eth1/24/1,23-38-39-45-47-50,,,,0,0
175,175,eth1/24/5,23-38-45,,,,0,0
177,177,eth1/18/1,23-38-39-45-47-50,,,,0,0
179,179,eth1/18/5,23-38-45,,,,0,0
181,181,eth1/17/1,23-38-39-45-47-50,,,,0,0
183,183,eth1/17/5,23-38-45,,,,0,0
185,185,eth1/19/1,23-38-39-45-47-50,,,,0,0
187,187,eth1/19/5,23-38-45,,,,0,0
189,189,eth1/20/1,23-38-39-45-47-50,,,,0,0
191,191,eth1/20/5,23-38-45,,,,0,0
193,193,eth1/13/1,23-38-39-45-47-50,,,,0,0
195,195,eth1/13/5,23-38-45,,,,0,0
197,197,eth1/14/1,23-38-39-45-47-50,,,,0,0
199,199,eth1/14/5,23-38-45,,,,0,0
201,201,eth1/16/1,23-38-39-45-47-50,,,,0,0
203,203,eth1/16/5,23-38-45,,,,0,0
205,205,eth1/15/1,23-38-39-45-47-50,,,,0,0
207,207,eth1/15/5,23-38-45,,,,0,0
209,209,eth1/9/1,23-38-39-45-47-50,,,,0,0
211,211,eth1/9/5,23-38-45,,,,0,0
213,213,eth1/10/1,23-38-39-45-47-50,,,,0,0
215,215,eth1/10/5,23-38-45,,,,0,0
217,217,eth1/12/1,23-38-39-45-47-50,,,,0,0
219,219,eth1/12/5,23-38-45,,,,0,0
221,221,eth1/11/1,23-38-39-45-47-50,,,,0,0
223,223,eth1/11/5,23-38-45,,,,0,0
225,225,eth1/5/1,23-38-39-45-47-50,,,,0,0
227,227,eth1/5/5,23-38-45,,,,0,0
229,229,eth1/6/1,23-38-39-45-47-50,,,,0,0
231,231,eth1/6/5,23-38-45,,,,0,0
233,233,eth1/8/1,23-38-39-45-47-50,,,,0,0
235,235,eth1/8/5,23-38-45,,,,0,0
237,237,eth1/7/1,23-38-39-45-47-50,,,,0,0
239,239,eth1/7/5,23-38-45,,,,0,0
241,241,eth1/1/1,23-38-39-45-47-50,,,,0,0
243,243,eth1/1/5,23-38-45,,,,0,0
245,245,eth1/2/1,23-38-39-45-47-50,,,,0,0
247,247,eth1/2/5,23-38-45,,,,0,0
249,249,eth1/4/1,23-38-39-45-47-50,,,,0,0
251,251,eth1/4/5,23-38-45,,,,0,0
253,253,eth1/3/1,23-38-39-45-47-50,,,,0,0
255,255,eth1/3/5,23-38-45,,,,0,0
257,257,eth1/65/1,12-30,,,,4,0
258,258,eth1/65/2,12-30,,,,4,0
