Global_PortID,Logical_PortID,Port_Name,Supported_Port_Profiles,Attached_CoreID,Attached_Core_PortID,Virtual_Device_ID,Port_Type,Scope,Parent_Port,Controlling_Port
1,1,eth1/1/1,22-23-24-25-38-39-45-47-50-61,,,,0,0,,1
2,2,eth1/1/2,47,,,,0,0,,1
3,3,eth1/1/3,47-61,,,,0,0,,1
4,4,eth1/1/4,47,,,,0,0,,1
5,5,eth1/1/5,22-23-24-25-38-45-47-61,,,,0,0,,1
6,6,eth1/1/6,47,,,,0,0,,5
7,7,eth1/1/7,47-61,,,,0,0,,5
8,8,eth1/1/8,47,,,,0,0,,5
9,9,eth1/2/1,22-23-24-25-38-39-45-50-61,,,,0,0,,9
10,10,eth1/2/5,22-23-24-25-38-45-61,,,,0,0,,9
11,11,eth1/3/1,22-23-24-25-38-39-45-47-50-61,,,,0,0,,11
12,12,eth1/3/2,47,,,,0,0,,11
13,13,eth1/3/3,47-61,,,,0,0,,11
14,14,eth1/3/4,47,,,,0,0,,11
15,15,eth1/3/5,22-23-24-25-38-45-47-61,,,,0,0,,11
16,16,eth1/3/6,47,,,,0,0,,15
17,17,eth1/3/7,47-61,,,,0,0,,15
18,18,eth1/3/8,47,,,,0,0,,15
19,19,eth1/4/1,22-23-24-25-38-39-45-50-61,,,,0,0,,19
20,20,eth1/4/5,22-23-24-25-38-45-61,,,,0,0,,19
21,21,eth1/5/1,22-23-24-25-38-39-45-47-50-61,,,,0,0,,21
22,22,eth1/5/2,47,,,,0,0,,21
23,23,eth1/5/3,47-61,,,,0,0,,21
24,24,eth1/5/4,47,,,,0,0,,21
25,25,eth1/5/5,22-23-24-25-38-45-47-61,,,,0,0,,21
26,26,eth1/5/6,47,,,,0,0,,25
27,27,eth1/5/7,47-61,,,,0,0,,25
28,28,eth1/5/8,47,,,,0,0,,25
29,29,eth1/6/1,22-23-24-25-38-39-45-50-61,,,,0,0,,29
30,30,eth1/6/5,22-23-24-25-38-45-61,,,,0,0,,29
31,31,eth1/7/1,22-23-24-25-38-39-45-47-50-61,,,,0,0,,31
32,32,eth1/7/2,47,,,,0,0,,31
33,33,eth1/7/3,47-61,,,,0,0,,31
34,34,eth1/7/4,47,,,,0,0,,31
35,35,eth1/7/5,22-23-24-25-38-45-47-61,,,,0,0,,31
36,36,eth1/7/6,47,,,,0,0,,35
37,37,eth1/7/7,47-61,,,,0,0,,35
38,38,eth1/7/8,47,,,,0,0,,35
39,39,eth1/8/1,22-23-24-25-38-39-45-50-61,,,,0,0,,39
40,40,eth1/8/5,22-23-24-25-38-45-61,,,,0,0,,39
41,41,eth1/9/1,22-23-24-25-38-39-45-47-50-61,,,,0,0,,41
42,42,eth1/9/2,47,,,,0,0,,41
43,43,eth1/9/3,47-61,,,,0,0,,41
44,44,eth1/9/4,47,,,,0,0,,41
45,45,eth1/9/5,22-23-24-25-38-45-47-61,,,,0,0,,41
46,46,eth1/9/6,47,,,,0,0,,45
47,47,eth1/9/7,47-61,,,,0,0,,45
48,48,eth1/9/8,47,,,,0,0,,45
49,49,eth1/10/1,22-23-24-25-38-39-45-50-61,,,,0,0,,49
50,50,eth1/10/5,22-23-24-25-38-45-61,,,,0,0,,49
51,51,eth1/11/1,22-23-24-25-38-39-45-47-50-61,,,,0,0,,51
52,52,eth1/11/2,47,,,,0,0,,51
53,53,eth1/11/3,47-61,,,,0,0,,51
54,54,eth1/11/4,47,,,,0,0,,51
55,55,eth1/11/5,22-23-24-25-38-45-47-61,,,,0,0,,51
56,56,eth1/11/6,47,,,,0,0,,55
57,57,eth1/11/7,47-61,,,,0,0,,55
58,58,eth1/11/8,47,,,,0,0,,55
59,59,eth1/12/1,22-23-24-25-38-39-45-50-61,,,,0,0,,59
60,60,eth1/12/5,22-23-24-25-38-45-61,,,,0,0,,59
61,61,eth1/13/1,22-23-24-25-38-39-45-47-50-61,,,,0,0,,61
62,62,eth1/13/2,47,,,,0,0,,61
63,63,eth1/13/3,47-61,,,,0,0,,61
64,64,eth1/13/4,47,,,,0,0,,61
65,65,eth1/13/5,22-23-24-25-38-45-47-61,,,,0,0,,61
66,66,eth1/13/6,47,,,,0,0,,65
67,67,eth1/13/7,47-61,,,,0,0,,65
68,68,eth1/13/8,47,,,,0,0,,65
69,69,eth1/14/1,22-23-24-25-38-39-45-50-61,,,,0,0,,69
70,70,eth1/14/5,22-23-24-25-38-45-61,,,,0,0,,69
71,71,eth1/15/1,22-23-24-25-38-39-45-47-50-61,,,,0,0,,71
72,72,eth1/15/2,47,,,,0,0,,71
73,73,eth1/15/3,47-61,,,,0,0,,71
74,74,eth1/15/4,47,,,,0,0,,71
75,75,eth1/15/5,22-23-24-25-38-45-47-61,,,,0,0,,71
76,76,eth1/15/6,47,,,,0,0,,75
77,77,eth1/15/7,47-61,,,,0,0,,75
78,78,eth1/15/8,47,,,,0,0,,75
79,79,eth1/16/1,22-23-24-25-38-39-45-50-61,,,,0,0,,79
80,80,eth1/16/5,22-23-24-25-38-45-61,,,,0,0,,79
81,81,eth1/17/1,22-23-24-25-38-39-45-47-50-61,,,,0,0,,81
82,82,eth1/17/2,47,,,,0,0,,81
83,83,eth1/17/3,47-61,,,,0,0,,81
84,84,eth1/17/4,47,,,,0,0,,81
85,85,eth1/17/5,22-23-24-25-38-45-47-61,,,,0,0,,81
86,86,eth1/17/6,47,,,,0,0,,85
87,87,eth1/17/7,47-61,,,,0,0,,85
88,88,eth1/17/8,47,,,,0,0,,85
89,89,eth1/18/1,22-23-24-25-38-39-45-50-61,,,,0,0,,89
90,90,eth1/18/5,22-23-24-25-38-45-61,,,,0,0,,89
91,91,eth1/19/1,22-23-24-25-38-39-45-47-50-61,,,,0,0,,91
92,92,eth1/19/2,47,,,,0,0,,91
93,93,eth1/19/3,47-61,,,,0,0,,91
94,94,eth1/19/4,47,,,,0,0,,91
95,95,eth1/19/5,22-23-24-25-38-45-47-61,,,,0,0,,91
96,96,eth1/19/6,47,,,,0,0,,95
97,97,eth1/19/7,47-61,,,,0,0,,95
98,98,eth1/19/8,47,,,,0,0,,95
99,99,eth1/20/1,22-23-24-25-38-39-45-50-61,,,,0,0,,99
100,100,eth1/20/5,22-23-24-25-38-45-61,,,,0,0,,99
101,101,eth1/21/1,22-23-24-25-38-39-45-47-50-61,,,,0,0,,101
102,102,eth1/21/2,47,,,,0,0,,101
103,103,eth1/21/3,47-61,,,,0,0,,101
104,104,eth1/21/4,47,,,,0,0,,101
105,105,eth1/21/5,22-23-24-25-38-45-47-61,,,,0,0,,101
106,106,eth1/21/6,47,,,,0,0,,105
107,107,eth1/21/7,47-61,,,,0,0,,105
108,108,eth1/21/8,47,,,,0,0,,105
109,109,eth1/22/1,22-23-24-25-38-39-45-50-61,,,,0,0,,109
110,110,eth1/22/5,22-23-24-25-38-45-61,,,,0,0,,109
111,111,eth1/23/1,22-23-24-25-38-39-45-47-50-61,,,,0,0,,111
112,112,eth1/23/2,47,,,,0,0,,111
113,113,eth1/23/3,47-61,,,,0,0,,111
114,114,eth1/23/4,47,,,,0,0,,111
115,115,eth1/23/5,22-23-24-25-38-45-47-61,,,,0,0,,111
116,116,eth1/23/6,47,,,,0,0,,115
117,117,eth1/23/7,47-61,,,,0,0,,115
118,118,eth1/23/8,47,,,,0,0,,115
