Global_PortID,Logical_PortID,Port_Name,Supported_Port_Profiles,Attached_CoreID,Attached_Core_PortID,Virtual_Device_ID,Port_Type,Scope
9,9,rcy1/1/521,49,0,3,0,3,0
10,10,rcy1/1/522,49,0,4,0,3,0
11,11,rcy1/1/523,49,1,2,0,3,0
12,12,rcy1/1/524,49,1,3,0,3,0
13,13,rcy1/1/525,49,2,2,0,3,0
14,14,rcy1/1/526,49,2,3,0,3,0
15,15,rcy1/1/527,49,3,2,0,3,0
16,16,rcy1/1/528,49,3,3,0,3,0
17,17,evt1/1/1017,49,0,5,0,5,0
64,64,rcy1/1/538,49,0,6,0,3,1
65,65,eth1/1/1,52-57,0,7,0,0,1
66,66,eth1/1/5,52-57,0,8,0,0,1
67,67,eth1/2/1,52-57,0,9,0,0,1
68,68,eth1/2/5,52-57,0,10,0,0,1
69,69,eth1/3/1,52-57,0,11,0,0,1
70,70,eth1/3/5,52-57,0,12,0,0,1
71,71,eth1/4/1,52-57,0,13,0,0,1
72,72,eth1/4/5,52-57,0,14,0,0,1
73,73,eth1/5/1,52-57,1,4,0,0,1
74,74,eth1/5/5,52-57,1,5,0,0,1
75,75,eth1/6/1,52-57,1,6,0,0,1
76,76,eth1/6/5,52-57,1,7,0,0,1
77,77,eth1/7/1,52-57,1,8,0,0,1
78,78,eth1/7/5,52-57,1,9,0,0,1
79,79,eth1/8/1,52-57,1,10,0,0,1
80,80,eth1/8/5,52-57,1,11,0,0,1
81,81,eth1/9/1,52-57,2,4,0,0,1
82,82,eth1/9/5,52-57,2,5,0,0,1
83,83,eth1/10/1,52-57,2,6,0,0,1
84,84,eth1/10/5,52-57,2,7,0,0,1
85,85,eth1/11/1,52-57,2,8,0,0,1
86,86,eth1/11/5,52-57,2,9,0,0,1
87,87,eth1/12/1,52-57,2,10,0,0,1
88,88,eth1/12/5,52-57,2,11,0,0,1
89,89,eth1/13/1,52-57,3,4,0,0,1
90,90,eth1/13/5,52-57,3,5,0,0,1
91,91,eth1/14/1,52-57,3,6,0,0,1
92,92,eth1/14/5,52-57,3,7,0,0,1
93,93,eth1/15/1,52-57,3,8,0,0,1
94,94,eth1/15/5,52-57,3,9,0,0,1
95,95,eth1/16/1,52-57,3,10,0,0,1
96,96,eth1/16/5,52-57,3,11,0,0,1
512,512,fab1/35/1,53-59,,,,1,0
513,513,fab1/35/2,53-59,,,,1,0
514,514,fab1/35/3,53-59,,,,1,0
515,515,fab1/35/4,53-59,,,,1,0
516,516,fab1/35/5,53-59,,,,1,0
517,517,fab1/35/6,53-59,,,,1,0
518,518,fab1/35/7,53-59,,,,1,0
519,519,fab1/35/8,53-59,,,,1,0
520,520,fab1/36/1,53-59,,,,1,0
521,521,fab1/36/2,53-59,,,,1,0
522,522,fab1/36/3,53-59,,,,1,0
523,523,fab1/36/4,53-59,,,,1,0
524,524,fab1/36/5,53-59,,,,1,0
525,525,fab1/36/6,53-59,,,,1,0
526,526,fab1/36/7,53-59,,,,1,0
527,527,fab1/36/8,53-59,,,,1,0
528,528,fab1/37/1,53-59,,,,1,0
529,529,fab1/37/2,53-59,,,,1,0
530,530,fab1/37/3,53-59,,,,1,0
531,531,fab1/37/4,53-59,,,,1,0
532,532,fab1/37/5,53-59,,,,1,0
533,533,fab1/37/6,53-59,,,,1,0
534,534,fab1/37/7,53-59,,,,1,0
535,535,fab1/37/8,53-59,,,,1,0
536,536,fab1/38/1,53-59,,,,1,0
537,537,fab1/38/2,53-59,,,,1,0
538,538,fab1/38/3,53-59,,,,1,0
539,539,fab1/38/4,53-59,,,,1,0
540,540,fab1/38/5,53-59,,,,1,0
541,541,fab1/38/6,53-59,,,,1,0
542,542,fab1/38/7,53-59,,,,1,0
543,543,fab1/38/8,53-59,,,,1,0
544,544,fab1/39/1,53-59,,,,1,0
545,545,fab1/39/2,53-59,,,,1,0
546,546,fab1/39/3,53-59,,,,1,0
547,547,fab1/39/4,53-59,,,,1,0
548,548,fab1/39/5,53-59,,,,1,0
549,549,fab1/39/6,53-59,,,,1,0
550,550,fab1/39/7,53-59,,,,1,0
551,551,fab1/39/8,53-59,,,,1,0
552,552,fab1/40/1,53-59,,,,1,0
553,553,fab1/40/2,53-59,,,,1,0
554,554,fab1/40/3,53-59,,,,1,0
555,555,fab1/40/4,53-59,,,,1,0
556,556,fab1/40/5,53-59,,,,1,0
557,557,fab1/40/6,53-59,,,,1,0
558,558,fab1/40/7,53-59,,,,1,0
559,559,fab1/40/8,53-59,,,,1,0
560,560,fab1/41/1,53-59,,,,1,0
561,561,fab1/41/2,53-59,,,,1,0
562,562,fab1/41/3,53-59,,,,1,0
563,563,fab1/41/4,53-59,,,,1,0
564,564,fab1/41/5,53-59,,,,1,0
565,565,fab1/41/6,53-59,,,,1,0
566,566,fab1/41/7,53-59,,,,1,0
567,567,fab1/41/8,53-59,,,,1,0
568,568,fab1/42/1,53-59,,,,1,0
569,569,fab1/42/2,53-59,,,,1,0
570,570,fab1/42/3,53-59,,,,1,0
571,571,fab1/42/4,53-59,,,,1,0
572,572,fab1/42/5,53-59,,,,1,0
573,573,fab1/42/6,53-59,,,,1,0
574,574,fab1/42/7,53-59,,,,1,0
575,575,fab1/42/8,53-59,,,,1,0
576,576,fab1/43/1,53-59,,,,1,0
577,577,fab1/43/2,53-59,,,,1,0
578,578,fab1/43/3,53-59,,,,1,0
579,579,fab1/43/4,53-59,,,,1,0
580,580,fab1/43/5,53-59,,,,1,0
581,581,fab1/43/6,53-59,,,,1,0
582,582,fab1/43/7,53-59,,,,1,0
583,583,fab1/43/8,53-59,,,,1,0
584,584,fab1/44/1,53-59,,,,1,0
585,585,fab1/44/2,53-59,,,,1,0
586,586,fab1/44/3,53-59,,,,1,0
587,587,fab1/44/4,53-59,,,,1,0
588,588,fab1/44/5,53-59,,,,1,0
589,589,fab1/44/6,53-59,,,,1,0
590,590,fab1/44/7,53-59,,,,1,0
591,591,fab1/44/8,53-59,,,,1,0
592,592,fab1/45/1,53-59,,,,1,0
593,593,fab1/45/2,53-59,,,,1,0
594,594,fab1/45/3,53-59,,,,1,0
595,595,fab1/45/4,53-59,,,,1,0
596,596,fab1/45/5,53-59,,,,1,0
597,597,fab1/45/6,53-59,,,,1,0
598,598,fab1/45/7,53-59,,,,1,0
599,599,fab1/45/8,53-59,,,,1,0
600,600,fab1/46/1,53-59,,,,1,0
601,601,fab1/46/2,53-59,,,,1,0
602,602,fab1/46/3,53-59,,,,1,0
603,603,fab1/46/4,53-59,,,,1,0
604,604,fab1/46/5,53-59,,,,1,0
605,605,fab1/46/6,53-59,,,,1,0
606,606,fab1/46/7,53-59,,,,1,0
607,607,fab1/46/8,53-59,,,,1,0
608,608,fab1/47/1,53-59,,,,1,0
609,609,fab1/47/2,53-59,,,,1,0
610,610,fab1/47/3,53-59,,,,1,0
611,611,fab1/47/4,53-59,,,,1,0
