A_SLOT_ID,A_CHIP_ID,A_CHIP_TYPE,A_CORE_ID,A_CORE_TYPE,A_CORE_LANE,A_PHYSICAL_TX_LANE,A_PHYSICAL_RX_LANE,A_TX_POLARITY_SWAP,A_RX_POLARITY_SWAP,Z_SLOT_ID,Z_CHIP_ID,Z_CHIP_TYPE,Z_CORE_ID,Z_CORE_TYPE,Z_CORE_LANE,Z_PHYSICAL_TX_LANE,Z_PHYSICAL_RX_LANE,Z_TX_POLARITY_SWAP,Z_RX_POLARITY_SWAP
1,1,NPU,529,J3_RCY,0,,,,,,,,,,,,,,
1,1,NPU,530,J3_RCY,0,,,,,,,,,,,,,,
1,1,NPU,531,J3_RCY,0,,,,,,,,,,,,,,
1,1,NPU,532,J3_RCY,0,,,,,,,,,,,,,,
1,1,NPU,533,J3_RCY,0,,,,,,,,,,,,,,
1,1,NPU,534,J3_RCY,0,,,,,,,,,,,,,,
1,1,NPU,535,J3_RCY,0,,,,,,,,,,,,,,
1,1,NPU,536,J3_RCY,0,,,,,,,,,,,,,,
1,1,NPU,547,J3_RCY,0,,,,,,,,,,,,,,
1,1,NPU,1033,J3_EVT,0,,,,,,,,,,,,,,
1,2,NPU,529,J3_RCY,0,,,,,,,,,,,,,,
1,2,NPU,530,J3_RCY,0,,,,,,,,,,,,,,
1,2,NPU,531,J3_RCY,0,,,,,,,,,,,,,,
1,2,NPU,532,J3_RCY,0,,,,,,,,,,,,,,
1,2,NPU,533,J3_RCY,0,,,,,,,,,,,,,,
1,2,NPU,534,J3_RCY,0,,,,,,,,,,,,,,
1,2,NPU,535,J3_RCY,0,,,,,,,,,,,,,,
1,2,NPU,536,J3_RCY,0,,,,,,,,,,,,,,
1,2,NPU,547,J3_RCY,0,,,,,,,,,,,,,,
1,2,NPU,1033,J3_EVT,0,,,,,,,,,,,,,,
1,1,NPU,0,J4_NIF,0,0,0,N,N,1,1,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,0,J4_NIF,1,1,1,N,N,1,1,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,0,J4_NIF,2,2,2,N,N,1,1,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,0,J4_NIF,3,3,3,N,N,1,1,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,1,NPU,0,J4_NIF,4,4,4,N,N,1,1,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,0,J4_NIF,5,5,5,N,N,1,1,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,1,NPU,0,J4_NIF,6,6,6,N,N,1,1,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,0,J4_NIF,7,7,7,N,N,1,1,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,1,NPU,1,J4_NIF,0,0,0,N,N,1,2,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,1,J4_NIF,1,1,1,N,N,1,2,TRANSCEIVER,0,OSFP,1,1,1,N,N
