Port_Speed(mbps),A_CHIP_TYPE,Z_CHIP_TYPE,NUM_LANES,Modulation,FEC,MEDIA_TYPE,A_Interface_Type,Z_Interface_Type
800000,NPU,TRANSCEIVER,8,PAM4,RS544_2N,BACKPLANE,KR8,
400000,NPU,TRANSCEIVER,4,PAM4,RS544_2N,BACKPLANE,KR4,
200000,NPU,TRANSCEIVER,4,PAM4,RS544_2N,BACKPLANE,KR4,
100000,NPU,TRANSCEIVER,4,NRZ,RS528,BACKPLANE,KR4,
100000,NPU,TRANSCEIVER,1,PAM4,RS544_2N,BACKPLANE,KR,
50000,NPU,TRANSCEIVER,2,NRZ,RS528,BACKPLANE,KR2,
50000,NPU,TRANSCEIVER,2,NRZ,NONE,BACKPLANE,KR2,
25000,NPU,TRANSCEIVER,1,NRZ,NONE,BACKPLANE,KR,
10000,NPU,TRANSCEIVER,1,NRZ,NONE,BACKPLANE,KR,
800000,NPU,TRANSCEIVER,8,PAM4,RS544_2N,COPPER,CR8,
400000,NPU,TRANSCEIVER,4,PAM4,RS544_2N,COPPER,CR4,
200000,NPU,TRANSCEIVER,4,PAM4,RS544_2N,COPPER,CR4,
200000,NPU,TRANSCEIVER,2,PAM4,RS544,COPPER,CR2,
100000,NPU,TRANSCEIVER,4,NRZ,RS528,COPPER,CR4,
100000,NPU,TRANSCEIVER,4,NRZ,NONE,COPPER,CR4,
100000,NPU,TRANSCEIVER,2,PAM4,RS544,COPPER,CR2,
100000,NPU,TRANSCEIVER,1,PAM4,RS544,COPPER,CR2,
50000,NPU,TRANSCEIVER,2,NRZ,RS528,COPPER,CR2,
50000,NPU,TRANSCEIVER,2,NRZ,NONE,COPPER,CR2,
50000,NPU,TRANSCEIVER,1,PAM4,RS544,COPPER,CR,
25000,NPU,TRANSCEIVER,1,NRZ,RS528,COPPER,CR,
25000,NPU,TRANSCEIVER,1,NRZ,NONE,COPPER,CR,
10000,NPU,TRANSCEIVER,1,NRZ,NONE,COPPER,CR,
