Global_PortID,Logical_PortID,Port_Name,Supported_Port_Profiles,Attached_CoreID,Attached_Core_PortID,Virtual_Device_ID,Port_Type,Scope
266,266,eth1/1/1,23-25-38-39-45-47-50,,,,0,0
267,267,eth1/1/5,23-25-38-45-47,,,,0,0
264,264,eth1/2/1,23-25-38-39-45-47-50,,,,0,0
265,265,eth1/2/5,23-25-38-45-47,,,,0,0
277,277,eth1/3/1,23-25-38-39-45-47-50,,,,0,0
278,278,eth1/3/2,47,,,,0,0
279,279,eth1/3/3,47,,,,0,0
280,280,eth1/3/4,47,,,,0,0
281,281,eth1/3/5,23-25-38-45-47,,,,0,0
282,282,eth1/3/6,47,,,,0,0
283,283,eth1/3/7,47,,,,0,0
284,284,eth1/3/8,47,,,,0,0
268,268,eth1/4/1,23-25-38-39-45-47-50,,,,0,0
269,269,eth1/4/2,47,,,,0,0
270,270,eth1/4/3,47,,,,0,0
271,271,eth1/4/4,47,,,,0,0
272,272,eth1/4/5,23-25-38-45-47,,,,0,0
273,273,eth1/4/6,47,,,,0,0
275,275,eth1/4/7,47,,,,0,0
276,276,eth1/4/8,47,,,,0,0
288,288,eth1/5/1,23-25-38-39-45-47-50,,,,0,0
289,289,eth1/5/5,23-25-38-45-47,,,,0,0
286,286,eth1/6/1,23-25-38-39-45-47-50,,,,0,0
287,287,eth1/6/5,23-25-38-45-47,,,,0,0
299,299,eth1/7/1,23-25-38-39-45-47-50,,,,0,0
300,300,eth1/7/2,47,,,,0,0
301,301,eth1/7/3,47,,,,0,0
302,302,eth1/7/4,47,,,,0,0
303,303,eth1/7/5,23-25-38-45-47,,,,0,0
304,304,eth1/7/6,47,,,,0,0
305,305,eth1/7/7,47,,,,0,0
306,306,eth1/7/8,47,,,,0,0
290,290,eth1/8/1,23-25-38-39-45-47-50,,,,0,0
291,291,eth1/8/2,47,,,,0,0
292,292,eth1/8/3,47,,,,0,0
293,293,eth1/8/4,47,,,,0,0
294,294,eth1/8/5,23-25-38-45-47,,,,0,0
295,295,eth1/8/6,47,,,,0,0
297,297,eth1/8/7,47,,,,0,0
298,298,eth1/8/8,47,,,,0,0
310,310,eth1/9/1,23-25-38-39-45-47-50,,,,0,0
311,311,eth1/9/5,23-25-38-45-47,,,,0,0
308,308,eth1/10/1,23-25-38-39-45-47-50,,,,0,0
309,309,eth1/10/5,23-25-38-45-47,,,,0,0
321,321,eth1/11/1,23-25-38-39-45-47-50,,,,0,0
322,322,eth1/11/2,47,,,,0,0
323,323,eth1/11/3,47,,,,0,0
324,324,eth1/11/4,47,,,,0,0
325,325,eth1/11/5,23-25-38-45-47,,,,0,0
326,326,eth1/11/6,47,,,,0,0
327,327,eth1/11/7,47,,,,0,0
328,328,eth1/11/8,47,,,,0,0
312,312,eth1/12/1,23-25-38-39-45-47-50,,,,0,0
313,313,eth1/12/2,47,,,,0,0
314,314,eth1/12/3,47,,,,0,0
315,315,eth1/12/4,47,,,,0,0
316,316,eth1/12/5,23-25-38-45-47,,,,0,0
317,317,eth1/12/6,47,,,,0,0
319,319,eth1/12/7,47,,,,0,0
320,320,eth1/12/8,47,,,,0,0
330,330,eth1/13/1,23-25-38-39-45-47-50,,,,0,0
331,331,eth1/13/5,23-25-38-45-47,,,,0,0
332,332,eth1/14/1,23-25-38-39-45-47-50,,,,0,0
333,333,eth1/14/5,23-25-38-45-47,,,,0,0
334,334,eth1/15/1,23-25-38-39-45-47-50,,,,0,0
335,335,eth1/15/2,47,,,,0,0
336,336,eth1/15/3,47,,,,0,0
337,337,eth1/15/4,47,,,,0,0
338,338,eth1/15/5,23-25-38-45-47,,,,0,0
339,339,eth1/15/6,47,,,,0,0
341,341,eth1/15/7,47,,,,0,0
342,342,eth1/15/8,47,,,,0,0
343,343,eth1/16/1,23-25-38-39-45-47-50,,,,0,0
344,344,eth1/16/2,47,,,,0,0
345,345,eth1/16/3,47,,,,0,0
346,346,eth1/16/4,47,,,,0,0
347,347,eth1/16/5,23-25-38-45-47,,,,0,0
348,348,eth1/16/6,47,,,,0,0
349,349,eth1/16/7,47,,,,0,0
350,350,eth1/16/8,47,,,,0,0
3,3,eth1/17/1,23-25-38-39-45-47-50,,,,0,0
4,4,eth1/17/5,23-25-38-45-47,,,,0,0
