Port_Speed(mbps),A_CHIP_TYPE,Z_CHIP_TYPE,NUM_LANES,Modulation,FEC,MEDIA_TYPE,A_Interface_Type,Z_Interface_Type
400000,NPU,TRANSCEIVER,4,PAM4,RS544_2N,BACKPLANE,KR4,KR4
200000,NPU,TRANSCEIVER,4,PAM4,RS544_2N,BACKPLANE,KR4,KR4
100000,NPU,TRANSCEIVER,4,NRZ,RS528,BACKPLANE,KR4,KR4
800000,NPU,TRANSCEIVER,8,PAM4,RS544_2N,BACKPLANE,KR8,KR8
800000,NPU,TRANSCEIVER,8,PAM4,RS544_2N,COPPER,CR8,CR8
400000,NPU,TRANSCEIVER,4,PAM4,RS544_2N,COPPER,CR4,CR4
200000,NPU,TRANSCEIVER,4,PAM4,RS544_2N,COPPER,CR4,CR4
100000,NPU,TRANSCEIVER,4,NRZ,RS528,COPPER,CR4,CR4
100000,NPU,TRANSCEIVER,4,NRZ,NONE,COPPER,CR4,CR4
200000,NPU,TRANSCEIVER,2,PAM4,RS544,COPPER,CR2,CR2
100000,NPU,TRANSCEIVER,2,PAM4,RS544,COPPER,CR2,CR2
50000,NPU,TRANSCEIVER,2,NRZ,RS528,COPPER,CR2,CR2
50000,NPU,TRANSCEIVER,2,NRZ,NONE,COPPER,CR2,CR2
100000,NPU,TRANSCEIVER,1,PAM4,RS544,COPPER,CR,CR
50000,NPU,TRANSCEIVER,1,PAM4,RS544,COPPER,CR,CR
25000,NPU,TRANSCEIVER,1,NRZ,NONE,OPTICAL,KR,KR
10000,NPU,TRANSCEIVER,1,NRZ,NONE,OPTICAL,KR,KR
