A_SLOT_ID,A_CHIP_ID,A_CHIP_TYPE,A_CORE_ID,A_CORE_TYPE,A_CORE_LANE,A_PHYSICAL_TX_LANE,A_PHYSICAL_RX_LANE,A_TX_POLARITY_SWAP,A_RX_POLARITY_SWAP,Z_SLOT_ID,Z_CHIP_ID,Z_CHIP_TYPE,Z_CORE_ID,Z_CORE_TYPE,Z_CORE_LANE,Z_PHYSICAL_TX_LANE,Z_PHYSICAL_RX_LANE,Z_TX_POLARITY_SWAP,Z_RX_POLARITY_SWAP
1,1,NPU,0,G200,0,8,9,Y,Y,1,6,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,0,G200,1,11,11,Y,Y,1,6,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,0,G200,2,9,8,N,Y,1,6,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,0,G200,3,15,13,N,N,1,6,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,1,NPU,0,G200,4,12,12,Y,N,1,6,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,0,G200,5,14,10,Y,N,1,6,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,1,NPU,0,G200,6,13,14,N,Y,1,6,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,0,G200,7,10,15,Y,Y,1,6,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,1,NPU,0,G200,8,4,0,Y,N,1,5,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,0,G200,9,5,1,N,Y,1,5,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,0,G200,10,1,2,Y,Y,1,5,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,0,G200,11,2,5,N,N,1,5,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,1,NPU,0,G200,12,7,3,Y,Y,1,5,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,0,G200,13,3,6,Y,Y,1,5,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,1,NPU,0,G200,14,6,4,N,Y,1,5,TRANSCEIVER,0,OSFP,6,6,6,N,N
