Global_PortID,Logical_PortID,Port_Name,Supported_Port_Profiles,Attached_CoreID,Attached_Core_PortID,Virtual_Device_ID,Port_Type,Scope,Parent_Port,Controlling_Port
1,1,eth1/1/1,23-25-38-39,,,,0,0,,1
2,2,eth1/1/5,23-25-38,,,,0,0,,1
3,3,eth1/2/1,23-25-38-39,,,,0,0,,3
4,4,eth1/2/5,23-25-38,,,,0,0,,3
5,5,eth1/3/1,19-21-22-24-32-38-39-43-45-50-55-56,,,,0,0,,5
6,6,eth1/3/2,43-56,,,,0,0,,5
7,7,eth1/3/3,19-21-43-55-56,,,,0,0,,5
8,8,eth1/3/4,43-56,,,,0,0,,5
9,9,eth1/3/5,19-21-22-24-32-38-43-45-55-56,,,,0,0,,5
10,10,eth1/3/6,43-56,,,,0,0,,5
11,11,eth1/3/7,19-21-43-55-56,,,,0,0,,5
12,12,eth1/3/8,43-56,,,,0,0,,5
13,13,eth1/4/1,19-21-22-24-32-38-39-43-45-50-55-56,,,,0,0,,13
14,14,eth1/4/2,43-56,,,,0,0,,13
15,15,eth1/4/3,19-21-43-55-56,,,,0,0,,13
16,16,eth1/4/4,43-56,,,,0,0,,13
17,17,eth1/4/5,19-21-22-24-32-38-43-45-55-56,,,,0,0,,13
18,18,eth1/4/6,43-56,,,,0,0,,13
19,19,eth1/4/7,19-21-43-55-56,,,,0,0,,13
20,20,eth1/4/8,43-56,,,,0,0,,13
21,21,eth1/5/1,23-25-38-39,,,,0,0,,21
22,22,eth1/5/5,23-25-38,,,,0,0,,21
23,23,eth1/6/1,23-25-38-39,,,,0,0,,23
24,24,eth1/6/5,23-25-38,,,,0,0,,23
25,25,eth1/7/1,19-21-22-24-32-38-39-43-45-50-55-56,,,,0,0,,25
26,26,eth1/7/2,43-56,,,,0,0,,25
27,27,eth1/7/3,19-21-43-55-56,,,,0,0,,25
28,28,eth1/7/4,43-56,,,,0,0,,25
29,29,eth1/7/5,19-21-22-24-32-38-43-45-55-56,,,,0,0,,25
30,30,eth1/7/6,43-56,,,,0,0,,25
31,31,eth1/7/7,19-21-43-55-56,,,,0,0,,25
32,32,eth1/7/8,43-56,,,,0,0,,25
33,33,eth1/8/1,19-21-22-24-32-38-39-43-45-50-55-56,,,,0,0,,33
34,34,eth1/8/2,43-56,,,,0,0,,33
35,35,eth1/8/3,19-21-43-55-56,,,,0,0,,33
36,36,eth1/8/4,43-56,,,,0,0,,33
37,37,eth1/8/5,19-21-22-24-32-38-43-45-55-56,,,,0,0,,33
38,38,eth1/8/6,43-56,,,,0,0,,33
39,39,eth1/8/7,19-21-43-55-56,,,,0,0,,33
40,40,eth1/8/8,43-56,,,,0,0,,33
41,41,eth1/9/1,23-25-38-39,,,,0,0,,41
42,42,eth1/9/5,23-25-38,,,,0,0,,41
43,43,eth1/10/1,23-25-38-39,,,,0,0,,43
44,44,eth1/10/5,23-25-38,,,,0,0,,43
45,45,eth1/11/1,19-21-22-24-32-38-39-43-45-50-55-56,,,,0,0,,45
46,46,eth1/11/2,43-56,,,,0,0,,45
47,47,eth1/11/3,19-21-43-55-56,,,,0,0,,45
48,48,eth1/11/4,43-56,,,,0,0,,45
49,49,eth1/11/5,19-21-22-24-32-38-43-45-55-56,,,,0,0,,45
50,50,eth1/11/6,43-56,,,,0,0,,45
51,51,eth1/11/7,19-21-43-55-56,,,,0,0,,45
52,52,eth1/11/8,43-56,,,,0,0,,45
