A_SLOT_ID,A_CHIP_ID,A_CHIP_TYPE,A_CORE_ID,A_CORE_TYPE,A_CORE_LANE,A_PHYSICAL_TX_LANE,A_PHYSICAL_RX_LANE,A_TX_POLARITY_SWAP,A_RX_POLARITY_SWAP,Z_SLOT_ID,Z_CHIP_ID,Z_CHIP_TYPE,Z_CORE_ID,Z_CORE_TYPE,Z_CORE_LANE,Z_PHYSICAL_TX_LANE,Z_PHYSICAL_RX_LANE,Z_TX_POLARITY_SWAP,Z_RX_POLARITY_SWAP
1,1,NPU,1,G200,8,0,0,Y,N,1,1,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,1,G200,9,1,1,Y,N,1,1,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,1,G200,10,2,2,Y,Y,1,1,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,1,G200,11,3,3,N,Y,1,1,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,1,NPU,1,G200,12,4,4,N,N,1,1,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,1,G200,13,5,5,N,Y,1,1,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,1,NPU,1,G200,14,6,6,Y,Y,1,1,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,1,G200,15,7,7,N,Y,1,1,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,1,NPU,1,G200,0,0,0,Y,Y,1,2,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,1,G200,1,1,1,Y,Y,1,2,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,1,G200,2,2,2,Y,N,1,2,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,1,G200,3,3,3,Y,N,1,2,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,1,NPU,1,G200,4,4,4,Y,N,1,2,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,1,G200,5,5,5,N,N,1,2,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,1,NPU,1,G200,6,6,6,N,Y,1,2,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,1,G200,7,7,7,Y,N,1,2,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,1,NPU,1,G200,24,0,0,Y,N,1,3,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,1,G200,25,1,1,Y,N,1,3,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,1,G200,26,2,2,Y,N,1,3,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,1,G200,27,3,3,Y,Y,1,3,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,1,NPU,1,G200,28,4,4,N,Y,1,3,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,1,G200,29,5,5,N,Y,1,3,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,1,NPU,1,G200,30,6,6,N,Y,1,3,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,1,G200,31,7,7,Y,N,1,3,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,1,NPU,1,G200,16,0,0,N,N,1,4,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,1,G200,17,1,1,N,Y,1,4,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,1,G200,18,2,2,Y,N,1,4,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,1,G200,19,3,3,N,N,1,4,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,1,NPU,1,G200,20,4,4,N,Y,1,4,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,1,G200,21,5,5,Y,N,1,4,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,1,NPU,1,G200,22,6,6,Y,Y,1,4,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,1,G200,23,7,7,N,N,1,4,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,1,NPU,0,G200,8,0,0,Y,N,1,5,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,0,G200,9,1,1,N,Y,1,5,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,0,G200,10,2,2,Y,Y,1,5,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,0,G200,11,3,3,N,N,1,5,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,1,NPU,0,G200,12,4,4,Y,Y,1,5,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,0,G200,13,5,5,Y,Y,1,5,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,1,NPU,0,G200,14,6,6,N,Y,1,5,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,0,G200,15,7,7,Y,Y,1,5,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,1,NPU,0,G200,0,0,0,Y,Y,1,6,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,0,G200,1,1,1,Y,Y,1,6,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,0,G200,2,2,2,N,Y,1,6,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,0,G200,3,3,3,N,N,1,6,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,1,NPU,0,G200,4,4,4,Y,N,1,6,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,0,G200,5,5,5,Y,N,1,6,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,1,NPU,0,G200,6,6,6,N,Y,1,6,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,0,G200,7,7,7,Y,Y,1,6,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,1,NPU,0,G200,24,0,0,Y,Y,1,7,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,0,G200,25,1,1,Y,Y,1,7,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,0,G200,26,2,2,Y,Y,1,7,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,0,G200,27,3,3,Y,Y,1,7,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,1,NPU,0,G200,28,4,4,Y,Y,1,7,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,0,G200,29,5,5,Y,Y,1,7,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,1,NPU,0,G200,30,6,6,N,Y,1,7,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,0,G200,31,7,7,N,Y,1,7,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,1,NPU,0,G200,16,0,0,Y,N,1,8,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,0,G200,17,1,1,Y,N,1,8,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,0,G200,18,2,2,Y,Y,1,8,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,0,G200,19,3,3,N,Y,1,8,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,1,NPU,0,G200,20,4,4,N,Y,1,8,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,0,G200,21,5,5,Y,N,1,8,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,1,NPU,0,G200,22,6,6,Y,N,1,8,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,0,G200,23,7,7,Y,N,1,8,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,1,NPU,6,G200,16,0,0,Y,N,1,9,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,6,G200,17,1,1,Y,N,1,9,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,6,G200,18,2,2,Y,Y,1,9,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,6,G200,19,3,3,N,Y,1,9,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,1,NPU,6,G200,20,4,4,N,Y,1,9,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,6,G200,21,5,5,Y,N,1,9,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,1,NPU,6,G200,22,6,6,Y,N,1,9,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,6,G200,23,7,7,Y,N,1,9,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,1,NPU,6,G200,24,0,0,N,N,1,10,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,6,G200,25,1,1,N,Y,1,10,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,6,G200,26,2,2,N,N,1,10,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,6,G200,27,3,3,Y,Y,1,10,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,1,NPU,6,G200,28,4,4,N,N,1,10,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,6,G200,29,5,5,N,Y,1,10,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,1,NPU,6,G200,30,6,6,Y,N,1,10,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,6,G200,31,7,7,Y,Y,1,10,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,1,NPU,6,G200,0,0,0,Y,N,1,11,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,6,G200,1,1,1,Y,N,1,11,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,6,G200,2,2,2,N,Y,1,11,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,6,G200,3,3,3,Y,Y,1,11,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,1,NPU,6,G200,4,4,4,Y,Y,1,11,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,6,G200,5,5,5,Y,Y,1,11,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,1,NPU,6,G200,6,6,6,N,N,1,11,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,6,G200,7,7,7,N,Y,1,11,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,1,NPU,6,G200,8,0,0,Y,N,1,12,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,6,G200,9,1,1,N,Y,1,12,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,6,G200,10,2,2,Y,Y,1,12,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,6,G200,11,3,3,N,N,1,12,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,1,NPU,6,G200,12,4,4,Y,Y,1,12,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,6,G200,13,5,5,Y,Y,1,12,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,1,NPU,6,G200,14,6,6,N,Y,1,12,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,6,G200,15,7,7,Y,Y,1,12,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,1,NPU,7,G200,16,0,0,N,N,1,13,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,7,G200,17,1,1,N,Y,1,13,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,7,G200,18,2,2,Y,N,1,13,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,7,G200,19,3,3,N,N,1,13,TRANSCEIVER,0,OSFP,3,3,3,N,N
